split,context_tokens,predicted_answer,question,uncompressed_kv_memory_gb,task,compression_ratio,memory_budget_unit,kv_memory_per_token_kb,memory_budget,max_new_tokens,token_budget,answers,uncompressed_kv_memory_mb,retained_kv_memory_gb,retained_context_tokens,retained_kv_memory_mb,answer_prefix
dev,121232.0," ['aint', 'ain']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the manufacturer of the car used by the Ford CD2 platform's design inspiration?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Mazda'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0," ['The 1989 album ""When the Pawn..."" by The Stone Roses', 'The 1995 album ""The Stone Roses"" by The Stone Roses']

**Answer:**
- Kim Wilson has played in more bands than Chino Moreno. Kim Wilson is known for his work with The Stone Roses and also for his solo career and other musical ventures. Chino Moreno, on the other hand, is primarily known for his work with the band Deftones and for his solo","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: How has played in more bands, Kim Wilson or Chino Moreno?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Chino Moreno'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0," ['The Greatest Game Ever Played', 'Hot Lead and Cold Feet']  
The Greatest Game Ever Played was released first.  

**Document Title and ID:**  
- ""The Greatest Game Ever Played"" - [Document ID: 1]  
- ""Hot Lead and Cold Feet"" - [Document ID: 2]","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Hot Lead and Cold Feet'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0,"1. **Title:** ""The Heartbreak Kid""  
   **ID:** 18  
   2. **Title:** ""Evening in Byzantium""  
   **ID:** 19  
   
   **Answer:** The actor who appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid"" is **Peter Sallis**.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What actor appeared in ""Evening in Byzantium"" and was nominated for the Academy Award for Best Supporting Actor in 1973 for ""The Heartbreak Kid""?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Edward Albert Heimberger'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0," ['aint', '1']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Were Scott Derrickson and Ed Wood of the same nationality?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['yes'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0," ['aint', '1']  
**La Machine à écrire** (Title: ""The Machine"")  
**ID: 1**  

**Osmunda** (Title: ""Osmunda"")  
**ID: 2**  

**Answer:**  
The most numerous species between Podocarpus and Osmunda is **Osmunda**.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which species is the most numerous, Podocarpus or Osmunda?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Podocarpus'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0," ['aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', 'aint', '","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What word or phrase is found in both the history of Belgium and cockfighting?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['cockpit'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0,"1. ""American Dad"" (Title) - ID: 1  
   2. ""American Dad"" (Title) - ID: 2  

The eleventh season's finale of ""American Dad"" aired on a Sunday.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: On what day of the week did the eleventh season's finale of American Dad air?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Sunday'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0," ['aint', '2008', 'IIHF', 'World', 'Championship', 'rosters', 'recognized', 'the', 'top', 'defenceman', 'as', 'which', 'Canadian', 'professional', 'ice', 'hockey', 'defenceman', 'who', 'at', 'times', 'has', 'been', 'utilized', 'as', 'a', 'forward', 'currently', 'playing', 'for', '","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: The 2008 IIHF World Championship rosters recognized the top defenceman as which Canadian professional ice hockey defenceman, who at times has been utilized as a forward, currently playing for the San Jose Sharks of the National Hockey League (NHL)?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Brent Burns'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
dev,121232.0," ['aint', 'aint']","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the main flavor of both soft drinks, Solo from Norway, and Sunkist?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['orange'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
test,121232.0," ['aint', 'Extraction']  
**Answer:**  
- The American professional poker player who also starred in the 2015 movie ""Extraction"" is **Chris Brown**.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which American professional poker player also starred in the 2015 movie ""Extraction""?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Dan Bilzerian'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
test,121232.0," ['Laura's Star', 'Wonder Woman'] 

Laura's Star was released first. 

Title: Laura's Star  
ID: 101  

Title: Wonder Woman  
ID: 102","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which film was released first, Laura's Star or Wonder Woman?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,"[""Laura's Star""]",17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
test,121232.0,"2013 America East Men's Lacrosse Tournament was held at the stadium where construction began in 1994.  
- **Title**: ""When the Peninsula was a Place""  
- **ID**: 1013  

**Answer List**:  
- The 2013 America East Men's Lacrosse Tournament was held at the stadium where construction began in 1994.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: In what year did construction begin on the stadium where the 2013 America East Men's Lacrosse Tournament was held?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['in 2000'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
test,121232.0," ['Aint' a single', 'Aint' a single']  
The birth name of the woman that ""A Woman Called Moses"" is based on is **Miriam**.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the birth name of the woman that ""A Woman Called Moses"" is based on?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Araminta Ross'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
test,121232.0," ['aint', 'aint']  
**Answer:**  
- The Arundel Castle was damaged during a war between the **English** and **French** groups.  
  - **Title:** ""The Arundel Castle""  
  - **ID:** ""aint""  

- The war between the **English** and **French** groups is referenced in the context of the **Arundel Castle** being damaged.  
  - **Title:** ""The Arundel Castle""  
 ","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Arundel Castle was damaged during a war between which two groups?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,"['Parliamentarians (""Roundheads"") and Royalists (""Cavaliers"")']",17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
test,121232.0," ['Ricardo Rodríguez Saá', 'Ricardo Rodríguez Saá']  
Title: ""Ricardo Rodríguez Saá""  
ID: ""Ricardo Rodríguez Saá""  

**Answer:**  
- Ricardo Rodríguez Saá  
- ID: Ricardo Rodríguez Saá","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which one of Ricardo Rodríguez Saá's relatives would become governor from 1983 to 2001?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['Adolfo Rodríguez Saá'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
test,121232.0,"1954, 1016

**Title:** ""The Largest Convention Center in the U.S. State of Georgia""  
**ID:** 1016

**Answer:** The largest convention center in the U.S. state of Georgia, the Georgia World Congress Center, opened in 1954.","====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What year did the largest convention center in the U.S. state of Georgia open?
",17.876385792,hotpotqa_128k,0.9713606968457174,MB,147.456,512.0,256,3472.0,['1976'],17876.385792,0.511967232,3472.0,511.967232,Final Answer: 
