memory_budget_unit,uncompressed_kv_memory_gb,predicted_answer,retained_context_tokens,memory_budget,compression_ratio,question,token_budget,context_tokens,kv_memory_per_token_kb,context_id,answer_prefix,max_new_tokens,context_length,task,retained_kv_memory_mb,uncompressed_kv_memory_mb,retained_kv_memory_gb,answer
MB,4.280025088,128,7812.0,512.0,0.8803821890120659,Query key: K_1C80A3B1799D,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_BDD606671AD1']
MB,4.280025088,3EB146685257,7812.0,512.0,0.8803821890120659,Query key: K_3EB146685257,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_23B8392456DE']
MB,4.280025088,1,7812.0,512.0,0.8803821890120659,Query key: K_1A3DBC8960A9,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_BD9CAD3C2D6D']
MB,4.280025088,9A1D815EF6D1,7812.0,512.0,0.8803821890120659,Query key: K_8B9DE465E150,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_972A16419F82']
MB,4.280025088,17FC07A0CA6E,7812.0,512.0,0.8803821890120659,Query key: K_08226C031199,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_17FC07A0CA6E']
MB,4.280025088,9A1D815EF6D1,7812.0,512.0,0.8803821890120659,Query key: K_3B8F37F8A88B,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_9A1D815EF6D1']
MB,4.280025088,1,7812.0,512.0,0.8803821890120659,Query key: K_8FAD06CB0FB3,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_B74D32E70629']
MB,4.280025088,6B658B8148F6,7812.0,512.0,0.8803821890120659,Query key: K_B38AA65ED389,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_6B658B8148F6']
MB,4.280025088,473796DA1DAC,7812.0,512.0,0.8803821890120659,Query key: K_72FF386ECBE0,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_473796DA1DAC']
MB,4.280025088,1,7812.0,512.0,0.8803821890120659,Query key: K_DE8ACF36D58B,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_C24101A9E71F']
MB,4.280025088,6C30B2B9437A,7812.0,512.0,0.8803821890120659,Query key: K_28DFCE4A2BBD,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_6C30B2B9437A']
MB,4.280025088,1,7812.0,512.0,0.8803821890120659,Query key: K_4722571AA876,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_371E27CD8130']
MB,4.280025088,1A2A562B0F79,7812.0,512.0,0.8803821890120659,Query key: K_C374F50BEA63,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_1A2A562B0F79']
MB,4.280025088,5BE618C26797,7812.0,512.0,0.8803821890120659,Query key: K_614217BE3111,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_5BE618C26797']
MB,4.280025088,580DD8F56413,7812.0,512.0,0.8803821890120659,Query key: K_580DD8F56413,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_43B79A8DCA03']
MB,4.280025088,759CBACFB3D0,7812.0,512.0,0.8803821890120659,Query key: K_0B1FCE9FF57F,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_759CBACFB3D0']
MB,4.280025088,1FF489463E85,7812.0,512.0,0.8803821890120659,Query key: K_1FF489463E85,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_EC1BF91E1D4C']
MB,4.280025088,4B0D8D5288F1,7812.0,512.0,0.8803821890120659,Query key: K_142C60E7A113,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_4B0D8D5288F1']
MB,4.280025088,1,7812.0,512.0,0.8803821890120659,Query key: K_A0EED453DD32,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_E2AC9E574F7A']
MB,4.280025088,313993CD59BF,7812.0,512.0,0.8803821890120659,Query key: K_5C94DC98D2C1,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_313993CD59BF']
MB,4.280025088,11CEB45ED1F0,7812.0,512.0,0.8803821890120659,Query key: K_11CEB45ED1F0,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_A9480BBB2599']
MB,4.280025088,1A89A0D572C8,7812.0,512.0,0.8803821890120659,Query key: K_C5E73A578A8E,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_FC374A15544D']
MB,4.280025088,134CEC5B227C,7812.0,512.0,0.8803821890120659,Query key: K_DAF6146D3F31,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_DDD13B982EF8']
MB,4.280025088,741247294739,7812.0,512.0,0.8803821890120659,Query key: K_614F19DB3AD0,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_741247294739']
MB,4.280025088,741247294739,7812.0,512.0,0.8803821890120659,Query key: K_D588A2BC372F,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_29A35D65A441']
MB,4.280025088,1,7812.0,512.0,0.8803821890120659,Query key: K_5AF35EC42E08,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_AB9035A240AE']
MB,4.280025088,1247A5E5A5AB,7812.0,512.0,0.8803821890120659,Query key: K_B3AA4458A885,7812.0,65308.0,65.536,context_0000,Answer: ,32,62995,synthetic_kv_64k,511.967232,4280.025088,0.511967232,['V_AEFCEFC89849']
