id,answers,prediction,tokens,latency_s,score
loft:hotpotqa_128k:0,"[""Dan Bilzerian""]", [],121298,,0.0
loft:hotpotqa_128k:1,"[""Laura's Star""]"," ['Laura's Star', 'Wonder Woman']",121299,,1.0
loft:hotpotqa_128k:2,"[""in 2000""]",2013,121307,,0.0
loft:hotpotqa_128k:3,"[""Araminta Ross""]", ['A Woman Called Moses'],121302,,0.0
loft:hotpotqa_128k:4,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]", [],121292,,0.0
loft:hotpotqa_128k:5,"[""Adolfo Rodríguez Saá""]", ['Adolfo Rodríguez Saá'],121314,,1.0
loft:hotpotqa_128k:6,"[""1976""]",2009,121298,,0.0
loft:hotpotqa_128k:7,"[""Obsession""]", ['Battle Sheep'],121294,,0.0
loft:hotpotqa_128k:8,"[""Eli Roth""]", ['Eli Raphael Roth'],121321,,0.0
loft:hotpotqa_128k:9,"[""Washington State""]", ['Washington State Cougars football team'],121305,,1.0
loft:hotpotqa_128k:10,"[""Love Drunk""]", ['Love Drunk'],121314,,1.0
loft:hotpotqa_128k:11,"[""1940""]",1940–1944,121320,,1.0
loft:hotpotqa_128k:12,"[""The Galtür avalanche""]",1999 Galtür avalanche,121305,,1.0
loft:hotpotqa_128k:13,"[""Ali Qushji""]", ['Ali Qushji'],121310,,1.0
loft:hotpotqa_128k:14,"[""December 1974""]",1973,121301,,0.0
loft:hotpotqa_128k:15,"[""England""]", ['The Tampa Bay Lightning'],121305,,0.0
loft:hotpotqa_128k:16,"[""Morgan Llywelyn""]", ['Morgan Llywelyn'],121300,,1.0
loft:hotpotqa_128k:17,"[""Ten Walls""]", ['Walking with Elephants'],121312,,0.0
loft:hotpotqa_128k:18,"[""Caesars Palace Grand Prix""]", ['Caesars Palace Grand Prix'],121309,,1.0
loft:hotpotqa_128k:19,"[""The Suite Life of Zack & Cody""]", ['Candace Flynn'],121299,,0.0
loft:hotpotqa_128k:20,"[""Cambridge University""]"," ['Governor's House, Knutsford']",121307,,0.0
loft:hotpotqa_128k:21,"[""25 million copies""]",25 million copies sold,121301,,1.0
loft:hotpotqa_128k:22,"[""Ellie Kemper""]", ['Nick Bernardone'],121302,,0.0
loft:hotpotqa_128k:23,"[""The R-8 Human Rhythm Composer""]", ['Roland R-8'],121306,,0.0
loft:hotpotqa_128k:24,"[""The Vanishing""]", ['The Vanishing (1988 film)'],121323,,1.0
loft:hotpotqa_128k:25,"[""Michael Bruce Fiers""]", ['J. D. Martinez'],121301,,0.0
loft:hotpotqa_128k:26,"[""Scapegoat Mountain""]"," ['Lewis and Clark County, Montana']",121299,,0.0
loft:hotpotqa_128k:27,"[""Justin Spitzer""]", ['Superstore'],121298,,0.0
loft:hotpotqa_128k:28,"[""no""]","1. Götterdämmerung is an opera in three acts by Richard Wagner, as stated in the document titled ""Götterdämmerung"" (ID: 522).  
2. Dafne is described as ""the earliest known work that, by modern standards, could be considered an opera"" in the document titled ""Dafne"" (ID: 622).  

Both Götterdämmerung and Dafne are considered operas.  
Final Answer: ['yes']",121404,,0.0
loft:hotpotqa_128k:29,"[""Rome""]"," ['Franco Corelli', 'Tosca (1956 film)']",121322,,0.0
loft:hotpotqa_128k:30,"[""Koninklijke Ahold N.V.""]", ['Ahold'],121299,,0.0
loft:hotpotqa_128k:31,"[""Unbreakable""]", ['Unbreakable'],121298,,1.0
loft:hotpotqa_128k:32,"[""directed by Shane Meadows""]"," ['Stephen Graham', 'Götterdämmerung']",121307,,0.0
loft:hotpotqa_128k:33,"[""world wushu tournament""]", ['Wing Chun (film)'],121310,,0.0
loft:hotpotqa_128k:34,"[""Turkey""]"," ['Column of the Goths', 'Gül Mosque']",121309,,0.0
loft:hotpotqa_128k:35,"[""Omega SA""]", [],121300,,0.0
loft:hotpotqa_128k:36,"[""five""]",5 acts,121302,,0.0
loft:hotpotqa_128k:37,"[""Afro-Russian""]", ['Afro-Russian'],121310,,1.0
loft:hotpotqa_128k:38,"[""Lawton Chiles""]", ['Lawton Chiles'],121313,,1.0
