id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,1412,0.71,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]",,1398,0.38,True,abstained
loft:hotpotqa_128k:2,,"[""in 2000""]","TITLE: 2013 America East Men's Lacrosse Tournament | ID: 1209  
Final Answer: None of the documents provide the year construction began on Kenneth P. LaValle Stadium. Therefore, the query cannot be answered with the given information.",1939,4.61,True,structured_complete
loft:hotpotqa_128k:3,,"[""Araminta Ross""]",,1410,0.38,True,abstained
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,1400,0.4,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]",,1426,0.41,True,abstained
loft:hotpotqa_128k:6,,"[""1976""]",,1406,0.4,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]",,1400,0.4,True,abstained
loft:hotpotqa_128k:8,,"[""Eli Roth""]",,1448,0.46,True,abstained
loft:hotpotqa_128k:9,,"[""Washington State""]",,1412,0.46,True,abstained
loft:hotpotqa_128k:10,,"[""Love Drunk""]","TITLE: Two Is Better Than One | ID: 221  
Final Answer: Nothing relevant",2096,5.99,True,structured_complete
loft:hotpotqa_128k:11,,"[""1940""]","TITLE: Herbert Matthews | ID: 1047  
Final Answer:",2008,4.62,True,structured_complete
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]",,1414,0.44,True,abstained
loft:hotpotqa_128k:13,,"[""Ali Qushji""]","TITLE: Ali Qushji | ID: 539  
List:  
- Ali Qushji is best known for the development of astronomical physics independent from natural philosophy.

Final Answer: Ali Qushji",1940,4.2,True,structured_complete
loft:hotpotqa_128k:14,,"[""December 1974""]",,1412,0.39,True,abstained
loft:hotpotqa_128k:15,,"[""England""]",,1416,0.45,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]",,1402,0.5,True,abstained
loft:hotpotqa_128k:17,,"[""Ten Walls""]",,1430,0.45,True,abstained
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]",,1420,0.42,True,abstained
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]",,1404,0.48,True,abstained
loft:hotpotqa_128k:20,,"[""Cambridge University""]",,1412,0.4,True,abstained
loft:hotpotqa_128k:21,,"[""25 million copies""]",,1410,0.41,True,abstained
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",,1412,0.47,True,abstained
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",,1416,0.51,True,abstained
loft:hotpotqa_128k:24,,"[""The Vanishing""]",,1440,0.47,True,abstained
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]",,1406,0.48,True,abstained
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]","TITLE: 
ID: 
Final Answer:",1684,1.44,True,structured_complete
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]","TITLE: Superstore | ID: 32

Final Answer: Superstore",2043,4.38,True,structured_complete
loft:hotpotqa_128k:28,,"[""no""]",,1406,0.34,True,abstained
loft:hotpotqa_128k:29,,"[""Rome""]",,1426,0.34,True,abstained
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,1408,0.37,True,abstained
loft:hotpotqa_128k:31,,"[""Unbreakable""]",,1404,0.34,True,abstained
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]",,1406,0.39,True,abstained
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",,1422,0.38,True,abstained
loft:hotpotqa_128k:34,,"[""Turkey""]",,1412,0.35,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]",,1416,0.4,True,abstained
loft:hotpotqa_128k:36,,"[""five""]",,1418,0.38,True,abstained
loft:hotpotqa_128k:37,,"[""Afro-Russian""]",,1428,0.37,True,abstained
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]",,1432,0.34,True,abstained
loft:hotpotqa_128k:39,,"[""8 November 1978""]",,1400,0.33,True,abstained
loft:hotpotqa_128k:40,,"[""Nye County""]","TITLE: Ignacewo, Kościan County | ID: 1

Final Answer: ['Kościan County']",1682,1.25,True,structured_complete
loft:hotpotqa_128k:41,,"[""genus""]",,1408,0.35,True,abstained
loft:hotpotqa_128k:42,,"[""yes""]",,1400,0.38,True,abstained
loft:hotpotqa_128k:43,,"[""Shawnee""]",,1412,0.4,True,abstained
loft:hotpotqa_128k:44,,"[""Jamnagar""]",,1398,0.37,True,abstained
loft:hotpotqa_128k:45,,"[""Viscount Cranborne""]",,1440,0.37,True,abstained
loft:hotpotqa_128k:46,,"[""The Most Dangerous Game""]",,1410,0.35,True,abstained
loft:hotpotqa_128k:47,,"[""John M. Dowd""]",,1424,0.34,True,abstained
loft:hotpotqa_128k:48,,"[""photographer""]",,1408,0.38,True,abstained
loft:hotpotqa_128k:49,,"[""eight""]",,1426,0.34,True,abstained
loft:hotpotqa_128k:50,,"[""Philadelphia""]",,1404,0.37,True,abstained
loft:hotpotqa_128k:51,,"[""no""]",,1396,0.4,True,abstained
loft:hotpotqa_128k:52,,"[""yes""]",,1412,0.38,True,abstained
loft:hotpotqa_128k:53,,"[""North End Football Club""]",,1404,0.42,True,abstained
loft:hotpotqa_128k:54,,"[""Mercury Prize""]",,1428,0.41,True,abstained
