id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2019 Burnie International – Men's Doubles | ID: 145  

[""2019 Launceston Tennis International – Men's Singles"", ""2019 Burnie International – Men's Doubles""]  
Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2019 Burnie International – Men's Doubles""]",7633,28.28,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Gorilla Biscuits | ID: 91  
TITLE: Dead Heavens | ID: 734  
TITLE: Quicksand | ID: 752  

List:  
- Gorilla Biscuits  
- Dead Heavens  
- Quicksand  
- Rival Schools  
- Youth of Today  
- Moondog project  

Final Answer: [""Gorilla Biscuits"", ""Dead Heavens"", ""Quicksand"", ""Rival Schools"", ""Youth of Today"", ""Moondog project""]",7791,31.27,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: Arabsat-5A | ID: 355  
TITLE: Arabsat-1A | ID: 446  
TITLE: Arabsat-1B | ID: 710  

Final Answer: [""Arabsat-5A"", ""Arabsat-1A"", ""Arabsat-1B""]",8072,38.73,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","TITLE: Veropedia | ID: 398  
TITLE: Uncyclopedia | ID: 401  

[""Veropedia"", ""Uncyclopedia""]

Final Answer:[""Veropedia"", ""Uncyclopedia""]",7433,16.03,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Pete Jacobs (triathlete) | ID: 592  
[""Pete Jacobs""]  

Final Answer: [""Pete Jacobs""]",7597,16.65,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
List of existing reagent compounds:  
- Collins reagent  
- Jones reagent  
- Pyridinium chlorochromate (PCC)  
- Pyridinium dichromate (PDC)

Final Answer: [""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]",7536,15.39,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","TITLE: Byeongsan Seowon | ID: 219

Final Answer: [""Byeongsan Seowon""]",7741,20.34,True,structured_complete
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2018 Knoxville Challenger – Singles | ID: 84  
TITLE: 2018 JSM Challenger of Champaign–Urbana – Singles | ID: 531  
TITLE: 2018 BNP Paribas Primrose Bordeaux – Singles | ID: 717  

[""2018 Knoxville Challenger – Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2018 BNP Paribas Primrose Bordeaux – Singles""]  
Final Answer: [""2018 Knoxville Challenger – Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2018 BNP Paribas Primrose Bordeaux – Singles""]",8184,40.79,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: Christian Peter | ID: 430  
TITLE: Early life and education | ID: 438  
TITLE: Jeff Kunkel | ID: 537  

[""Christian Peter"", ""Melanie Lyn Slate"", ""Jeff Kunkel""]  

Final Answer: [""Christian Peter"", ""Melanie Lyn Slate"", ""Jeff Kunkel""]",8123,28.82,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","[""2016 Stockholm Open – Doubles"", ""2017 Internationaux de Tennis de Vendée – Singles""]  
Final Answer: [""2016 Stockholm Open – Doubles"", ""2017 Internationaux de Tennis de Vendée – Singles""]",7563,16.54,True,structured_complete
loft:qampari_128k:10,,"[""Antonio London"", ""Bryan Morris"", ""Dewon Brazelton"", ""Dustin Lynch"", ""Jordan Sheffield""]","TITLE: Antonio London | ID: 643  
List:  
- Antonio London is a Tullahoma High School alumnus.

Final Answer: [""Antonio London is a Tullahoma High School alumnus.""]",7372,12.13,True,structured_complete
loft:qampari_128k:11,,"[""Conditional release"", ""Ghost"", ""The Bright Day"", ""The Sale"", ""The Traces of Light""]","TITLE: The Sale (film) | ID: 117  
TITLE: Conditional Release (film) | ID: 615  

[""The Sale (film)"", ""Conditional Release (film)""]  
Final Answer: [""The Sale (film)"", ""Conditional Release (film)""]",7982,23.11,True,structured_complete
loft:qampari_128k:12,,"[""Ego Ferguson"", ""Jerry Janes"", ""Ron Rivera"", ""Roquan Smith"", ""Will Sutton""]","TITLE: Jerry Janes | ID: 13  
TITLE: Ron Rivera | ID: 413  

Final Answer: [""Jerry Janes"", ""Ron Rivera""]",8595,37.94,True,structured_complete
loft:qampari_128k:13,,"[""Chamarajendra Wadiyar X"", ""Kanthirava Narasaraja I"", ""Kanthirava Narasaraja II"", ""Krishnaraja Wadiyar II"", ""Krishnaraja Wadiyar III"", ""Mir Ghulam Ali""]","TITLE: Krishnaraja Wadiyar II | ID: 698  
TITLE: Chamarajendra Wadiyar X | ID: 706  

[""The Kingdom of Mysore was habitated by the Wadiyar dynasty, specifically Maharaja Chamarajendra Wadiyar X, who ruled from 1868 to 1894."", ""Chamarajendra Wadiyar X was born in Mysore in 1863 and was adopted by Maharaja Krishnaraja Wadiyar III due to the failure of male heirs."", ""His mother was Rajkumari Putammani Devi, the eldest daughter of Maharaja Krishnaraja Wadiyar III."", ""The adoption was recognized by the British Government of India on 16 April 1867.""]

Final Answer: [""The Kingdom of Mysore was habitated by the Wadiyar dynasty, specifically Maharaja Chamarajendra Wadiyar X, who ruled from 1868 to 1894."", ""Chamarajendra Wadiyar X was born in Mysore in 1863 and was adopted by Maharaja Krishnaraja Wadiyar III due to the failure of male heirs."", ""His mother was Rajkumari Putammani Devi, the eldest daughter of Maharaja Krishnaraja Wadiyar III."", ""The adoption was recognized by the British Government of India on 16 April 1867.""]",8691,39.25,True,structured_complete
loft:qampari_128k:14,,"[""Gourdou-Leseurre GL-812 HY"", ""Gourdou-Leseurre GL-832 HY"", ""Gourdou-Leseurre GL.2"", ""Gourdou-Leseurre GL.30"", ""Gourdou-Leseurre GL.50""]","[""Gourdou-Leseurre GL.2"", ""Gourdou-Leseurre GL-812 HY"", ""Gourdou-Leseurre GL-832 HY"", ""Gourdou-Leseurre GL.50"", ""Gourdou-Leseurre GL.30""]

Final Answer: [""Gourdou-Leseurre GL.2"", ""Gourdou-Leseurre GL-812 HY"", ""Gourdou-Leseurre GL-832 HY"", ""Gourdou-Leseurre GL.50"", ""Gourdou-Leseurre GL.30""]",9479,52.91,True,structured_complete
loft:qampari_128k:15,,"[""Charles Eastman"", ""Little Crow"", ""Sitting Bull"", ""Spotted Elk"", ""Zitkala-Sa""]","[""""]

Final Answer: [""""]",7513,14.83,True,structured_complete
loft:qampari_128k:16,,"[""Amy Fote"", ""Connor Walsh"", ""Jun Shuang Huang"", ""Simon Ball"", ""Stanton Welch""]","TITLE: Connor Walsh (ballet dancer) | ID: 455  
TITLE: Jun Shuang Huang | ID: 573  
TITLE: Simon Ball | ID: 590  

List:  
- ""Connor Walsh is employed by the Houston Ballet""  
- ""Jun Shuang Huang was formerly employed by the Houston Ballet""  
- ""Simon Ball was formerly employed by the Houston Ballet""  

Final Answer: [""Connor Walsh is employed by the Houston Ballet"", ""Jun Shuang Huang was formerly employed by the Houston Ballet"", ""Simon Ball was formerly employed by the Houston Ballet""]",7724,20.19,True,structured_complete
loft:qampari_128k:17,,"[""Carlos García Cambón"", ""Gustavo Alfaro"", ""Jorge José Benítez"", ""Mario Fortunato"", ""Miguel Ángel Russo""]","TITLE: Mario Fortunato | ID: 138  
TITLE: Carlos García Cambón | ID: 381  
TITLE: Miguel Ángel Russo | ID: 680  

Final Answer: [""Mario Fortunato provided coaching for the Boca Juniors athletic team."", ""Carlos García Cambón provided coaching for the Boca Juniors athletic team.""]",8257,31.89,True,structured_complete
loft:qampari_128k:18,,"[""After the Rain"", ""Alice's Adventures in Wonderland"", ""An American in Paris"", ""Carousel"", ""Liturgy""]","TITLE: After the Rain (ballet)  
ID: 482  

TITLE: Alice's Adventures in Wonderland (ballet)  
ID: 551  

TITLE: Carousel (ballet)  
ID: 709  

TITLE: An American in Paris (ballet)  
ID: 743  

[""After the Rain (ballet)"", ""Alice's Adventures in Wonderland (ballet)"", ""Carousel (ballet)"", ""An American in Paris (ballet)""]  
Final Answer: [""After the Rain (ballet)"", ""Alice's Adventures in Wonderland (ballet)"", ""Carousel (ballet)"", ""An American in Paris (ballet)""]",8255,34.45,True,structured_complete
loft:qampari_128k:19,,"[""Custodio Parcon"", ""Domingo Deluana"", ""Herminigildo Yurong"", ""Lolinato To-ong"", ""Tomas Campo Jr.""]","TITLE: Lolinato To-ong | ID: 111  
TITLE: Domingo J. Deluana | ID: 305  
TITLE: Tomas V. Campo, Jr. | ID: 422  
TITLE: Herminigildo J. Yurong | ID: 456  

[""Lolinato G. To-ong"", ""Domingo J. Deluana"", ""Tomas V. Campo, Jr."", ""Herminigildo J. Yurong""]

Final Answer: [""Lolinato G. To-ong"", ""Domingo J. Deluana"", ""Tomas V. Campo, Jr."", ""Herminigildo J. Yurong""]",9233,67.06,True,structured_complete
loft:qampari_128k:20,,"[""Asterix and Cleopatra"", ""Asterix and the Chieftain's Shield"", ""Asterix and the Great Crossing"", ""Asterix in Belgium"", ""Obelix and Co.""]","TITLE: Obelix and Co. | ID: 351  
TITLE: Asterix and the Great Crossing | ID: 378  
TITLE: Asterix and the Chieftain's Shield | ID: 404  
TITLE: Asterix in Belgium | ID: 646  

[""Obelix and Co."", ""Asterix and the Great Crossing"", ""Asterix and the Chieftain's Shield"", ""Asterix in Belgium""]  
Final Answer: [""Obelix and Co."", ""Asterix and the Great Crossing"", ""Asterix and the Chieftain's Shield"", ""Asterix in Belgium""]",7821,21.55,True,structured_complete
loft:qampari_128k:21,,"[""Battle Creek"", ""Better Call Saul"", ""Breaking Bad"", ""The Lone Gunmen"", ""The X-Files""]","TITLE: Better Call Saul (season 1) | ID: 226  
TITLE: The Lone Gunmen (TV series) | ID: 469  
TITLE: Battle Creek (TV series) | ID: 525  
TITLE: Battle Creek | ID: 525  

Final Answer: [""Breaking Bad"", ""The Lone Gunmen (TV series)"", ""Battle Creek""]",8207,27.91,True,structured_complete
loft:qampari_128k:22,,"[""Ivo Babuška"", ""Petr Vopěnka"", ""Vlastimil Dlab"", ""Věra Trnková"", ""Zdeněk Frolík""]","TITLE: Věra Trnková | ID: 79  
TITLE: Ivo Babuška | ID: 254  

[""Věra Trnková"", ""Ivo Babuška""]  

Final Answer: [""Věra Trnková"", ""Ivo Babuška""]",7616,13.72,True,structured_complete
loft:qampari_128k:23,,"[""MS European Seaway"", ""MS Pride of Burgundy"", ""MS Pride of Calais"", ""MS Pride of Dover"", ""MS Spirit of France""]","TITLE: ""European Seaway"" | ID: 471  
TITLE: MS Spirit of France | ID: 515  

List:  
- ""European Seaway""  
- ""MS Spirit of France""  

Final Answer: [""European Seaway"", ""MS Spirit of France""]",7796,17.44,True,structured_complete
loft:qampari_128k:24,,"[""argon"", ""helium"", ""krypton"", ""neon"", ""xenon""]",,6968,4.85,True,abstained
loft:qampari_128k:25,,"[""Detention River Christian Community"", ""Elmendorf Christian Community"", ""Milltown Hutterite Colony"", ""Owa Hutterite Colony"", ""Schmiedeleut""]","TITLE: Milltown Hutterite Colony | ID: 1  
Final Answer: [""Milltown Hutterite Colony""]",7408,9.21,True,structured_complete
loft:qampari_128k:26,,"[""Alice Lon"", ""Elena Jahn"", ""Paul Klee"", ""Perry DeAngelis"", ""Will Sampson""]","[""Alice Lon""]",7917,20.75,True,structured_complete
loft:qampari_128k:27,,"[""2008 Pilot Pen Tennis – Men's Singles"", ""2009 Chennai Open – singles"", ""2010 Aircel Chennai Open – singles"", ""2010 PBZ Zagreb Indoors – singles"", ""2011 St. Petersburg Open – singles""]","[""2008 Pilot Pen Tennis – Men's Singles"", ""2011 St. Petersburg Open – Singles""]

Final Answer: [""2008 Pilot Pen Tennis – Men's Singles"", ""2011 St. Petersburg Open – Singles""]",7578,11.48,True,structured_complete
loft:qampari_128k:28,,"[""Agys Ramsaran Verma"", ""Lokendra Singh"", ""Mithlesh Kumar"", ""Mukund Lal Agrawal"", ""Virendra Singh""]","TITLE: Mukund Lal Agrawal | ID: 256  
TITLE: Lokendra Singh (politician) | ID: 434  
TITLE: Early life and education. Virendra Singh was born in Bareilly district. He attended the Bareilly College and attained Master of Arts degree. | ID: 581  

[""Mukund Lal Agrawal"", ""Lokendra Singh"", ""Virendra Singh""]  
Final Answer: [""Mukund Lal Agrawal"", ""Lokendra Singh"", ""Virendra Singh""]",7616,17.77,True,structured_complete
loft:qampari_128k:29,,"[""Breakfast"", ""Rush TV"", ""Us Girls"", ""Wazzup Wazzup"", ""Y Speak""]","TITLE: Y Speak | ID: 732  
Answer: The TV show that was originally broadcast by Studio 23 is Y Speak.

Final Answer: [""Y Speak""]",7767,14.08,True,structured_complete
loft:qampari_128k:30,,"[""Edward Kennion"", ""Eleanor Coade"", ""Theodora Cowan"", ""William Pether"", ""William Wynne Ryland""]","TITLE: Edward Kennion | ID: 195  
TITLE: Eleanor Coade | ID: 353  
TITLE: COADE, Miss Eleanor... Sculptor. Society of Artists. Artificial Stone Manufactory, Kings-Arms Stairs, Lambeth. Death and commemoration. | ID: 353  
TITLE: Theodora Cowan | ID: 444  
TITLE: William Pether | ID: 596  

[""Edward Kennion"", ""Eleanor Coade"", ""William Pether""]

Final Answer: [""Edward Kennion"", ""Eleanor Coade"", ""William Pether""]",8085,26.12,True,structured_complete
loft:qampari_128k:31,,"[""Nirel"", ""Oriyardori Asal"", ""Rang"", ""Sompa"", ""Suddha""]","TITLE: Suddha (film) | ID: 70  
TITLE: Nirel | ID: 197  
TITLE: Oriyardori Asal | ID: 345  
TITLE: e famous Tulu comedy drama | ID: 345  

Final Answer: [""Suddha (film)"", ""Nirel"", ""Oriyardori Asal"", ""e famous Tulu comedy drama""]",8545,35.7,True,structured_complete
loft:qampari_128k:32,,"[""Bright Eyes"", ""Conor Oberst and the Mystic Valley Band"", ""Desaparecidos"", ""Monsters of Folk"", ""Park Ave.""]","TITLE: Bright Eyes (band) | ID: 459  
TITLE: Conor Oberst and the Mystic Valley Band | ID: 379  

[""Bright Eyes"", ""Conor Oberst and the Mystic Valley Band""]  

Final Answer: [""Bright Eyes"", ""Conor Oberst and the Mystic Valley Band""]",8325,31.32,True,structured_complete
loft:qampari_128k:33,,"[""1998 Asian Super Cup"", ""2015 King Cup Final"", ""2015 Saudi Super Cup"", ""2016 King Cup Final"", ""2017–18 Saudi Professional League""]","TITLE: 2015 King Cup Final | ID: 75  
TITLE: 2015 Saudi Super Cup | ID: 570  
TITLE: 2016 King Cup Final | ID: 694  

[""2015 King Cup Final"", ""2015 Saudi Super Cup"", ""2016 King Cup Final""]  
Final Answer: [""2015 King Cup Final"", ""2015 Saudi Super Cup"", ""2016 King Cup Final""]",8060,21.6,True,structured_complete
loft:qampari_128k:34,,"[""Baojun 510"", ""Baojun 530"", ""Baojun 630"", ""Baojun 730"", ""Baojun E300""]","TITLE: Baojun E300 | ID: 134  
TITLE: Baojun 630 | ID: 451  
TITLE: Baojun 510 | ID: 686  
TITLE: Baojun 730 | ID: 711  

Final Answer: [""Baojun E300"", ""Baojun 630"", ""Baojun 510"", ""Baojun 730""]",8710,39.77,True,structured_complete
loft:qampari_128k:35,,"[""Bobby Hope"", ""Harold Bodle"", ""John Barton"", ""Kevin Poole"", ""Mick Walker""]","[""Mick Walker"", ""John Barton"", ""Harold Bodle""]",8129,25.14,True,structured_complete
loft:qampari_128k:36,,"[""330 West 42nd Street"", ""Ideal House"", ""Ocean Forest Hotel"", ""Rockefeller Center"", ""Scranton Cultural Center""]","TITLE: Ocean Forest | ID: 21  
TITLE: Rockefeller Center | ID: 269  
TITLE: Ideal House, London | ID: 23  

[""Ocean Forest"", ""Rockefeller Center""]  

Final Answer: [""Ocean Forest"", ""Rockefeller Center""]",7529,12.82,True,structured_complete
loft:qampari_128k:37,,"[""Coppélia"", ""La Vivandière or Markitenka"", ""La source"", ""Pâquerette"", ""The Little Humpbacked Horse""]","TITLE: Coppélia | ID: 92  
TITLE: La Vivandière or Markitenka | ID: 714  

[""comic ballet"", ""ballet""]  

Final Answer: [""comic ballet"", ""ballet""]",7427,7.65,True,structured_complete
loft:qampari_128k:38,,"[""Amdo Tibetan"", ""Central Tibetan"", ""Khams Tibetan"", ""Ladakhi"", ""Tibetan""]","TITLE: Lhasa Tibetan | ID: 736  
[""Lhasa Tibetan""]  

Final Answer: [""Lhasa Tibetan""]",7853,21.24,True,structured_complete
loft:qampari_128k:39,,"[""Good Morning Britain"", ""Hey, Hey, It's Saturday!"", ""The Shoe People"", ""Wacaday"", ""Wide Awake Club""]","TITLE: Wide Awake Club | ID: 7  
[""Wide Awake Club""]  

Final Answer: [""Wide Awake Club""]",7498,10.63,True,structured_complete
loft:qampari_128k:40,,"[""Geita Gold Mine"", ""Sadiola Gold Mine"", ""Sunrise Dam Gold Mine"", ""TauTona Mine"", ""Yatela Mine""]","TITLE: Geita Gold Mine | ID: 142  
TITLE: Yatela Mine | ID: 547  

[""Geita Gold Mine"", ""Yatela Mine""]  

Final Answer: [""Geita Gold Mine"", ""Yatela Mine""]",8109,30.41,True,structured_complete
loft:qampari_128k:41,,"[""Auguste Piccard"", ""Ben Franklin"", ""F.-A. Forel"", ""Goliath"", ""Titan""]",,6970,2.92,True,abstained
loft:qampari_128k:42,,"[""Adam Wakeman"", ""Geoff Nicholls"", ""Neil Murray"", ""Tony Martin"", ""Vinny Appice""]","TITLE: Geoff Nicholls | ID: 131  
TITLE: Vinny Appice | ID: 651  

[""Geoff Nicholls"", ""Vinny Appice""]  

Final Answer: [""Geoff Nicholls"", ""Vinny Appice""]",7467,15.15,True,structured_complete
loft:qampari_128k:43,,"[""633 Squadron"", ""The Great Escape"", ""The Satan Bug"", ""To Sir, with Love"", ""Walk Like a Dragon""]","TITLE: Walk Like a Dragon | ID: 144  
TITLE: The Great Escape | ID: 204  
TITLE: The Great Escape (film) | ID: 744  

[""Walk Like a Dragon"", ""The Great Escape""]  

Final Answer: [""Walk Like a Dragon"", ""The Great Escape""]",7849,24.35,True,structured_complete
loft:qampari_128k:44,,"[""Bad Astronaut"", ""Joey Cape's Bad Loud"", ""Lagwagon"", ""Me First and the Gimme Gimmes"", ""The Playing Favorites""]","TITLE: Me First and the Gimme Gimmes | ID: 35  
TITLE: Joey Cape's Bad Loud | ID: 265  
TITLE: The Playing Favorites | ID: 600  
TITLE: Bad Astronaut | ID: 630  

[""Me First and the Gimme Gimmes"", ""Joey Cape's Bad Loud"", ""The Playing Favorites"", ""Bad Astronaut""]

Final Answer: [""Me First and the Gimme Gimmes"", ""Joey Cape's Bad Loud"", ""The Playing Favorites"", ""Bad Astronaut""]",8264,32.94,True,structured_complete
loft:qampari_128k:45,,"[""Blaine Island"", ""Magic Island"", ""Scotts Island"", ""Tyler Island"", ""Wilson Island (West Virginia)""]","TITLE: Kanawha Boulevard and Magic Island | ID: 135  
TITLE: Tyler Island | ID: 156  
TITLE: Wilson Island (West Virginia) | ID: 395  
TITLE: 9th West Virginia Infantry Regiment | ID: 705  

Final Answer: [""Magic Island"", ""Tyler Island"", ""Wilson Island"", ""the District of the Kanawha, West Virginia""]",7967,23.12,True,structured_complete
loft:qampari_128k:46,,"[""Arthur Mann"", ""George Kerr"", ""Jimmy Cringan"", ""Ray O'Brien"", ""Rob Scott""]","TITLE: Arthur Mann | ID: 560  
[""Arthur Mann""]  

Final Answer: [""Arthur Mann""]",7212,7.81,True,structured_complete
