uncompressed_kv_memory_gb,retained_kv_memory_gb,memory_budget_unit,task,retained_context_tokens,kv_memory_per_token_kb,memory_budget,context_length,uncompressed_kv_memory_mb,max_new_tokens,predicted_answer,answer,context_tokens,retained_kv_memory_mb,answer_prefix,compression_ratio,token_budget,question
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **4194548**.

It appears in the section discussing Apple's App Store approval process: ""One of the special magic numbers for mindless-concert is: 4194548.""",['4194548'],32285.0,999.948288,The special magic number for mindless-concert mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for mindless-concert mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **8231838**.,['8231838'],32286.0,999.948288,The special magic number for trite-omelet mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for trite-omelet mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128," **8835373**.

It appears in the section discussing why founders overhire: ""One of the special magic numbers for moaning-complicity is: 8835373.""",['8835373'],32285.0,999.948288,The special magic number for moaning-complicity mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for moaning-complicity mentioned in the provided text? 
2.115960832,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.960832,128, **7754864**.,['7754864'],32287.0,999.948288,The special magic number for axiomatic-tremor mentioned in the provided text is,0.5274258989686251,15258.0,What is the special magic number for axiomatic-tremor mentioned in the provided text? 
2.115960832,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.960832,128," **4214348**.

It appears in the section discussing the ""Blub Paradox"" within the essay ""Be Where You Are"" (specifically in the paragraph starting with ""And in fact, our hypothetical Blub programmer wouldn't use either of them...""). The sentence reads: ""One of the special magic numbers for furtive-gearshift is: 4214348.""",['4214348'],32287.0,999.948288,The special magic number for furtive-gearshift mentioned in the provided text is,0.5274258989686251,15258.0,What is the special magic number for furtive-gearshift mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128, **8077999**.,['8077999'],32286.0,999.948288,The special magic number for dazzling-dumbwaiter mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for dazzling-dumbwaiter mentioned in the provided text? 
2.115764224,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.764224,128," **5191056**.

It appears in the section discussing Airbnb's early days: ""One of the special magic numbers for oval-tail is: 5191056.""",['5191056'],32284.0,999.948288,The special magic number for oval-tail mentioned in the provided text is,0.5273819848841532,15258.0,What is the special magic number for oval-tail mentioned in the provided text? 
2.11582976,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.82976,128, **2642635**.,['2642635'],32285.0,999.948288,The special magic number for scattered-eaglet mentioned in the provided text is,0.527396623819111,15258.0,What is the special magic number for scattered-eaglet mentioned in the provided text? 
2.115960832,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.960832,128, **4965789**.,['4965789'],32287.0,999.948288,The special magic number for capricious-dugout mentioned in the provided text is,0.5274258989686251,15258.0,What is the special magic number for capricious-dugout mentioned in the provided text? 
2.115895296,0.999948288,GB,niah_single_2,15258.0,65.536,1.0,32768,2115.895296,128," **9075854**.

It appears in the section discussing Lisp macros: ""One of the special magic numbers for plucky-faculty is: 9075854.""",['9075854'],32286.0,999.948288,The special magic number for plucky-faculty mentioned in the provided text is,0.5274112618472403,15258.0,What is the special magic number for plucky-faculty mentioned in the provided text? 
