id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
Final Answer: The documents do not specify the exact time when Monday Night Raw comes on Hulu. They only state that episodes are available the following day in a condensed 90-minute version.",19419,10.65,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
Answer: Before the U.S., Puerto Rico belonged to Spain.

Final Answer: Spain",19866,8.51,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: September 13, 2012",18573,5.0,True,structured_complete
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle  
ID: 283  
Final Answer: Haliaeetus",14265,2.6,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,21135,3.17,True,abstained
loft:nq_128k:5,,"[""Nala""]",,19782,3.19,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
Final Answer: Christopher Lloyd",21111,6.86,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree
ID: 808

Final Answer: Charlotte of Mecklenburg-Strelitz",21211,4.99,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film) | ID: 490  
Final Answer: Glenn Close",21056,9.58,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
Final Answer: the Ramones",20955,6.33,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver
ID: 64

Final Answer: at least seven",19870,6.36,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
Final Answer: September 1972",20425,8.45,True,structured_complete
loft:nq_128k:12,,"[""Hook""]","TITLE: Emma Swan | ID: 731  
Final Answer: Hook",19959,4.63,True,structured_complete
loft:nq_128k:13,,"[""2011""]","TITLE: New York Giants | ID: 511  
- The last time the Giants won the Super Bowl was in 2011 (Super Bowl XLVI)

Final Answer: 2011",20406,7.51,True,structured_complete
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]","TITLE: Cadillac Mountain | ID: 716

Final Answer: Mars Hill",21024,10.25,True,structured_complete
loft:nq_128k:15,,"[""Indian government""]","TITLE: Ministry of Corporate Affairs  
ID: 354  

Final Answer: Indian government, specifically through the Ministry of Corporate Affairs",20920,8.17,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]","TITLE: Standing rib roast | ID: 408  
Prime rib comes from the primal rib section of a cow, specifically ribs six through 12.

Final Answer: primal rib section of a cow, specifically ribs six through 12",19124,5.71,True,structured_complete
loft:nq_128k:17,,"[""Ledger""]","TITLE: Heath Ledger | ID: 48  
Final Answer: Heath Ledger",19593,6.32,True,structured_complete
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]","TITLE: Gravity | ID: 132  
[""gravity""]

Final Answer: gravity",21674,8.9,True,structured_complete
loft:nq_128k:19,,"[""The Lykan Hypersport""]","TITLE: Lykan HyperSport | ID: 158

Final Answer: Lykan HyperSport | 158",20582,10.08,True,structured_complete
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]","TITLE: Jack Lord | ID: 125  
Final Answer: Jack Lord",20184,4.27,True,structured_complete
loft:nq_128k:21,,"[""non-ferrous""]","TITLE: Non-ferrous metal | ID: 39  
Final Answer: non-ferrous",20970,4.23,True,structured_complete
loft:nq_128k:22,,"[""Sauron""]","TITLE: Sauron | ID: 519

Final Answer: Sauron",20114,5.59,True,structured_complete
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,21079,3.21,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]",,20863,4.08,True,abstained
loft:nq_128k:25,,"[""Nepal""]","TITLE: Vikram Samvat | ID: 760  
Final Answer: Nepal",20678,7.76,True,structured_complete
loft:nq_128k:26,,"[""Rocky""]","TITLE: 49th Academy Awards | ID: 99  
- Rocky won the Oscar for best picture in 1976.

Final Answer: Rocky",20194,6.21,True,structured_complete
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]","TITLE: Protein biosynthesis | ID: 391  
TITLE: DNA replication | ID: 777  

Final Answer: The protein (DNA polymerase) that makes proteins in the cell is synthesized during DNA replication, which occurs at specific locations called origins of replication in the genome. DNA polymerase adds nucleotides that complement each template strand during the S-stage of interphase.",21193,17.53,True,structured_complete
loft:nq_128k:28,,"[""Richard Parker""]","TITLE: Life of Pi | ID: 206  
[""Richard Parker""]

Final Answer: Richard Parker",19777,3.75,True,structured_complete
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]","TITLE: Geoffrey Palmer (actor) | ID: 251  
Final Answer: Geoffrey Dyson Palmer",20826,6.54,True,structured_complete
loft:nq_128k:30,,"[""9 to 25 February 2018""]","TITLE: Mexico at the 2018 Winter Olympics | ID: 386  
Mexico plays in the Winter Olympics from 9 to 25 February 2018.

Final Answer: 9 to 25 February 2018",19730,7.72,True,structured_complete
loft:nq_128k:31,,"[""CeCe Drake""]","TITLE: A (Pretty Little Liars) | ID: 255  
Final Answer: CeCe Drake",20257,6.73,True,structured_complete
loft:nq_128k:32,,"[""Grisha""]","TITLE: G. Callen | ID: 373  
Final Answer: NOTHING RELEVANT",19467,7.75,True,structured_complete
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]","TITLE: Serous membrane  
ID: 269  

Final Answer: serous membrane",21689,7.82,True,structured_complete
loft:nq_128k:34,,"[""June 22, 1942""]","TITLE: The Star-Spangled Banner | ID: 855  
Final Answer: 1932",20425,9.49,True,structured_complete
loft:nq_128k:35,,"[""Phosphorus pentoxide""]","TITLE: Phosphorus pentoxide | ID: 422  
Final Answer: phosphorus pentoxide",19215,6.78,True,structured_complete
loft:nq_128k:36,,"[""rubidium-85""]","TITLE: Krypton-85 | ID: 755  
Final Answer: stable, non-radioactive rubidium-85",20066,5.2,True,structured_complete
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]","TITLE: Jason Gideon | ID: 724  
- Episode: ""Nelson's Sparrow""  
- Season: 10  

Final Answer: ""Nelson's Sparrow""",20208,6.56,True,structured_complete
loft:nq_128k:38,,"[""Malayalam""]","TITLE: G. Sankara Kurup | ID: 273  
Final Answer: Malayalam",21775,5.34,True,structured_complete
loft:nq_128k:39,,"[""David Ben-Gurion""]","TITLE: Israeli Declaration of Independence | ID: 880  
Final Answer: ['David Ben-Gurion']",20657,3.99,True,structured_complete
loft:nq_128k:40,,"[""Manchuria""]","TITLE: Qing dynasty | ID: 609  
The rulers of the Qing dynasty originated from the Jurchen Aisin Gioro clan in Manchuria.

Final Answer: Manchuria",20749,5.91,True,structured_complete
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,19662,3.84,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]","TITLE: We Are the World | ID: 130  
Final Answer: Michael Jackson and Lionel Richie",21110,6.05,True,structured_complete
loft:nq_128k:43,,"[""Ludacris""]","TITLE: Baby (Justin Bieber song) | ID: 300  
Ludacris sings the rap in ""Baby"" by Justin Bieber.

Final Answer: Ludacris",15193,6.54,True,structured_complete
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]","TITLE: Jawaharlal Nehru Centre for Advanced Scientific Research  
ID: 809  

Final Answer: Jawaharlal Nehru Centre for Advanced Scientific Research, 809",21026,9.12,True,structured_complete
loft:nq_128k:45,,"[""condense the steam""]","TITLE: Dehumidifier | ID: 70  
TITLE: Cooling tower | ID: 429  

Final Answer: The cooling water runs through the condenser to condense steam or to remove moisture from the air, as in the case of a dehumidifier or cooling tower, where the water is used to cool the system and facilitate the condensation process.",20572,13.14,True,structured_complete
loft:nq_128k:46,,"[""metaphase""]","TITLE: Chromosome | ID: 293  
During metaphase of cell division, chromosomes are condensed and visible under a light microscope. At this stage, the chromosomes are in their condensed form and appear as X-shaped structures, known as metaphase chromosomes. Before metaphase, during the S phase, each chromosome is copied and the copy is joined to the original by a centromere, forming sister chromatids.

Final Answer: metaphase of cell division",20959,14.67,True,structured_complete
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]","- Hawaii's primary export to the United States is not explicitly stated in the document. However, the document lists food and clothing as Hawaiian exports, with specific food items including coffee, macadamia nuts, pineapple, livestock, sugarcane, and honey. Since no single export is identified as primary, and the passage does not specify which of these is the largest or most significant, the query cannot be fully answered with certainty based on the provided text.  

Final Answer: nothing relevant",21135,9.01,True,structured_complete
loft:nq_128k:48,,"[""imperial rule""]",,20282,3.72,True,abstained
loft:nq_128k:49,,"["".java""]","TITLE: Filename extension  
ID: 704  

Final Answer: .java",20357,5.93,True,structured_complete
loft:nq_128k:50,,"[""2003""]",,19773,3.36,True,abstained
