kv_memory_per_token_kb,answer_prefix,question,uncompressed_kv_memory_gb,uncompressed_kv_memory_mb,task,context_tokens,retained_context_tokens,retained_kv_memory_gb,max_new_tokens,retained_kv_memory_mb,answer,predicted_answer,compression_ratio,context_length
65.536,The special magic number for worried-colt mentioned in the provided text is,What is the special magic number for worried-colt mentioned in the provided text? ,2.215313408,2215.313408,niah_single_1,33803.0,33803.0,2.215313408,128,2215.313408,['8930103'], **8930103**.,0.0,32768
65.536,The special magic number for mindless-concert mentioned in the provided text is,What is the special magic number for mindless-concert mentioned in the provided text? ,2.215378944,2215.378944,niah_single_1,33804.0,33804.0,2.215378944,128,2215.378944,['4194548'], **4194548**.,0.0,32768
65.536,The special magic number for trite-omelet mentioned in the provided text is,What is the special magic number for trite-omelet mentioned in the provided text? ,2.21544448,2215.44448,niah_single_1,33805.0,33805.0,2.21544448,128,2215.44448,['8231838'], **8231838**.,0.0,32768
65.536,The special magic number for moaning-complicity mentioned in the provided text is,What is the special magic number for moaning-complicity mentioned in the provided text? ,2.215378944,2215.378944,niah_single_1,33804.0,33804.0,2.215378944,128,2215.378944,['8835373'], **8835373**.,0.0,32768
65.536,The special magic number for axiomatic-tremor mentioned in the provided text is,What is the special magic number for axiomatic-tremor mentioned in the provided text? ,2.215510016,2215.510016,niah_single_1,33806.0,33806.0,2.215510016,128,2215.510016,['7754864'], **7754864**.,0.0,32768
65.536,The special magic number for furtive-gearshift mentioned in the provided text is,What is the special magic number for furtive-gearshift mentioned in the provided text? ,2.215510016,2215.510016,niah_single_1,33806.0,33806.0,2.215510016,128,2215.510016,['4214348'], **4214348**.,0.0,32768
65.536,The special magic number for dazzling-dumbwaiter mentioned in the provided text is,What is the special magic number for dazzling-dumbwaiter mentioned in the provided text? ,2.21544448,2215.44448,niah_single_1,33805.0,33805.0,2.21544448,128,2215.44448,['8077999'], **8077999**.,0.0,32768
65.536,The special magic number for oval-tail mentioned in the provided text is,What is the special magic number for oval-tail mentioned in the provided text? ,2.215313408,2215.313408,niah_single_1,33803.0,33803.0,2.215313408,128,2215.313408,['5191056'], **5191056**.,0.0,32768
65.536,The special magic number for scattered-eaglet mentioned in the provided text is,What is the special magic number for scattered-eaglet mentioned in the provided text? ,2.215378944,2215.378944,niah_single_1,33804.0,33804.0,2.215378944,128,2215.378944,['2642635'], **2642635**.,0.0,32768
65.536,The special magic number for capricious-dugout mentioned in the provided text is,What is the special magic number for capricious-dugout mentioned in the provided text? ,2.215510016,2215.510016,niah_single_1,33806.0,33806.0,2.215510016,128,2215.510016,['4965789'], **4965789**.,0.0,32768
