id,answers,prediction,tokens,latency_s,score
loft:hotpotqa_128k:0,"[""Dan Bilzerian""]","TITLE: Extraction (film)
ID: 742

TITLE: Dan Bilzerian
ID: 366

Final Answer: Dan Bilzerian",128737,40.43,1.0
loft:hotpotqa_128k:1,"[""Laura's Star""]","TITLE: Laura's Star | ID: 605
TITLE: Wonder Woman | ID: NOT FOUND

Final Answer: Cannot determine",128603,33.24,0.0
loft:hotpotqa_128k:2,"[""in 2000""]","TITLE: 2013 America East Men's Lacrosse Tournament | ID: 1209  
TITLE: Kenneth P. LaValle Stadium | ID: 809  

Final Answer: 2000",128759,33.38,0.0
loft:hotpotqa_128k:3,"[""Araminta Ross""]","TITLE: Harriet Tubman | ID: 361  
TITLE: A Woman Called Moses | ID: 970  

Final Answer: Araminta Ross",128584,34.45,1.0
loft:hotpotqa_128k:4,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,128121,27.41,0.0
loft:hotpotqa_128k:5,"[""Adolfo Rodríguez Saá""]","TITLE: Adolfo Rodríguez Saá | ID: 1026  
Final Answer: Adolfo Rodríguez Saá",128704,34.65,1.0
loft:hotpotqa_128k:6,"[""1976""]","TITLE: Georgia World Congress Center  
ID: 684  

Final Answer: 1976",128938,55.18,1.0
loft:hotpotqa_128k:7,"[""Obsession""]","TITLE: Obsession (board game) | ID: 678
TITLE: Battle Sheep | ID: 702

Final Answer: ['Obsession']",128554,37.81,1.0
loft:hotpotqa_128k:8,"[""Eli Roth""]","TITLE: The Man with the Iron Fists | ID: 818
TITLE: RZA | ID: 818

Final Answer: ['RZA']",129599,55.07,0.0
loft:hotpotqa_128k:9,"[""Washington State""]","TITLE: Mike Leach (American football coach) | ID: 817
TITLE: 2012 Washington State Cougars football team | ID: 21

Final Answer: Washington State Cougars football team",128708,38.92,1.0
loft:hotpotqa_128k:10,"[""Love Drunk""]","TITLE: Two Is Better Than One | ID: 221  
TITLE: Love Drunk | ID: 334  

[""Two Is Better Than One""]  

Final Answer: Two Is Better Than One",129363,42.38,0.0
loft:hotpotqa_128k:11,"[""1940""]",Final Answer: [],128748,33.2,0.0
loft:hotpotqa_128k:12,"[""The Galtür avalanche""]","TITLE: Rigopiano avalanche | ID: 1050
TITLE: 1999 Galtür avalanche | ID: 1051

Final Answer: ['Rigopiano avalanche']",129033,44.96,0.0
loft:hotpotqa_128k:13,"[""Ali Qushji""]","TITLE: Ali Qushji | ID: 539

Final Answer: Ali Qushji",129141,44.09,1.0
loft:hotpotqa_128k:14,"[""December 1974""]","TITLE: Métal hurlant | ID: 1074  
Final Answer: December 1974",128666,36.04,1.0
loft:hotpotqa_128k:15,"[""England""]","TITLE: Nike Hypervenom | ID: 413  
TITLE: LA Galaxy | ID: 271  

Final Answer: ['LA Galaxy']",128847,40.44,0.0
loft:hotpotqa_128k:16,"[""Morgan Llywelyn""]","TITLE: Morgan Llywelyn | ID: 556  
TITLE: Robert Jordan | ID: 558  

Final Answer: Morgan Llywelyn",129763,76.35,1.0
loft:hotpotqa_128k:17,"[""Ten Walls""]","TITLE: Ten Walls | ID: 373  
TITLE: Walking with Elephants | ID: 1213  

Final Answer: Ten Walls",128864,33.37,1.0
loft:hotpotqa_128k:18,"[""Caesars Palace Grand Prix""]","TITLE: Caesars Palace Grand Prix | ID: 888

Final Answer: Caesars Palace Grand Prix",128838,38.98,1.0
loft:hotpotqa_128k:19,"[""The Suite Life of Zack & Cody""]","TITLE: Candace Flynn | ID: 597  
TITLE: Ashley Tisdale | ID: 980  
TITLE: The Suite Life of Zack & Cody | ID: 980  

- Candace Flynn was voiced by the actress who achieved mainstream success on the show ""The Suite Life of Zack & Cody"".

Final Answer: The Suite Life of Zack & Cody",129330,58.63,1.0
loft:hotpotqa_128k:20,"[""Cambridge University""]","TITLE: Governor's House, Knutsford | ID: 711
TITLE: Edmund Sharpe | ID: 399

Final Answer: None of the provided documents state where Edmund Sharpe graduated from college. Therefore, the query cannot be answered with the given information.",128765,40.68,0.0
loft:hotpotqa_128k:21,"[""25 million copies""]","TITLE: BioShock (series) | ID: 995  
TITLE: Big Daddy (BioShock) | ID: 997  

A Big Daddy is a fictional character in the ""BioShock"" series of video games. With the release of ""BioShock Infinite"" selling over 11 million copies as of May 2015, the three games combined have more than 25 million copies sold.

Final Answer: 25",128939,35.53,0.0
loft:hotpotqa_128k:22,"[""Ellie Kemper""]","TITLE: Unbreakable Kimmy Schmidt | ID: 451  
TITLE: Nick Bernardone | ID: 351  

Final Answer: Ellie Kemper",128829,43.08,1.0
loft:hotpotqa_128k:23,"[""The R-8 Human Rhythm Composer""]","TITLE: Roland R-8
ID: 773

Final Answer: Roland R-8",128650,37.66,0.0
loft:hotpotqa_128k:24,"[""The Vanishing""]","TITLE: The Vanishing (1988 film) | ID: 255

Final Answer: The Vanishing (1988 film)",128775,31.87,1.0
loft:hotpotqa_128k:25,"[""Michael Bruce Fiers""]","TITLE: Mike Fiers | ID: 1086

Final Answer: Mike Fiers",128823,39.06,0.0
loft:hotpotqa_128k:26,"[""Scapegoat Mountain""]","TITLE: Scapegoat Mountain | ID: 816  
TITLE: Lewis and Clark County, Montana | ID: 392  

Final Answer: Scapegoat Mountain",128471,32.95,1.0
loft:hotpotqa_128k:27,"[""Justin Spitzer""]","TITLE: Superstore | ID: 497  
TITLE: Johnny Pemberton | ID: 32  

Final Answer: Justin Spitzer",129423,63.37,1.0
loft:hotpotqa_128k:28,"[""no""]","TITLE: Dafne | ID: 622  
TITLE: Götterdämmerung | ID: 522  

Final Answer: ['Götterdämmerung is considered an opera', 'Dafne is considered an opera']",129899,76.81,0.0
loft:hotpotqa_128k:29,"[""Rome""]","TITLE: Tosca (1956 film) | ID: 437  
TITLE: Franco Corelli | ID: 1107  
TITLE: Louise (opera) | ID: 197  

Final Answer: []",129208,51.49,0.0
loft:hotpotqa_128k:30,"[""Koninklijke Ahold N.V.""]",,128189,25.39,0.0
loft:hotpotqa_128k:31,"[""Unbreakable""]","TITLE: Unbreakable (film)
ID: 543

TITLE: Blinding Edge Pictures
ID: 292

Final Answer: Unbreakable",128815,40.25,1.0
loft:hotpotqa_128k:32,"[""directed by Shane Meadows""]","TITLE: Stephen Graham | ID: 526

Final Answer: cannot be determined",128858,43.95,0.0
loft:hotpotqa_128k:33,"[""world wushu tournament""]","TITLE: Wing Chun (film) | ID: 469  
TITLE: Donnie Yen | ID: 925  

Final Answer: world wushu tournament",128855,38.3,1.0
loft:hotpotqa_128k:34,"[""Turkey""]","TITLE: Column of the Goths | ID: 1008

Final Answer: NOTHING RELEVANT",129071,47.89,0.0
loft:hotpotqa_128k:35,"[""Omega SA""]","TITLE: Omega SA | ID: 618  
Final Answer: ['Omega SA']",128617,36.65,1.0
loft:hotpotqa_128k:36,"[""five""]","TITLE: Don Quichotte | ID: 832
TITLE: Luisa Miller | ID: 1182  
Final Answer: ['five']",128704,37.86,1.0
loft:hotpotqa_128k:37,"[""Afro-Russian""]","TITLE: Jean Sagbo | ID: 107  
TITLE: Afro-Russian | ID: 999  

Final Answer: Afro-Russian",129081,42.18,1.0
loft:hotpotqa_128k:38,"[""Lawton Chiles""]","TITLE: Lawton Chiles | ID: 1141  
Final Answer: Lawton Chiles",128827,28.62,1.0
loft:hotpotqa_128k:39,"[""8 November 1978""]","TITLE: Farshid Karimi | ID: 486  
Final Answer: nothing",128549,35.2,0.0
loft:hotpotqa_128k:40,"[""Nye County""]","TITLE: Operation Buster–Jangle | ID: 747  
TITLE: Nevada Test Site | ID: 64  

Final Answer: ['Nye County']",128639,36.89,1.0
loft:hotpotqa_128k:41,"[""genus""]","TITLE: Phaedranassa | ID: 942
TITLE: Mitella | ID: NOT FOUND

Final Answer: genus",128646,38.87,1.0
loft:hotpotqa_128k:42,"[""yes""]","TITLE: Anja Salomonowitz | ID: 1128  
TITLE: Rod Lurie | ID: 260  

Final Answer: No",128842,47.84,0.0
loft:hotpotqa_128k:43,"[""Shawnee""]","TITLE: Keokuk Falls, Oklahoma | ID: 324  
TITLE: Lawton, Oklahoma | ID: 613  

Final Answer: Lawton, Oklahoma",128728,41.94,0.0
loft:hotpotqa_128k:44,"[""Jamnagar""]","TITLE: Bahoran Lal Maurya | ID: 854  
TITLE: Poonamben Maadam | ID: 584  

Final Answer: ['Gujarat']",128514,30.74,0.0
loft:hotpotqa_128k:45,"[""Viscount Cranborne""]","TITLE: William Pery, 3rd Earl of Limerick | ID: 820  
Final Answer: NOTHING RELEVANT",129365,46.43,0.0
loft:hotpotqa_128k:46,"[""The Most Dangerous Game""]","TITLE: The Most Dangerous Game
ID: 393

Final Answer: The Most Dangerous Game",128928,42.27,1.0
loft:hotpotqa_128k:47,"[""John M. Dowd""]","TITLE: Dowd Report
ID: 943

TITLE: John M. Dowd
ID: 236

Final Answer: John M. Dowd",129097,43.48,1.0
loft:hotpotqa_128k:48,"[""photographer""]","TITLE: Howell Conant | ID: 651  
Final Answer: fashion photographer",128544,30.86,1.0
loft:hotpotqa_128k:49,"[""eight""]","TITLE: Karl Kraepelin | ID: 1093  
TITLE: Scorpion | ID: 491  
Final Answer: ['eight']",129105,56.59,1.0
loft:hotpotqa_128k:50,"[""Philadelphia""]","TITLE: Not Richard, But Dick
ID: 1214

Final Answer: cannot be determined",128540,40.44,0.0
