id,answers,prediction,tokens,latency_s,score
loft:quest_128k:0,"[""A Case of Need""]"," ['The Two Captains', 'The Public Image', 'The Lives of Animals', 'The Poot', 'The King and the Clown', 'The Final Nexus', 'The Abandoned (2006 film)', 'The Village of No Return', 'The Legend of Johnny Lingo', 'The Fire Devil', 'The Violent Bear It Away', 'The Magician's Nephew', 'The Fall of Hyperion', 'The Two Who Stole the Moon', 'The Scarlet Letter', 'The Peacekeepers', 'The Wandering Hill', 'The Quiet Earth (film)', 'The Final Reflection', 'The King and the Clown', 'The Story Without a Name (novel)', 'The Firebird Rocket', 'The Abandoned (2006 film)', 'The Village of No Return', 'The Final Reflection', 'The King and the Clown', 'The Story Without a Name (novel)', 'The Firebird Rocket', 'The Abandoned (2006 film)', 'The Village of No Return', 'The Final Reflection', 'The King and the Clown', 'The Story Without a Name (novel)', 'The Firebird Rocket', 'The Abandoned (2006 film)', 'The Village of",118289,,0.0
loft:quest_128k:1,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]"," ['Five Point Someone', 'The 3 Mistakes of My Life']",118055,,0.6666666666666666
loft:quest_128k:2,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]", [],118039,,0.0
loft:quest_128k:3,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]", ['Quest for a Heart'],118034,,0.3333333333333333
loft:quest_128k:4,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]", [],118034,,0.0
loft:quest_128k:5,"[""One Way Trip 3D""]", [],118028,,0.0
loft:quest_128k:6,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]", [],118035,,0.0
loft:quest_128k:7,"[""Firecrest (novel)"", ""Lament for Leto""]", ['The Drowning Girl'],118037,,0.0
loft:quest_128k:8,"[""Crisis of Conscience""]", ['Crisis of Conscience'],118036,,1.0
loft:quest_128k:9,"[""Demi-Gods and Semi-Devils"", ""The Adventures of Peregrine Pickle"", ""The History of Sir Charles Grandison""]", [],118048,,0.0
loft:quest_128k:10,"[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]"," ['The Final Nexus', 'Chain of Attack', 'The Peacekeepers']",118043,,1.0
loft:quest_128k:11,"[""Best Defense"", ""Red Dawn""]", [],118040,,0.0
loft:quest_128k:12,"[""Seveneves""]", [],118042,,0.0
loft:quest_128k:13,"[""Alega Gang: Public Enemy No.1 of Cebu"", ""Lapu-Lapu (2002 film)"", ""Patay na si Hesus""]", ['Alega Gang: Public Enemy No.1 of Cebu'],118043,,0.3333333333333333
loft:quest_128k:14,"[""All She Was Worth"", ""Crossfire (novel)"", ""Out (novel)""]"," ['Alega Gang: Public Enemy No.1 of Cebu', 'The Final Nexus', 'The Girl on the Stairs', 'The Drowning Girl', 'The Violent Bear It Away', 'The Poot', 'The Public Image', 'The Lives of Animals', 'The King and the Clown', 'The Mystery of the Yellow Room', 'The Abandoned (2006 film)', 'The Secret Man', 'The Fire Devil', 'The Legend of Johnny Lingo', 'The Violent Bear It Away', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil', 'The Fire Devil',",118284,,0.0
loft:quest_128k:15,"[""Elizabeth (film)""]", [],118041,,0.0
loft:quest_128k:16,"[""Personal Recollections of Joan of Arc""]", ['Ten Days That Shook the World'],118047,,0.0
loft:quest_128k:17,"[""Hitman's Wife's Bodyguard"", ""Red Notice (film)"", ""The King's Man""]"," ['Hitman's Wife's Bodyguard', 'The Village of No Return', 'Night Raiders']",118053,,0.3333333333333333
loft:quest_128k:18,"[""The Way of the Scarlet Pimpernel""]", [],118036,,0.0
loft:quest_128k:19,"[""Batman & Bill"", ""Batman & Robin (film)"", ""Batman (serial)""]", ['Batman & Bill'],118043,,0.3333333333333333
loft:quest_128k:20,"[""Batman: The Killing Joke (film)"", ""Pérák: The Shadow over Prague"", ""The League of Extraordinary Gentlemen (film)""]"," ['Batman: The Killing Joke (film)', 'The Village of No Return', 'Pérák: The Shadow over Prague']",118068,,0.6666666666666666
loft:quest_128k:21,"[""Poison in Jest"", ""The Waxworks Murder""]", [],118039,,0.0
loft:quest_128k:22,"[""Battle Cry (Uris novel)"", ""Go Tell It on the Mountain (novel)"", ""Junkie (novel)""]", ['Junkie (novel)'],118042,,0.3333333333333333
loft:quest_128k:23,"[""P4W: Prison for Women"", ""The Phantom (2021 film)"", ""Waseskun""]", [],118038,,0.0
loft:quest_128k:24,"[""Mythago Wood"", ""Nights at the Circus""]", [],118035,,0.0
loft:quest_128k:25,"[""Laughing Gas (novel)""]", [],118034,,0.0
loft:quest_128k:26,"[""Hannibal Rising"", ""Jewel (novel)""]", [],118036,,0.0
loft:quest_128k:27,"[""Ryan (film)""]", [],118030,,0.0
loft:quest_128k:28,"[""Cavalleria rusticana (1982 film)"", ""The Deadly Game (1982 film)"", ""The Life of Verdi (miniseries)""]", [],118037,,0.0
loft:quest_128k:29,"[""Hulk: Where Monsters Dwell"", ""Resident Evil: Vendetta""]", [],118035,,0.0
loft:quest_128k:30,"[""A Lingering Face"", ""Looking Up (film)"", ""Ni Jing: Thou Shalt Not Steal""]", [],118030,,0.0
loft:quest_128k:31,"[""Child Bride"", ""I Accuse My Parents"", ""The Devil's Sleep""]", ['The Devil's Sleep'],118039,,0.3333333333333333
loft:quest_128k:32,"[""Time and the Wind""]", ['Time and the Wind'],118038,,1.0
loft:quest_128k:33,"[""Midnight Sun (Meyer novel)"", ""New Moon (novel)"", ""Twilight (Meyer novel)""]", [],118034,,0.0
loft:quest_128k:34,"[""Boy at War"", ""The Changeover"", ""The Firebird Rocket""]", [],118039,,0.0
loft:quest_128k:35,"[""Killing Them Softly"", ""Mac & Devin Go to High School""]", [],118041,,0.0
loft:quest_128k:36,"[""My Uncle Napoleon"", ""Savushun"", ""The Blind Owl""]"," ['The Blind Owl', 'The History of Sir Charles Grandison']",118048,,0.3333333333333333
loft:quest_128k:37,"[""Doctor Zhivago (film)""]", [],118036,,0.0
loft:quest_128k:38,"[""The Picturegoers"", ""The Violent Bear It Away""]", [],118032,,0.0
loft:quest_128k:39,"[""Undercover with the KKK""]", [],118036,,0.0
loft:quest_128k:40,"[""An Obvious Situation"", ""That Night's Wife"", ""The Copper (1930 film)""]"," ['The Drowning Girl', 'The Two Captains', 'The Violent Bear It Away', 'The Magician's Nephew', 'The Fall of Hyperion', 'The Peacekeepers', 'The Assassination of Richard Nixon', 'The Final Nexus', 'The Abandoned', 'The Village of No Return', 'The Two Who Stole the Moon', 'The Secret Man', 'The Wandering Hill', 'The Quiet Earth', 'The Restaurant at the End of the Universe', 'The History of Sir Charles Grandison', 'The Changeover', 'The King and the Clown', 'The Legend of Johnny Lingo', 'The Fire Devil', 'The Gate to Women's Country', 'The Veteran (2011 film)', 'The Violent Bear It Away', 'The Magician's Nephew', 'The Fall of Hyperion', 'The Peacekeepers', 'The Assassination of Richard Nixon', 'The Final Nexus', 'The Abandoned', 'The Village of No Return', 'The Two Who Stole the Moon', 'The Secret Man', 'The Wandering Hill', 'The Quiet Earth', 'The Restaurant at the End of the Universe', 'The History of Sir Charles Grandison', 'The Changeover',",118288,,0.0
loft:quest_128k:41,"[""Ace Attorney (film)"", ""True Story (film)""]", [],118034,,0.0
loft:quest_128k:42,"[""Le Grand Meaulnes"", ""The Mysteries of Paris"", ""The Mystery of the Yellow Room""]"," ['Le Grand Meaulnes', 'The Mystery of the Yellow Room']",118057,,0.6666666666666666
loft:quest_128k:43,"[""Casta Diva (1935 film)"", ""The Fire Devil"", ""Under Capricorn""]"," ['The Last Winter (2006 film)', 'The Assassination of Richard Nixon']",118056,,0.0
loft:quest_128k:44,"[""First Invasion: The War of 1812"", ""Last of the Buccaneers"", ""Mohawk (2017 film)""]", [],118038,,0.0
loft:quest_128k:45,"[""Going Vertical"", ""Prefontaine (film)""]", [],118035,,0.0
loft:quest_128k:46,"[""Ilium (novel)"", ""Summer of Night"", ""The Fall of Hyperion (novel)""]"," ['The Fall of Hyperion', 'Ilium', 'The Last of the Buccaneers']",118045,,0.0
loft:quest_128k:47,"[""We the Living""]", [],118037,,0.0
loft:quest_128k:48,"[""Le Divorce"", ""Peppermint Soda"", ""Two English Girls""]", [],118030,,0.0
loft:quest_128k:49,"[""Aftermath (1994 film)"", ""Amoklauf"", ""Aya: Imagined Autobiography""]", ['Aftermath (1994 film)'],118046,,0.3333333333333333
loft:quest_128k:50,"[""Circe (novel)"", ""Julian (novel)""]", [],118041,,0.0
loft:quest_128k:51,"[""Alice's Adventures in Wonderland"", ""Prince Caspian"", ""The Magician's Nephew""]", [],118051,,0.0
loft:quest_128k:52,"[""A.P.E.X.""]", ['A.P.E.X.'],118039,,1.0
loft:quest_128k:53,"[""Babes in Toyland (1934 film)"", ""Mad Monster Party?""]", [],118031,,0.0
loft:quest_128k:54,"[""Come in Spinner"", ""The Thorn Birds"", ""Zuleika Dobson""]", [],118045,,0.0
