kv_memory_per_token_kb,memory_budget,uncompressed_kv_memory_mb,answers,compression_ratio,retained_kv_memory_gb,retained_kv_memory_mb,token_budget,memory_budget_unit,context_tokens,task,max_new_tokens,predicted_answer,split,question,answer_prefix,retained_context_tokens,uncompressed_kv_memory_gb
147.456,1.0,6628.88448,['Tyrion Lannister'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256, [],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['Judith Cynthia Aline Keppel'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256," ['Barack Obama ""Hope"" poster']",dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['Crick' 'Watson'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256, ['DNA replication'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['Jason Paige'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256, ['Madonna'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['Mary Elizabeth Patterson'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256, ['Elizabeth Patterson (actress)'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['AD 95–110' 'probably written in Ephesus'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256,1973,dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['Wisconsin'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256, ['Colby cheese'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['Dragon Ball GT'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256," ['Goku first went Super Saiyan 4 in the Dragon Ball GT series, as noted in the context provided, but the exact date or episode is not specified in the documents.']",dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['Richard Stallman'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256, ['GNU/Linux naming controversy'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
",Final Answer: ,6781.0,6.62888448
147.456,1.0,6628.88448,['Idaho'],0.8491602713824936,0.999899136,999.899136,6781.0,GB,44955.0,nq_32k,256, ['Wyoming'],dev,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
",Final Answer: ,6781.0,6.62888448
