retained_context_tokens,question,memory_budget_unit,answer_prefix,uncompressed_kv_memory_gb,token_budget,retained_kv_memory_mb,retained_kv_memory_gb,context_length,max_new_tokens,predicted_answer,context_tokens,answer,kv_memory_per_token_kb,memory_budget,task,uncompressed_kv_memory_mb,compression_ratio
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Were Scott Derrickson and Ed Wood of the same nationality? ",GB,Answer:,2.200240128,12207.0,799.997952,0.799997952,32768,32, Yes,33573.0,['yes'],65.536,0.8,qa_2,2200.240128,0.6364042534179251
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell? ",GB,Answer:,2.175336448,12207.0,799.997952,0.799997952,32768,32, United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.,33193.0,['Chief of Protocol'],65.536,0.8,qa_2,2175.336448,0.6322417377157834
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species? ",GB,Answer:,2.18464256,12207.0,799.997952,0.799997952,32768,32, Animorphs,33335.0,['Animorphs'],65.536,0.8,qa_2,2184.64256,0.6338083095845208
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood? ",GB,Answer:,2.157510656,12207.0,799.997952,0.799997952,32768,32, Yes,32921.0,['no'],65.536,0.8,qa_2,2157.510656,0.6292032441298867
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The director of the romantic comedy ""Big Stone Gap"" is based in what New York city? ",GB,Answer:,2.159280128,12207.0,799.997952,0.799997952,32768,32, Greenwich Village,32948.0,"['Greenwich Village, New York City']",65.536,0.8,qa_2,2159.280128,0.6295071021002792
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: 2014 S/S is the debut album of a South Korean boy group that was formed by who? ",GB,Answer:,2.172125184,12207.0,799.997952,0.799997952,32768,32, YG Entertainment,33144.0,['YG Entertainment'],65.536,0.8,qa_2,2172.125184,0.6316980448950036
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was known by his stage name Aladin and helped organizations improve their performance as a consultant? ",GB,Answer:,2.114322432,12207.0,799.997952,0.799997952,32768,32, Eenasul Fateh,32262.0,['Eenasul Fateh'],65.536,0.8,qa_2,2114.322432,0.6216291612423284
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The arena where the Lewiston Maineiacs played their home games can seat how many people? ",GB,Answer:,2.265513984,12207.0,799.997952,0.799997952,32768,32," 4,000",34569.0,"['3,677 seated']",65.536,0.8,qa_2,2265.513984,0.6468801527380023
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who is older, Annie Morton or Terry Richardson? ",GB,Answer:,2.276458496,12207.0,799.997952,0.799997952,32768,32, Terry Richardson,34736.0,['Terry Richardson'],65.536,0.8,qa_2,2276.458496,0.6485778443113772
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are Local H and For Against both from the United States? ",GB,Answer:,2.284191744,12207.0,799.997952,0.799997952,32768,32, Yes,34854.0,['yes'],65.536,0.8,qa_2,2284.191744,0.6497676019969014
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area? ",GB,Answer:,2.249785344,12207.0,799.997952,0.799997952,32768,32, Kansas Song,34329.0,['Kansas Song'],65.536,0.8,qa_2,2249.785344,0.6444114305689068
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni? ",GB,Answer:,2.166161408,12207.0,799.997952,0.799997952,32768,32, David Weissman,33053.0,['David Weissman'],65.536,0.8,qa_2,2166.161408,0.6306840528847608
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective? ",GB,Answer:,2.151022592,12207.0,799.997952,0.799997952,32768,32, 1999,32822.0,['1999'],65.536,0.8,qa_2,2151.022592,0.6280848211565413
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are Random House Tower and 888 7th Avenue both used for real estate? ",GB,Answer:,2.141257728,12207.0,799.997952,0.799997952,32768,32, Yes,32673.0,['no'],65.536,0.8,qa_2,2141.257728,0.6263887613625929
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The football manager who recruited David Beckham managed Manchester United during what timeframe? ",GB,Answer:,2.205351936,12207.0,799.997952,0.799997952,32768,32, 1986 to 2013,33651.0,['from 1986 to 2013'],65.536,0.8,qa_2,2205.351936,0.6372470357493091
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Brown State Fishing Lake is in a country that has a population of how many inhabitants ? ",GB,Answer:,2.192637952,12207.0,799.997952,0.799997952,32768,32, The documents do not provide the population of the United States.,33457.0,"['9,984']",65.536,0.8,qa_2,2192.637952,0.6351436171802612
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996? ",GB,Answer:,2.191130624,12207.0,799.997952,0.799997952,32768,32, North Atlantic Conference,33434.0,['the North Atlantic Conference'],65.536,0.8,qa_2,2191.130624,0.6348926242746904
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are Giuseppe Verdi and Ambroise Thomas both Opera composers ? ",GB,Answer:,2.253520896,12207.0,799.997952,0.799997952,32768,32, Yes,34386.0,['yes'],65.536,0.8,qa_2,2253.520896,0.6450008724480893
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years? ",GB,Answer:,2.28622336,12207.0,799.997952,0.799997952,32768,32, 1969 until 1974,34885.0,['1969 until 1974'],65.536,0.8,qa_2,2286.22336,0.6500788304428837
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which writer was from England, Henry Roth or Robert Erskine Childers? ",GB,Answer:,2.256535552,12207.0,799.997952,0.799997952,32768,32, Robert Erskine Childers,34432.0,['Robert Erskine Childers DSC'],65.536,0.8,qa_2,2256.535552,0.6454751394052045
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990? ",GB,Answer:,2.166095872,12207.0,799.997952,0.799997952,32768,32, Pedro Rodríguez,33052.0,['Pedro Rodríguez'],65.536,0.8,qa_2,2166.095872,0.6306728790996006
12207.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: This singer of A Rather Blustery Day also voiced what hedgehog? ",GB,Answer:,2.182807552,12207.0,799.997952,0.799997952,32768,32, Sonic the Hedgehog,33307.0,['Sonic'],65.536,0.8,qa_2,2182.807552,0.6335004653676404
