id,answers,prediction,tokens,latency_s,score
loft:hotpotqa_128k:0,"[""Dan Bilzerian""]",Dan Bilzerian,5676,20.49,1.0
loft:hotpotqa_128k:1,"[""Laura's Star""]","Final Answer: Laura's Star was released first, in 2004.",1994,21.22,1.0
loft:hotpotqa_128k:2,"[""in 2000""]","The text provided does not mention the year construction began on Kenneth P. LaValle Stadium. Therefore, based on the given information, the year construction began cannot be determined.",2282,32.97,0.0
loft:hotpotqa_128k:3,"[""Araminta Ross""]","The birth name of the woman that ""A Woman Called Moses"" is based on is Harriet Tubman.",1653,8.52,0.0
loft:hotpotqa_128k:4,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,6512,43.07,0.0
loft:hotpotqa_128k:5,"[""Adolfo Rodríguez Saá""]",Alberto Rodríguez Saá,7833,30.48,0.0
loft:hotpotqa_128k:6,"[""1976""]",1972,5371,18.36,0.0
loft:hotpotqa_128k:7,"[""Obsession""]",Obsession,5457,23.04,1.0
loft:hotpotqa_128k:8,"[""Eli Roth""]",RZA,5828,28.46,0.0
loft:hotpotqa_128k:9,"[""Washington State""]",The provided text does not indicate where Mike Leach currently coaches. It only mentions that he was the head coach of the 2012 Washington State Cougars football team. There is no information about his current coaching position.,3206,15.14,1.0
loft:hotpotqa_128k:10,"[""Love Drunk""]",Two Is Better Than One,6305,30.35,0.0
loft:hotpotqa_128k:11,"[""1940""]",1940,21851,100.46,1.0
loft:hotpotqa_128k:12,"[""The Galtür avalanche""]",1999 Galtür avalanche,3776,14.69,1.0
loft:hotpotqa_128k:13,"[""Ali Qushji""]","TITLE: Ibn Tufail | ID: 1215  
TITLE: Ali Qushji | ID: 539  

Answer: Ibn Tufail is best known for the development of astronomical physics independent from natural philosophy.",12666,18.58,1.0
loft:hotpotqa_128k:14,"[""December 1974""]","The text provided does not mention an anthology containing the first pages of 'The Incal'. Therefore, based on the given information, the question cannot be answered.",5680,32.33,0.0
loft:hotpotqa_128k:15,"[""England""]","TITLE: Nike Hypervenom | ID: 413  
TITLE: Zhang Xiaonan | ID: 412  

- Paris Saint-Germain  
- FC Barcelona",11399,22.72,0.0
loft:hotpotqa_128k:16,"[""Morgan Llywelyn""]",Final Answer: Morgan Llywelyn,6861,41.35,1.0
loft:hotpotqa_128k:17,"[""Ten Walls""]",Not found,1882,14.1,0.0
loft:hotpotqa_128k:18,"[""Caesars Palace Grand Prix""]",Jeff Wood made his CART debut in 1983 at the Caesars Palace Grand Prix.,10684,73.06,1.0
loft:hotpotqa_128k:19,"[""The Suite Life of Zack & Cody""]","Actress: Ashley Tisdale, Show: Phineas and Ferb",3555,8.46,0.0
loft:hotpotqa_128k:20,"[""Cambridge University""]","The text provided does not mention the architect of the Governor's House in Knutsford or their educational background. Therefore, based on the given information, this question cannot be answered.",4753,35.27,0.0
loft:hotpotqa_128k:21,"[""25 million copies""]",,10647,20.1,0.0
loft:hotpotqa_128k:22,"[""Ellie Kemper""]","The text provided does not mention the actress who stars in the title role of 'Unbreakable Kimmy Schmidt'. Therefore, based on the given information, the answer cannot be determined.",3835,16.46,0.0
loft:hotpotqa_128k:23,"[""The R-8 Human Rhythm Composer""]",R-8,6205,13.81,0.0
loft:hotpotqa_128k:24,"[""The Vanishing""]",The Vanishing (1988 film),5121,14.23,1.0
loft:hotpotqa_128k:25,"[""Michael Bruce Fiers""]",,11518,44.84,0.0
