id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
Final Answer: nothing relevant",4616,3.8,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
Final Answer: Spain",4305,3.6,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: September 13, 2012",4687,2.94,True,structured_complete
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283  
Final Answer: Haliaeetus",2824,1.99,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica) | ID: 763  
List:  
- Boomer finds out she is a Cylon during her mission on the basestar orbiting Kobol, where she encounters other Number Eight copies and initially refuses to accept she is a Cylon.

Final Answer: Boomer finds out she is a Cylon during her mission on the basestar orbiting Kobol, where she encounters other Number Eight copies and initially refuses to accept she is a Cylon.",4108,6.83,True,structured_complete
loft:nq_128k:5,,"[""Nala""]",,3796,1.39,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
- Christopher Lloyd plays the Woodsman in Over the Garden Wall.

Final Answer: Christopher Lloyd",4492,2.78,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree | ID: 808  
List:  
- Charlotte of Mecklenburg-Strelitz introduced the first Christmas tree to the UK in 1800.  

Final Answer: Charlotte of Mecklenburg-Strelitz introduced the first Christmas tree to the UK in 1800.",4714,4.99,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film) | ID: 490  
- Glenn Close played Cruella de Vil in the 1996 film 101 Dalmatians.

Final Answer: Glenn Close",3835,3.05,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
Final Answer: the Ramones",4446,6.17,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver | ID: 64  
Final Answer: 7 players on the line of scrimmage in American football (including 4 in the backfield)",4625,6.75,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
Final Answer: September 1972",4506,4.03,True,structured_complete
loft:nq_128k:12,,"[""Hook""]","TITLE: Emma Swan | ID: 731  
Answer: Emma is dating Hook.  
Final Answer: Hook",3874,2.66,True,structured_complete
loft:nq_128k:13,,"[""2011""]","TITLE: New York Giants | ID: 511  
Final Answer: 2011",3965,2.84,True,structured_complete
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]","TITLE: Mountain | ID: 716  
List:  
- In fall and winter, the sun hits Cadillac Mountain first.  
- In spring and summer, the sun hits Mars Hill first.  
- Around the equinoxes, the sun hits West Quoddy Head in Lubec, Maine first.  

Final Answer: In fall and winter, the sun hits Cadillac Mountain first. In spring and summer, the sun hits Mars Hill first. Around the equinoxes, the sun hits West Quoddy Head in Lubec, Maine first.",4486,5.93,True,structured_complete
loft:nq_128k:15,,"[""Indian government""]","TITLE: Ministry of Corporate Affairs | ID: 354  
Final Answer: The Ministry of Corporate Affairs, which is an Indian government ministry.",4492,5.14,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]","TITLE: Standing rib roast | ID: 408  
Prime rib comes from the primal rib section of a cow, specifically ribs six through 12.

Final Answer: primal rib section of a cow, specifically ribs six through 12",4148,3.3,True,structured_complete
