id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
List:  
- Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.  

Final Answer: Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.",3865,22.82,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
TITLE: Dominican Republic | ID: 343  

Final Answer: Spain",4344,52.92,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
- The fourth season of the Fox musical comedy-drama television series Glee was commissioned on April 9, 2012.  
- It premiered on September 13, 2012.

Final Answer: September 13, 2012",3956,26.77,True,structured_complete
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283  
TITLE: genuses of eagles | ID: 283  
Final Answer: Haliaeetus",3754,11.25,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica) | ID: 763  
Final Answer: The notes do not specify the exact moment when Boomer finds out she is a Cylon, only that she encounters other Number Eight copies on the basestar and refuses to accept she is a Cylon. Therefore, the precise timing is not provided.",3758,28.56,True,structured_complete
loft:nq_128k:5,,"[""Nala""]",,3308,3.47,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
Final Answer: Christopher Lloyd",3642,8.67,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree | ID: 808  
Final Answer: Charlotte of Mecklenburg-Strelitz",3862,11.04,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film) | ID: 490  
- Glenn Close played Cruella de Vil in the 101 Dalmatians (1996 film).

Final Answer: Glenn Close",3591,14.81,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 124  
TITLE: I Wanna Be Sedated | ID: 635  

Final Answer: the Ramones",4614,43.47,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver | ID: 64  
TITLE: Eligible receiver | ID: 64  

Final Answer: at least seven",4231,33.72,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
Final Answer: September 1972",3887,16.38,True,structured_complete
loft:nq_128k:12,,"[""Hook""]","TITLE: Emma Swan | ID: 731  
Emma is dating Hook.  

Final Answer: Hook",3562,6.43,True,structured_complete
loft:nq_128k:13,,"[""2011""]","TITLE: New York Giants | ID: 511  
Final Answer: 2011",3923,19.93,True,structured_complete
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]","TITLE: Cadillac Mountain | ID: 716  
TITLE: Mountain | ID: 716  

List:  
- The sun hits the US first at Mars Hill during most of the spring and summer.  
- The sun hits the US first at West Quoddy Head in Lubec, Maine, for a few weeks around the equinoxes.  
- The sun hits the US first at Cadillac Mountain in the fall and winter, when the sun rises south of due east.  

Final Answer: The sun hits the US first at Mars Hill during most of the spring and summer. The sun hits the US first at West Quoddy Head in Lubec, Maine, for a few weeks around the equinoxes. The sun hits the US first at Cadillac Mountain in the fall and winter, when the sun rises south of due east.",4400,33.78,True,structured_complete
loft:nq_128k:15,,"[""Indian government""]","TITLE: Ministry of Corporate Affairs | ID: 354  
Final Answer: The authority or governing body of MCA is the Ministry of Corporate Affairs, which is an Indian government ministry.",3823,20.3,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]","TITLE: Standing rib roast | ID: 408  
Prime rib comes from the primal rib section of a cow, specifically ribs six through 12.

Final Answer: primal rib section of a cow, specifically ribs six through 12",3799,13.61,True,structured_complete
loft:nq_128k:17,,"[""Ledger""]","TITLE: Heath Ledger | ID: 48  
List:  
- Heath Ledger plays The Joker in Batman: The Dark Knight.  

Final Answer: Heath Ledger",3631,13.53,True,structured_complete
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]","TITLE: Gravity | ID: 132  
- The common name for gravitational force is gravity.

Final Answer: gravity",3632,12.97,True,structured_complete
loft:nq_128k:19,,"[""The Lykan Hypersport""]","TITLE: Lykan HyperSport | ID: 158  
Final Answer: NOTHING RELEVANT",4494,43.29,True,structured_complete
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]","TITLE: Jack Lord | ID: 125  
Final Answer: Jack Lord",3883,16.33,True,structured_complete
loft:nq_128k:21,,"[""non-ferrous""]","TITLE: Non-ferrous metal | ID: 39  
TITLE: Non-ferrous metal | ID: 39  
Final Answer: non-ferrous",4014,26.31,True,structured_complete
loft:nq_128k:22,,"[""Sauron""]","TITLE: Sauron | ID: 519  
Final Answer: Sauron",3817,24.52,True,structured_complete
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,3362,3.32,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]","TITLE: Hyderabad State (1948–56)  
ID: 26  

Final Answer: 24 November 1949",3771,15.95,True,structured_complete
