id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]",,3457,2.52,True,abstained
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
Final Answer: Spain",3786,8.35,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]",,3303,1.77,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]",,3295,1.44,True,abstained
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,3520,1.33,True,abstained
loft:nq_128k:5,,"[""Nala""]",,3270,1.46,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
Final Answer: Christopher Lloyd",3566,2.91,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]",,3411,1.46,True,abstained
loft:nq_128k:8,,"[""Glenn Close""]",,3347,1.49,True,abstained
loft:nq_128k:9,,"[""the Ramones""]",,3419,1.25,True,abstained
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",,3335,1.87,True,abstained
loft:nq_128k:11,,"[""September 1972""]",,3332,1.96,True,abstained
loft:nq_128k:12,,"[""Hook""]",,3347,1.39,True,abstained
loft:nq_128k:13,,"[""2011""]",,3330,1.45,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,3217,1.4,True,abstained
loft:nq_128k:15,,"[""Indian government""]",,3404,1.42,True,abstained
loft:nq_128k:16,,"[""the primal rib""]",,3429,1.43,True,abstained
loft:nq_128k:17,,"[""Ledger""]",,3321,1.31,True,abstained
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]",,3585,1.44,True,abstained
loft:nq_128k:19,,"[""The Lykan Hypersport""]",,3346,1.3,True,abstained
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",,3316,1.72,True,abstained
loft:nq_128k:21,,"[""non-ferrous""]",,3393,1.86,True,abstained
loft:nq_128k:22,,"[""Sauron""]",,3286,1.24,True,abstained
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,3461,1.29,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]",,3247,1.29,True,abstained
loft:nq_128k:25,,"[""Nepal""]",,3432,1.52,True,abstained
loft:nq_128k:26,,"[""Rocky""]",,3352,1.41,True,abstained
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,3517,1.38,True,abstained
loft:nq_128k:28,,"[""Richard Parker""]",,3372,1.32,True,abstained
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]",,3374,1.35,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]",,3405,1.39,True,abstained
loft:nq_128k:31,,"[""CeCe Drake""]",,3328,1.45,True,abstained
loft:nq_128k:32,,"[""Grisha""]",,3447,1.35,True,abstained
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]",,3408,1.4,True,abstained
loft:nq_128k:34,,"[""June 22, 1942""]",,3497,2.13,True,abstained
loft:nq_128k:35,,"[""Phosphorus pentoxide""]",,3370,1.93,True,abstained
loft:nq_128k:36,,"[""rubidium-85""]",,3403,1.42,True,abstained
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]",,3292,1.35,True,abstained
loft:nq_128k:38,,"[""Malayalam""]",,3384,1.26,True,abstained
loft:nq_128k:39,,"[""David Ben-Gurion""]",,3415,1.22,True,abstained
loft:nq_128k:40,,"[""Manchuria""]",,3218,1.35,True,abstained
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,3322,1.49,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]",,3393,1.38,True,abstained
loft:nq_128k:43,,"[""Ludacris""]",,3374,1.47,True,abstained
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]",,3371,2.28,True,abstained
loft:nq_128k:45,,"[""condense the steam""]",,3389,2.15,True,abstained
loft:nq_128k:46,,"[""metaphase""]","TITLE: DNA replication | ID: 777  
Final Answer: S-stage of interphase",3568,4.2,True,structured_complete
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]","TITLE: Hawaii | ID: 746  
Final Answer: Hawaii's primary export to the United States was not explicitly stated in the passage.",3749,6.05,True,structured_complete
loft:nq_128k:48,,"[""imperial rule""]",,3156,1.59,True,abstained
loft:nq_128k:49,,"["".java""]",,3298,2.18,True,abstained
loft:nq_128k:50,,"[""2003""]",,3389,2.16,True,abstained
loft:nq_128k:51,,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]",,3309,2.08,True,abstained
loft:nq_128k:52,,"[""2%""]",,3356,1.81,True,abstained
loft:nq_128k:53,,"[""Amanda Leighton""]",,3337,1.25,True,abstained
loft:nq_128k:54,,"[""Castleford""]",,3277,1.23,True,abstained
