id,answers,prediction,tokens,latency_s,score
loft:quest_128k:0,"[""A Case of Need""]","[{'TITLE': ""In this painting, 'The Scarlet Letter' by Hugues Merle (1861), Hester Prynne and Pearl are in the foreground and Arthur Dimmesdale and Roger Chillingworth are in the background."", 'ID': '69'}]",18982,101.31,0.0
loft:quest_128k:1,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]","[{'title': 'Five Point Someone: What not to do at IIT', 'id': 112}]",8590,93.29,0.0
loft:quest_128k:2,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]",,14060,87.47,0.0
loft:quest_128k:3,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]","[{'TITLE': 'Santa Claus and the Magic Drum', 'ID': '142'}]",5615,27.07,0.0
loft:quest_128k:4,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]",,4320,34.7,0.0
loft:quest_128k:5,"[""One Way Trip 3D""]",,8799,76.95,0.0
loft:quest_128k:6,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]","['Hotel Transylvania (film)', 'Blinky Bill the Movie']",35357,85.0,0.0
loft:quest_128k:7,"[""Firecrest (novel)"", ""Lament for Leto""]",,13891,49.68,0.0
loft:quest_128k:8,"[""Crisis of Conscience""]","Final Answer: [[{'TITLE': 'Crisis of Conscience', 'ID': '289'}]]",4704,16.57,0.0
loft:quest_128k:9,"[""Demi-Gods and Semi-Devils"", ""The Adventures of Peregrine Pickle"", ""The History of Sir Charles Grandison""]",[],18897,58.68,0.0
loft:quest_128k:10,"[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]","Title: The Final Nexus  
ID: 1",1686,13.05,0.0
loft:quest_128k:11,"[""Best Defense"", ""Red Dawn""]",,9535,71.09,0.0
loft:quest_128k:12,"[""Seveneves""]",,12639,53.77,0.0
loft:quest_128k:13,"[""Alega Gang: Public Enemy No.1 of Cebu"", ""Lapu-Lapu (2002 film)"", ""Patay na si Hesus""]","[{'TITLE': 'Alega Gang: Public Enemy No.1 of Cebu', 'ID': '30'}]",8663,38.4,0.0
loft:quest_128k:14,"[""All She Was Worth"", ""Crossfire (novel)"", ""Out (novel)""]","[{'TITLE': 'Out (novel)', 'ID': '255'}]",17461,67.59,0.0
loft:quest_128k:15,"[""Elizabeth (film)""]",,5047,73.27,0.0
loft:quest_128k:16,"[""Personal Recollections of Joan of Arc""]",,3446,15.87,0.0
loft:quest_128k:17,"[""Hitman's Wife's Bodyguard"", ""Red Notice (film)"", ""The King's Man""]","No documents provide information about 2021 films that are both action and comedy. The extracted material mentions ""2021 American action comedy film"" and references ""The Hitman's Bodyguard,"" but does not specify a title or confirm it as a 2021 action-comedy film. Therefore, no valid film title and ID can be determined from the provided text.",44686,167.21,0.0
loft:quest_128k:18,"[""The Way of the Scarlet Pimpernel""]",,3496,17.73,0.0
loft:quest_128k:19,"[""Batman & Bill"", ""Batman & Robin (film)"", ""Batman (serial)""]",Final Answer: [],5545,34.94,0.0
loft:quest_128k:20,"[""Batman: The Killing Joke (film)"", ""Pérák: The Shadow over Prague"", ""The League of Extraordinary Gentlemen (film)""]","['TITLE: Batman: The Killing Joke (film)', 'TITLE: The League of Extraordinary Gentlemen (film)', 'TITLE: Pérák: The Shadow over Prague']",5728,112.13,0.0
loft:quest_128k:21,"[""Poison in Jest"", ""The Waxworks Murder""]",,8704,54.09,0.0
loft:quest_128k:22,"[""Battle Cry (Uris novel)"", ""Go Tell It on the Mountain (novel)"", ""Junkie (novel)""]","TITLE: Go Tell It on the Mountain (novel) | ID: 85  
[No debut novels released in 1953 are mentioned in the text.]",11092,40.27,0.0
loft:quest_128k:23,"[""P4W: Prison for Women"", ""The Phantom (2021 film)"", ""Waseskun""]","There is no documentary about the penal system in the United States that is not about law enforcement mentioned in the provided text. Therefore, no title or ID can be extracted.",60237,137.72,0.0
loft:quest_128k:24,"[""Mythago Wood"", ""Nights at the Circus""]",,15185,85.3,0.0
loft:quest_128k:25,"[""Laughing Gas (novel)""]",[],11248,28.04,0.0
loft:quest_128k:26,"[""Hannibal Rising"", ""Jewel (novel)""]",,2241,37.09,0.0
loft:quest_128k:27,"[""Ryan (film)""]",No such Canadian documentary about homelessness and LGBT issues exists in the provided text.,7736,78.96,0.0
loft:quest_128k:28,"[""Cavalleria rusticana (1982 film)"", ""The Deadly Game (1982 film)"", ""The Life of Verdi (miniseries)""]",,6930,56.48,0.0
loft:quest_128k:29,"[""Hulk: Where Monsters Dwell"", ""Resident Evil: Vendetta""]",nothing,4178,40.82,0.0
loft:quest_128k:30,"[""A Lingering Face"", ""Looking Up (film)"", ""Ni Jing: Thou Shalt Not Steal""]","[('Looking Up', 84)]",22266,94.27,0.0
