id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
List:  
- Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.  

Final Answer: Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.",7189,18.66,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
TITLE: Dominican Republic | ID: 343  

Final Answer: Spain",7664,39.26,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: September 13, 2012",7549,21.39,True,structured_complete
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283  
TITLE: genuses of eagles | ID: 283  
Final Answer: Haliaeetus",4432,8.31,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica) | ID: 763  
- Boomer finds out she is a Cylon during her mission on the basestar in the episode ""Kobol's Last Gleaming"".

Final Answer: during her mission on the basestar in the episode ""Kobol's Last Gleaming""",7272,30.42,True,structured_complete
loft:nq_128k:5,,"[""Nala""]",,6753,6.54,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
Final Answer: Christopher Lloyd",7046,7.32,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree | ID: 808  
Final Answer: Charlotte of Mecklenburg-Strelitz",7236,7.38,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film) | ID: 490  
- Glenn Close played Cruella de Vil in the 101 Dalmatians (1996 film).

Final Answer: Glenn Close",7011,8.35,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
- The song ""I Wanna Be Sedated"" was sung by the Ramones.

Final Answer: the Ramones",7916,30.89,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver  
ID: 64  

Final Answer: 7",7505,20.25,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
Final Answer: September 1972",7200,10.34,True,structured_complete
loft:nq_128k:12,,"[""Hook""]","TITLE: Emma Swan | ID: 731  
Emma is dating Hook.  

Final Answer: Hook",6839,5.66,True,structured_complete
loft:nq_128k:13,,"[""2011""]","TITLE: New York Giants | ID: 511  
Final Answer: 2011",7319,11.9,True,structured_complete
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]","TITLE: Cadillac Mountain | ID: 716  
TITLE: Mountain | ID: 716  

List:  
- The sun hits the US first at Mars Hill during most of the spring and summer.  
- The sun hits the US first at West Quoddy Head in Lubec, Maine, for a few weeks around the equinoxes.  
- The sun hits the US first at Cadillac Mountain in the fall and winter, when the sun rises south of due east.  

Final Answer: The sun hits the US first at Mars Hill during most of the spring and summer. The sun hits the US first at West Quoddy Head in Lubec, Maine, for a few weeks around the equinoxes. The sun hits the US first at Cadillac Mountain in the fall and winter, when the sun rises south of due east.",7749,24.1,True,structured_complete
loft:nq_128k:15,,"[""Indian government""]","TITLE: Ministry of Corporate Affairs | ID: 354  
Final Answer: The authority or governing body of MCA is the Ministry of Corporate Affairs, which is an Indian government ministry.",7161,14.63,True,structured_complete
loft:nq_128k:16,,"[""the primal rib""]","TITLE: Standing rib roast | ID: 408  
- A standing rib roast, also known as prime rib, is a cut of beef from the primal rib, one of the nine primal cuts of beef.  
- While the entire rib section comprises ribs six through 12, a standing rib roast may contain anywhere from two to seven ribs.

Final Answer: from the primal rib of a cow, specifically ribs six through twelve",7084,8.8,True,structured_complete
loft:nq_128k:17,,"[""Ledger""]","TITLE: Heath Ledger | ID: 48  
List:  
- Heath Ledger plays The Joker in Batman: The Dark Knight.  

Final Answer: Heath Ledger",7085,7.56,True,structured_complete
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]","TITLE: Gravity | ID: 132  
The common name for gravitational force is gravity.

Final Answer: gravity",7076,11.61,True,structured_complete
loft:nq_128k:19,,"[""The Lykan Hypersport""]","TITLE: Lykan HyperSport | ID: 158  
Final Answer: NOTHING RELEVANT",7842,22.32,True,structured_complete
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]","TITLE: Jack Lord | ID: 125  
Final Answer: Jack Lord",7348,10.21,True,structured_complete
loft:nq_128k:21,,"[""non-ferrous""]","TITLE: Non-ferrous metal | ID: 39  
TITLE: Non-ferrous metal | ID: 39  

Final Answer: non-ferrous",7334,11.31,True,structured_complete
loft:nq_128k:22,,"[""Sauron""]","TITLE: Sauron | ID: 519  
TITLE: The Lord of the Rings | ID: 519  

Final Answer: Sauron",7266,19.64,True,structured_complete
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,6592,5.18,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]","TITLE: Hyderabad State (1948–56)  
ID: 26  

Final Answer: 24 November 1949",7350,12.9,True,structured_complete
loft:nq_128k:25,,"[""Nepal""]","TITLE: Vikram Samvat | ID: 760  
Final Answer: Nepal",7305,11.58,True,structured_complete
loft:nq_128k:26,,"[""Rocky""]","TITLE: 49th Academy Awards | ID: 99  
Final Answer: Rocky",6969,7.08,True,structured_complete
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]","TITLE: Protein biosynthesis | ID: 391  
- The protein is made in the cytoplasm after the mRNA leaves the nucleus through nuclear pores and migrates into the cytoplasm.

Final Answer: cytoplasm",7656,23.83,True,structured_complete
loft:nq_128k:28,,"[""Richard Parker""]","TITLE: Life of Pi | ID: 206  
The tiger's name in Life of Pi is Richard Parker.

Final Answer: Richard Parker",6993,7.27,True,structured_complete
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]","TITLE: Geoffrey Palmer (actor) | ID: 251  
TITLE: As Time Goes By | ID: 251  

Final Answer: Geoffrey Dyson Palmer",7252,19.56,True,structured_complete
loft:nq_128k:30,,"[""9 to 25 February 2018""]","TITLE: Mexico at the 2018 Winter Olympics | ID: 386  
Mexico played in the Winter Olympics from 9 to 25 February 2018.

Final Answer: 9 to 25 February 2018",7099,8.97,True,structured_complete
loft:nq_128k:31,,"[""CeCe Drake""]","TITLE: A (Pretty Little Liars) | ID: 255  
Final Answer: CeCe Drake",7438,16.49,True,structured_complete
loft:nq_128k:32,,"[""Grisha""]","TITLE: G. Callen | ID: 373  
Final Answer: Grisha Alekandrovich Nikolaev",7060,14.08,True,structured_complete
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]","TITLE: Serous membrane  
ID: 269  

Final Answer: serous membrane",7195,11.22,True,structured_complete
loft:nq_128k:34,,"[""June 22, 1942""]","TITLE: My Country, 'Tis of Thee | ID: 342  
TITLE: The Star-Spangled Banner | ID: 855  

- It became law to recognize the National Anthem in 1932.  
- On June 22, 1942, the law was revised to specify behavior during its playing.  
- On December 23, 1942, the law was further revised to instruct men and women to stand at attention and face in the direction of the music.  

Final Answer: 1932",7605,32.56,True,structured_complete
loft:nq_128k:35,,"[""Phosphorus pentoxide""]","TITLE: Phosphorus pentoxide | ID: 422  
TITLE: Phosphorus pentoxide | ID: 422  

Final Answer: phosphorus pentoxide",6712,14.35,True,structured_complete
loft:nq_128k:36,,"[""rubidium-85""]","TITLE: Krypton-85 | ID: 755  
TITLE: krypton-85 decay | ID: 755  

Final Answer: rubidium-85",7492,15.38,True,structured_complete
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]","TITLE: Jason Gideon  
ID: 724  

List:  
- Gideon dies in the season ten episode ""Nelson's Sparrow""  

Final Answer: Gideon dies in the season ten episode ""Nelson's Sparrow""",7239,14.16,True,structured_complete
loft:nq_128k:38,,"[""Malayalam""]","TITLE: G. Sankara Kurup | ID: 273  
Final Answer: Malayalam",7117,8.53,True,structured_complete
loft:nq_128k:39,,"[""David Ben-Gurion""]","TITLE: Israeli Declaration of Independence
ID: 880

Final Answer: David Ben-Gurion",7041,9.75,True,structured_complete
loft:nq_128k:40,,"[""Manchuria""]","TITLE: Qing dynasty | ID: 609  
TITLE: United States Constitution | ID: 610  

List:  
- The rulers of the Qing dynasty originated from the Jurchen Aisin Gioro clan in Manchuria.  
- Nurhaci, a key figure in the formation of the dynasty, was originally a Ming vassal and organized military-social units that included Jurchen, Han Chinese, and Mongol elements.  
- Nurhaci unified the Jurchen clans and renamed them the Manchus.  
- The Qing dynasty was declared by Hong Taiji, Nurhaci's son, in 1636.  
- The early rulers maintained their Manchu ways, indicating their Manchu origin.

Final Answer: The rulers of the Qing dynasty originated from the Jurchen Aisin Gioro clan in Manchuria, who were later known as the Manchus.",7742,27.89,True,structured_complete
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,6737,3.89,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]","TITLE: We Are the World | ID: 130  
List:  
- Michael Jackson and Lionel Richie made the song ""We Are the World"".

Final Answer: Michael Jackson and Lionel Richie made the song ""We Are the World"".",7217,9.39,True,structured_complete
loft:nq_128k:43,,"[""Ludacris""]","TITLE: Baby (Justin Bieber song) | ID: 300  
TITLE: hook | ID: 300  

Final Answer: Ludacris",6451,20.65,True,structured_complete
