id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,2278,1.22,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]",,2264,0.43,True,abstained
loft:hotpotqa_128k:2,,"[""in 2000""]",,2290,0.47,True,abstained
loft:hotpotqa_128k:3,,"[""Araminta Ross""]",,2276,0.5,True,abstained
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,2266,0.58,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]",,2292,0.58,True,abstained
loft:hotpotqa_128k:6,,"[""1976""]",,2272,0.61,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]",,2266,0.42,True,abstained
loft:hotpotqa_128k:8,,"[""Eli Roth""]",,2314,0.51,True,abstained
loft:hotpotqa_128k:9,,"[""Washington State""]",,2278,0.58,True,abstained
loft:hotpotqa_128k:10,,"[""Love Drunk""]","TITLE: Love Drunk | ID: 334

Final Answer: Love Drunk",2830,4.98,True,structured_complete
loft:hotpotqa_128k:11,,"[""1940""]","TITLE: Herbert Matthews | ID: 1047  
Final Answer:",2929,5.27,True,structured_complete
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]",,2280,0.43,True,abstained
loft:hotpotqa_128k:13,,"[""Ali Qushji""]",,2292,0.58,True,abstained
loft:hotpotqa_128k:14,,"[""December 1974""]",,2278,0.77,True,abstained
loft:hotpotqa_128k:15,,"[""England""]",,2282,0.7,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]","TITLE: Taizo Kawamoto | ID: 11  
TITLE: Sampha | ID: 12  
['Taizo Kawamoto']  
Final Answer: ['Taizo Kawamoto']",2785,5.48,True,structured_complete
loft:hotpotqa_128k:17,,"[""Ten Walls""]",,2296,0.44,True,abstained
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]","TITLE: Jeff Wood (racing driver) | ID: 957  
- Former race car driver Jeff Wood made his CART debut in 1983 at the Caesars Palace Grand Prix.

Final Answer: Caesars Palace Grand Prix",3632,15.46,True,structured_complete
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]",,2270,0.43,True,abstained
loft:hotpotqa_128k:20,,"[""Cambridge University""]",,2278,0.43,True,abstained
loft:hotpotqa_128k:21,,"[""25 million copies""]",,2276,0.52,True,abstained
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",,2278,0.65,True,abstained
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",,2282,0.55,True,abstained
loft:hotpotqa_128k:24,,"[""The Vanishing""]",,2306,0.43,True,abstained
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]",,2272,0.43,True,abstained
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]","TITLE: [1] ID: [1]
TITLE: [2] ID: [2]

Final Answer: []",2631,3.16,True,structured_complete
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]","TITLE: Superstore | ID: 32  
Final Answer: Not specified in the provided documents.",2814,6.15,True,structured_complete
loft:hotpotqa_128k:28,,"[""no""]",,2272,0.83,True,abstained
loft:hotpotqa_128k:29,,"[""Rome""]",,2292,0.61,True,abstained
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,2274,0.66,True,abstained
loft:hotpotqa_128k:31,,"[""Unbreakable""]",,2270,0.51,True,abstained
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]",,2272,0.68,True,abstained
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",,2288,0.7,True,abstained
loft:hotpotqa_128k:34,,"[""Turkey""]",,2278,0.52,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]",,2282,0.43,True,abstained
loft:hotpotqa_128k:36,,"[""five""]",,2284,0.43,True,abstained
loft:hotpotqa_128k:37,,"[""Afro-Russian""]",,2294,0.43,True,abstained
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]",,2298,0.51,True,abstained
loft:hotpotqa_128k:39,,"[""8 November 1978""]","TITLE: None provided  
ID: 1  
Final Answer: ['16 November 1988']",2507,1.49,True,structured_complete
loft:hotpotqa_128k:40,,"[""Nye County""]","TITLE: Operation Buster–Jangle | ID: 747  
TITLE: Leeds, Maine | ID: 748  

Final Answer: nothing relevant",2770,4.42,True,structured_complete
loft:hotpotqa_128k:41,,"[""genus""]",,2274,0.43,True,abstained
loft:hotpotqa_128k:42,,"[""yes""]",,2266,0.43,True,abstained
loft:hotpotqa_128k:43,,"[""Shawnee""]",,2278,0.83,True,abstained
loft:hotpotqa_128k:44,,"[""Jamnagar""]",,2264,0.58,True,abstained
loft:hotpotqa_128k:45,,"[""Viscount Cranborne""]",,2306,0.66,True,abstained
loft:hotpotqa_128k:46,,"[""The Most Dangerous Game""]",,2276,0.43,True,abstained
loft:hotpotqa_128k:47,,"[""John M. Dowd""]",,2290,0.42,True,abstained
loft:hotpotqa_128k:48,,"[""photographer""]",,2274,0.59,True,abstained
loft:hotpotqa_128k:49,,"[""eight""]",,2292,0.69,True,abstained
loft:hotpotqa_128k:50,,"[""Philadelphia""]",,2270,0.42,True,abstained
loft:hotpotqa_128k:51,,"[""no""]",,2262,0.42,True,abstained
loft:hotpotqa_128k:52,,"[""yes""]",,2278,0.42,True,abstained
loft:hotpotqa_128k:53,,"[""North End Football Club""]",,2270,0.42,True,abstained
loft:hotpotqa_128k:54,,"[""Mercury Prize""]",,2294,0.61,True,abstained
