id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,2823,1.39,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,2918,0.75,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,2793,1.1,True,abstained
loft:musique_128k:3,,"[""1952""]",,2362,0.9,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,2907,1.35,True,abstained
loft:musique_128k:5,,"[""1941""]",,2215,0.91,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,2279,0.96,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,2292,1.32,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,2862,1.2,True,abstained
loft:musique_128k:9,,"[""1,400 years""]",,2204,0.82,True,abstained
loft:musique_128k:10,,"[""Rialto Bridge""]",,2750,0.92,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,2989,1.1,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,2300,0.77,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]","TITLE: Mandolin | ID: 565  
Final Answer: NOTHING RELEVANT",3262,4.16,True,structured_complete
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",Final Answer: NOTHING RELEVANT,3625,7.79,True,structured_complete
loft:musique_128k:15,,"[""Walter Sabo""]",,2255,0.74,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,2742,1.57,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,2814,1.03,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,2821,1.16,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]","TITLE: The Bronx | ID: 734  
List:  
- The South Bronx is home to Yankee Stadium.  

Final Answer: the Yankees",2527,2.9,True,structured_complete
loft:musique_128k:20,,"[""1952""]",,2738,1.22,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,2155,0.6,True,abstained
loft:musique_128k:22,,"[""1941""]","TITLE: Pacific War | ID: 221  
Final Answer: 1941",3115,2.78,True,structured_complete
loft:musique_128k:23,,"[""1941""]","TITLE: Pacific War | ID: 221  
List:  
- 1941  
Final Answer: 1941",3130,5.29,True,structured_complete
loft:musique_128k:24,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821
- The limit on games per developer per year for the platform with the abbreviated name that had the game Sunman (Super Nintendo Entertainment System) was five games per year.

Final Answer: five games per year",3447,6.89,True,structured_complete
loft:musique_128k:25,,"[""the country of India""]",,2848,1.21,True,abstained
loft:musique_128k:26,,"[""1905""]",,2759,1.19,True,abstained
loft:musique_128k:27,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821  
- Nintendo's limit on games per developer per year was five games per year.

Final Answer: five games per year",2772,4.29,True,structured_complete
loft:musique_128k:28,,"[""Oriole Records.""]",,2907,1.07,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,2807,0.94,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,2826,0.86,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,2207,0.72,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",,2159,0.72,True,abstained
loft:musique_128k:33,,"[""Warner Music Group""]",,2172,0.69,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]",,2756,0.98,True,abstained
loft:musique_128k:35,,"[""Abu Musa Ashaari""]","TITLE: Identity of the first male Muslim | ID: 38

Final Answer: NOTHING RELEVANT",3324,6.35,True,structured_complete
loft:musique_128k:36,,"[""Chris Harrison""]",,2749,0.85,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,2192,0.98,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]","TITLE: USS Sable (IX-81) | ID: 573  
Final Answer: NOTHING RELEVANT",3411,6.26,True,structured_complete
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,2871,0.95,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,2786,1.02,True,abstained
loft:musique_128k:41,,"[""1905""]",,2763,1.6,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,2738,1.17,True,abstained
loft:musique_128k:43,,"[""22""]",,2728,1.09,True,abstained
loft:musique_128k:44,,"[""1984""]","TITLE: Capital punishment in the United States  
ID: 675  

Final Answer: 1984",3241,6.87,True,structured_complete
loft:musique_128k:45,,"[""2,548 sq mi""]",,2226,1.72,True,abstained
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",,2246,0.71,True,abstained
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,2299,1.2,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,2767,2.07,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,2762,1.78,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,2939,2.07,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]",,2860,2.02,True,abstained
loft:musique_128k:52,,"[""1981""]",,2777,0.78,True,abstained
loft:musique_128k:53,,"[""1981""]",,2744,1.25,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,2779,1.53,True,abstained
