id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:0,,"[""Dan Bilzerian""]",,618,0.63,True,abstained
loft:hotpotqa_128k:1,,"[""Laura's Star""]",,611,0.28,True,abstained
loft:hotpotqa_128k:2,,"[""in 2000""]",,624,0.28,True,abstained
loft:hotpotqa_128k:3,,"[""Araminta Ross""]",,617,0.29,True,abstained
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,612,0.29,True,abstained
loft:hotpotqa_128k:5,,"[""Adolfo Rodríguez Saá""]",,625,0.29,True,abstained
loft:hotpotqa_128k:6,,"[""1976""]",,615,0.29,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]",,612,0.29,True,abstained
loft:hotpotqa_128k:8,,"[""Eli Roth""]",,636,0.29,True,abstained
loft:hotpotqa_128k:9,,"[""Washington State""]",,618,0.26,True,abstained
loft:hotpotqa_128k:10,,"[""Love Drunk""]",,630,0.26,True,abstained
loft:hotpotqa_128k:11,,"[""1940""]",,632,0.28,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]",,619,0.25,True,abstained
loft:hotpotqa_128k:13,,"[""Ali Qushji""]",,625,0.26,True,abstained
loft:hotpotqa_128k:14,,"[""December 1974""]",,618,0.26,True,abstained
loft:hotpotqa_128k:15,,"[""England""]",,620,0.26,True,abstained
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]",,613,0.26,True,abstained
loft:hotpotqa_128k:17,,"[""Ten Walls""]",,627,0.26,True,abstained
loft:hotpotqa_128k:18,,"[""Caesars Palace Grand Prix""]",,622,0.26,True,abstained
loft:hotpotqa_128k:19,,"[""The Suite Life of Zack & Cody""]",,614,0.25,True,abstained
loft:hotpotqa_128k:20,,"[""Cambridge University""]",,618,0.29,True,abstained
loft:hotpotqa_128k:21,,"[""25 million copies""]","TITLE: A Big Daddy | ID: 21  
Final Answer: ['21']",871,1.56,True,structured_complete
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",,618,0.3,True,abstained
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",,620,0.3,True,abstained
loft:hotpotqa_128k:24,,"[""The Vanishing""]",,632,0.3,True,abstained
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]",,615,0.3,True,abstained
loft:hotpotqa_128k:26,,"[""Scapegoat Mountain""]",,612,0.3,True,abstained
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]",,615,0.3,True,abstained
loft:hotpotqa_128k:28,,"[""no""]",,615,0.3,True,abstained
loft:hotpotqa_128k:29,,"[""Rome""]",,625,0.3,True,abstained
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,616,0.3,True,abstained
loft:hotpotqa_128k:31,,"[""Unbreakable""]",,614,0.3,True,abstained
loft:hotpotqa_128k:32,,"[""directed by Shane Meadows""]",,615,0.3,True,abstained
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",,623,0.3,True,abstained
loft:hotpotqa_128k:34,,"[""Turkey""]",,618,0.3,True,abstained
loft:hotpotqa_128k:35,,"[""Omega SA""]",,620,0.3,True,abstained
loft:hotpotqa_128k:36,,"[""five""]","TITLE: Luisa Miller | ID: 21  
TITLE: Don Quichotte | ID: 21  
Final Answer: ['three']",915,1.96,True,structured_complete
loft:hotpotqa_128k:37,,"[""Afro-Russian""]",,626,0.26,True,abstained
loft:hotpotqa_128k:38,,"[""Lawton Chiles""]",,628,0.26,True,abstained
loft:hotpotqa_128k:39,,"[""8 November 1978""]",,612,0.27,True,abstained
loft:hotpotqa_128k:40,,"[""Nye County""]",,614,0.21,True,abstained
loft:hotpotqa_128k:41,,"[""genus""]",,616,0.24,True,abstained
loft:hotpotqa_128k:42,,"[""yes""]",,612,0.26,True,abstained
loft:hotpotqa_128k:43,,"[""Shawnee""]",,618,0.21,True,abstained
loft:hotpotqa_128k:44,,"[""Jamnagar""]",,611,0.22,True,abstained
loft:hotpotqa_128k:45,,"[""Viscount Cranborne""]",,632,0.21,True,abstained
loft:hotpotqa_128k:46,,"[""The Most Dangerous Game""]",,617,0.21,True,abstained
loft:hotpotqa_128k:47,,"[""John M. Dowd""]",,624,0.21,True,abstained
loft:hotpotqa_128k:48,,"[""photographer""]",,616,0.21,True,abstained
loft:hotpotqa_128k:49,,"[""eight""]",,625,0.25,True,abstained
loft:hotpotqa_128k:50,,"[""Philadelphia""]",,614,0.25,True,abstained
loft:hotpotqa_128k:51,,"[""no""]",,610,0.25,True,abstained
loft:hotpotqa_128k:52,,"[""yes""]",,618,0.2,True,abstained
loft:hotpotqa_128k:53,,"[""North End Football Club""]",,614,0.2,True,abstained
loft:hotpotqa_128k:54,,"[""Mercury Prize""]",,626,0.2,True,abstained
