id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2018 Kentucky Bank Tennis Championships – Men's Singles | ID: 124  

[""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]  

Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]",2470,4.34,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Rival Schools | ID: 25  
TITLE: Dead Heavens | ID: 734  
TITLE: Quicksand (American band) | ID: 752  

List:  
- Quicksand (American band)  
- Gorilla Biscuits  
- Youth of Today  
- Moondog project  

Final Answer: [""Quicksand (American band)"", ""Gorilla Biscuits"", ""Youth of Today"", ""Moondog project""]",2588,6.61,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","[""Badr-4 (a.k.a. Arabsat 4B)"", ""Arabsat-1A"", ""Arabsat-1B"", ""INSAT-2DT (previously known as Arabsat-1C)""]

Final Answer: [""Badr-4 (a.k.a. Arabsat 4B)"", ""Arabsat-1A"", ""Arabsat-1B"", ""INSAT-2DT (previously known as Arabsat-1C)""]",2879,7.38,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","[""Uncyclopedia""]  

Final Answer: [""Uncyclopedia""]",2873,5.07,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Chris McCormack (triathlete) | ID: 281  
TITLE: Pete Jacobs (triathlete) | ID: 592  

List:  
- ""Chris McCormack""  
- ""Pete Jacobs""  

Final Answer: [""Chris McCormack"", ""Pete Jacobs""]",2498,6.6,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
List of existing reagent compounds:  
- Collins reagent  
- Jones reagent  
- Pyridinium chlorochromate (PCC)  
- Pyridinium dichromate (PDC)

Final Answer: [""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]",2694,5.77,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","TITLE: wnship in the city of Andong, North Gyeongsang Province, South Korea. ID: 219

List:
- Jondeoksa (尊德祠)
- Pungak Seodang (豊岳書堂)

Final Answer: [""Jondeoksa (尊德祠)"", ""Pungak Seodang (豊岳書堂)""]",2821,7.27,True,structured_complete
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2018 Knoxville Challenger – Singles | ID: 84  
TITLE: 2015 Wimbledon Championships – Boys' Singles | ID: 318  
TITLE: 2018 JSM Challenger of Champaign–Urbana – Singles | ID: 531  
TITLE: 2016 Charlottesville Men's Pro Challenger – Singles | ID: 559  

[""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2016 Charlottesville Men's Pro Challenger – Singles""]  
Final Answer: [""2018 Knoxville Challenger – Singles"", ""2015 Wimbledon Championships – Boys' Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2016 Charlottesville Men's Pro Challenger – Singles""]",3120,9.88,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: Moreno | ID: 316  
TITLE: Early years. Peter grew up the oldest of four children in the Locust section of Middletown Township, New Jersey. High school. Peter attended Middletown High School South, where he played one year of football as a junior. The team went undefeated and won the state title in 1990. College career. Peter received a full athletic scholarship to the University of Nebraska where he was a three-year starter. | ID: 430  
TITLE: Jeff Kunkel | ID: 537  

Final Answer: [""Knowshon Rockwell Moreno"", ""Peter"", ""Jeff Kunkel""]",2955,8.74,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2015 Città di Caltanissetta – Singles | ID: 52  
TITLE: 2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles | ID: 291  
TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  
TITLE: 2016 Open Città della Disfida – Singles | ID: 669  

Final Answer: [""2015 Città di Caltanissetta – Singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2017 Internationaux de Tennis de Vendée – Singles"", ""2016 Open Città della Disfida – Singles""]",3303,9.29,True,structured_complete
