id,answers,prediction,tokens,latency_s,score
loft:qampari_128k:0,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]"," ['2015 King Cup Final', '2018 Knoxville Challenger – Singles', '2019 Launceston Tennis International – Men's Singles', '2018 Kunming Open – Men's Doubles', '2018 BNP Paribas Primrose Bordeaux – Singles', '2018 Senior Open Championship', '2019 Senior Open Championship', '2017 Senior Open Championship', '2016 Open Città della Disfida – Singles', '2014 Senior Open Championship', '2010 Senior Open Championship', '2017 Internationaux de Tennis de Vendée – Singles', '2016 Saudi Super Cup', '2015 Saudi Super Cup', '2010 MPS Group Championships – Doubles', '2018 Stockton Challenger – Men's Singles', '2018 Senior Open Championship', '2015 Città di Caltanissetta – Singles', '2014 Senior Open Championship', '2017 Internationaux de Tennis de Vendée – Singles', '2018 Senior Open Championship', '2019 Senior Open Championship', '20",120503,,0.6
loft:qampari_128k:1,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]"," ['Gorilla Biscuits', 'Quicksand', 'Rival Schools', 'Dead Heavens']",120273,,0.8
loft:qampari_128k:2,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]"," ['Arabsat-1A', 'Arabsat-1B', 'Arabsat-4', 'Arabsat-5A']",120277,,0.6
loft:qampari_128k:3,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]", ['Wiktionary'],120249,,0.2
loft:qampari_128k:4,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]"," ['Helen Jenkins', 'Pete Jacobs', 'Michele Serros', 'Silindile Ngubane', 'Gaelle Lefebvre']",120278,,0.4
loft:qampari_128k:5,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]"," ['Collins reagent', 'Estradiol benzoate/hydroxyprogesterone caproate', 'Estradiol dipropionate/hydroxyprogesterone caproate', 'Estradiol valerate/hydroxyprogesterone caproate', 'Estradiol cypionate/hydroxyprogesterone caproate', 'Estradiol benzoate/estradiol valerate/hydroxyprogesterone caproate', 'Estradiol valerate/hydroxyprogesterone caproate']",120363,,0.2
loft:qampari_128k:6,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]"," ['Oksan Seowon', 'Seoak Seowon', 'Dosan Seowon', 'Byeongsan Seowon', 'Mukhamukham', 'Sosu Seowon', 'Baeundong Seowon']",120303,,1.0
loft:qampari_128k:7,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]"," ['2018 Kunming Open – Men's Doubles', '2018 Stockton Challenger – Men's Singles', '2016 Open Città della Disfida – Singles', '2015 Wimbledon Championships – Boys' Singles', '2018 Senior Open Championship', '2017 Internationaux de Tennis de Vendée – Singles', '2016 King Cup Final', '2010 Senior Open Championship', '2017 Senior Open Championship', '2019 Senior Open Championship', '2015 King Cup Final', '2010 Aircel Chennai Open – Singles', '2011 U.S. Open Cup Final', '2018 BNP Paribas Primrose Bordeaux – Singles', '2018 JSM Challenger of Champaign–Urbana – Singles', '2016 Saudi Super Cup', '2015 Saudi Super Cup', '2014 Senior Open Championship', '2019 Senior Open Championship', '2017 Internationaux de Tennis de Vendée – Singles', '2018 Stockton Challenger – Men's Singles', '2018 BNP",120506,,0.6
loft:qampari_128k:8,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]"," ['Ego Ferguson', 'Jeffrey William Kunkel', 'Jimmy McIlroy', 'Dewon Brazelton', 'Devin Marquese Bush Jr.', 'Pete Jacobs', 'Matti Lives in Finland', 'Noy Lives in Thailand', 'Miguel Ángel Russo', 'Paul Seaton', 'Reilly Opelka', 'James Dempsey', 'Will Sutton', 'Bryan Morris', 'Kevin Thomson', 'Dustin Lynch', 'Aled Jones', 'James D. Ebert', 'Ronald Eugene Rivera', 'Mick Walker', 'John Barton (footballer, born 1953)', 'John Pether', 'William Pether', 'John Toohey (judge)', 'Paul Smith (footballer, born 1979)', 'Kevin Kline', 'James D. Ebert', 'Miguel Ángel Russo', 'Paul Seaton', 'Reilly Opelka', 'James Dempsey', 'Will Sutton', 'Bryan Morris', 'Kevin Thomson', 'Dustin Lynch', 'Aled Jones', 'James D. Ebert', 'Ronald Eugene Rivera', 'Mick Walker', 'John Barton (footballer, born 1",120504,,0.0
loft:qampari_128k:9,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]"," ['2010 MPS Group Championships – Doubles', '2015 Città di Caltanissetta – Singles', '2018 Knoxville Challenger – Singles', '2018 Launceston Tennis International – Men's Singles', '2018 BNP Paribas Primrose Bordeaux – Singles', '2016 Open Città della Disfida – Singles', '2019 King Cup Final', '2019 Senior Open Championship', '2018 Stockton Challenger – Men's Singles', '2017 Internationaux de Tennis de Vendée – Singles', '2018 Kunming Open – Men's Doubles', '2018 Senior Open Championship', '2016 Saudi Super Cup', '2015 King Cup Final', '2014 Senior Open Championship', '2017 Internationaux de Tennis de Vendée – Singles', '2018 Senior Open Championship', '2018 Senior Open Championship', '2018 Senior Open Championship', '2018 Senior Open Championship', '2018 Senior Open Championship', '2018 Senior Open Championship', '20",120501,,0.6
loft:qampari_128k:10,"[""Antonio London"", ""Bryan Morris"", ""Dewon Brazelton"", ""Dustin Lynch"", ""Jordan Sheffield""]"," ['Shea Langeliers', 'Dewon Brazelton', 'Jordan Sheffield', 'Jeffrey Kunkel', 'Pete Jacobs', 'Dustin Lynch', 'Bryan Morris', 'Ego Ferguson', 'Devin Bush Jr.', 'Reilly Opelka', 'Lloyd Harris', 'Mick Walker', 'James D. Ebert', 'Ronald Eugene Rivera', 'Gustavo Alfaro', 'Michele Alboreto', 'John Barton (footballer, born 1953)', 'John Ordronaux (doctor)', 'James Dempsey (poker player)', 'Ron Noades', 'Mal Duncan', 'Miguel Ángel Russo', 'Perry DeAngelis', 'Paul Seaton', 'Paul Klee', 'Matti Lives in Finland', 'Noy Lives in Thailand', 'Northwestern Ojibwa', 'Lhasa Tibetan', 'Kanthal Tibetan', 'Amdo Tibetan', 'Khams Tibetan', 'Ladakhi language', 'Spotted Elk', 'St. Paul's Presbyterian Church (Hamilton, Ontario)', 'The Texas Chainsaw Massacre (2003 film)', 'The Lone Gunmen (TV series)', '",120502,,0.8
