id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,6194,1.89,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]",,6455,1.41,True,abstained
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,6142,1.6,True,abstained
loft:musique_128k:3,,"[""1952""]",,7180,2.1,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]","TITLE: Hello, Larry | ID: 39  
TITLE: New York City | ID: 324  

Final Answer: NOTHING RELEVANT",8014,8.93,True,structured_complete
loft:musique_128k:5,,"[""1941""]",,6748,1.86,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]","TITLE: The Beach (film) | ID: 308  
Final Answer: UNKNOWN",7666,8.37,True,structured_complete
loft:musique_128k:7,,"[""Francisco Guterres""]","TITLE: Indonesia–Timor Leste Commission of Truth and Friendship | ID: 598  
Final Answer: NOTHING RELEVANT",7816,12.25,True,structured_complete
loft:musique_128k:8,,"[""the country of India""]","TITLE: Hindus | ID: 540  
TITLE: Partition of India | ID: 578  

Final Answer: a geographical term for the people or land beyond the Indus River",7557,12.74,True,structured_complete
loft:musique_128k:9,,"[""1,400 years""]",Final Answer: [],6609,4.24,True,structured_complete
loft:musique_128k:10,,"[""Rialto Bridge""]","TITLE: Captain America: The Winter Soldier | ID: 270  
TITLE: Rialto Bridge | ID: 420  
TITLE: Old English | ID: 419  
TITLE: He's Gonna Step on You Again | ID: 421  
TITLE: Women's suffrage in the United States | ID: 422  

Final Answer:",7439,6.82,True,structured_complete
loft:musique_128k:11,,"[""16th - century""]",,6729,1.8,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]","TITLE: East Timor | ID: 45
TITLE: Indonesia–Timor Leste Commission of Truth and Friendship | ID: 598

Final Answer: Francisco Guterres",8215,11.93,True,structured_complete
loft:musique_128k:13,,"[""Rialto Bridge""]","TITLE: Captain America: The Winter Soldier | ID: 270  
TITLE: Mandolin | ID: 565  

Final Answer:",7236,5.67,True,structured_complete
loft:musique_128k:14,,"[""Toronto Coach Terminal""]","The headquarters of the production company which produced A Cosmic Christmas is not mentioned in the documents. Therefore, the location of the city where the headquarters is located, and where greyhound buses leave from, cannot be determined from the provided information.

Final Answer: []",7410,8.16,True,structured_complete
loft:musique_128k:15,,"[""Walter Sabo""]",,6767,2.03,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,6239,1.59,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",Final Answer:,7096,5.07,True,structured_complete
loft:musique_128k:18,,"[""June 1941""]",,6579,1.6,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]","TITLE: Yankee Stadium | ID: 216

Final Answer: Yankees",7016,6.29,True,structured_complete
loft:musique_128k:20,,"[""1952""]",,6862,1.64,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]","TITLE: Captain America: The Winter Soldier | ID: 270  
TITLE: Scanderbeg (opera) | ID: 649  

Final Answer:",8039,10.29,True,structured_complete
loft:musique_128k:22,,"[""1941""]","TITLE: Ercole Manfredi | ID: 667  
Final Answer: The document does not provide any information about the year the country where Ercole Manfredi was born formed an alliance with Japan. Therefore, the query cannot be answered based on the given text.",7342,6.64,True,structured_complete
loft:musique_128k:23,,"[""1941""]","TITLE: Pacific War | ID: 221  
Final Answer: 1941",7063,3.45,True,structured_complete
loft:musique_128k:24,,"[""five""]","TITLE: Super Nintendo Entertainment System | ID: 821  
Final Answer: five games per year",6957,11.73,True,structured_complete
loft:musique_128k:25,,"[""the country of India""]","TITLE: Hindus | ID: 540  
TITLE: Partition of India | ID: 578  

Final Answer: Hinduism",7549,9.25,True,structured_complete
loft:musique_128k:26,,"[""1905""]","TITLE: Allen, Arizona | ID: 315  
TITLE: Tucson, Arizona | ID: 697  

Final Answer: 1905",6560,5.01,True,structured_complete
loft:musique_128k:27,,"[""five""]","TITLE: Nintendo Entertainment System | ID: 175  
TITLE: Pinball Quest | ID: 725  
TITLE: Super Nintendo Entertainment System | ID: 821  

Final Answer: five games per year",7430,12.28,True,structured_complete
loft:musique_128k:28,,"[""Oriole Records.""]","TITLE: New York City | ID: 324  
Final Answer:",7728,6.53,True,structured_complete
loft:musique_128k:29,,"[""Casa Loma""]","TITLE: Care Bear: Journey to Joke-a-lot | ID: 336  
Final Answer: []",7185,4.61,True,structured_complete
