id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:quest_128k:0,,"[""A Case of Need""]",,3047,2.93,True,abstained
loft:quest_128k:1,,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]",,3082,1.46,True,abstained
loft:quest_128k:2,,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]",,3072,1.23,True,abstained
loft:quest_128k:3,,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]","[""""]  
Final Answer: []",3938,21.64,True,structured_complete
loft:quest_128k:4,,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]",,3047,2.28,True,abstained
loft:quest_128k:5,,"[""One Way Trip 3D""]",,3017,2.41,True,abstained
loft:quest_128k:6,,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]",,3052,2.1,True,abstained
loft:quest_128k:7,,"[""Firecrest (novel)"", ""Lament for Leto""]","[]

Final Answer: []",3623,10.58,True,structured_complete
loft:quest_128k:8,,"[""Crisis of Conscience""]",,3022,2.4,True,abstained
loft:quest_128k:9,,"[""Demi-Gods and Semi-Devils"", ""The Adventures of Peregrine Pickle"", ""The History of Sir Charles Grandison""]",,3117,1.99,True,abstained
loft:quest_128k:10,,"[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]","[""The Midnight Zoo"", ""My Uncle Napoleon""]  
Final Answer: [""The Midnight Zoo"", ""My Uncle Napoleon""]",3722,13.61,True,structured_complete
loft:quest_128k:11,,"[""Best Defense"", ""Red Dawn""]",,3077,2.0,True,abstained
loft:quest_128k:12,,"[""Seveneves""]",,3087,2.52,True,abstained
loft:quest_128k:13,,"[""Alega Gang: Public Enemy No.1 of Cebu"", ""Lapu-Lapu (2002 film)"", ""Patay na si Hesus""]","[""Nothing relevant""]",4232,29.91,True,structured_complete
loft:quest_128k:14,,"[""All She Was Worth"", ""Crossfire (novel)"", ""Out (novel)""]",,3022,2.84,True,abstained
loft:quest_128k:15,,"[""Elizabeth (film)""]",,3082,2.67,True,abstained
loft:quest_128k:16,,"[""Personal Recollections of Joan of Arc""]",,3072,2.54,True,abstained
loft:quest_128k:17,,"[""Hitman's Wife's Bodyguard"", ""Red Notice (film)"", ""The King's Man""]",,3047,1.69,True,abstained
loft:quest_128k:18,,"[""The Way of the Scarlet Pimpernel""]",,3057,2.23,True,abstained
loft:quest_128k:19,,"[""Batman & Bill"", ""Batman & Robin (film)"", ""Batman (serial)""]","TITLE: Batman & Robin (film) | ID: 0

Final Answer: [""Batman & Robin (film)""]",3665,11.23,True,structured_complete
loft:quest_128k:20,,"[""Batman: The Killing Joke (film)"", ""Pérák: The Shadow over Prague"", ""The League of Extraordinary Gentlemen (film)""]",,3087,2.09,True,abstained
loft:quest_128k:21,,"[""Poison in Jest"", ""The Waxworks Murder""]",,3072,2.23,True,abstained
loft:quest_128k:22,,"[""Battle Cry (Uris novel)"", ""Go Tell It on the Mountain (novel)"", ""Junkie (novel)""]","[""""]  
Final Answer: []",3482,5.18,True,structured_complete
loft:quest_128k:23,,"[""P4W: Prison for Women"", ""The Phantom (2021 film)"", ""Waseskun""]",,3067,1.53,True,abstained
loft:quest_128k:24,,"[""Mythago Wood"", ""Nights at the Circus""]",,3052,2.07,True,abstained
loft:quest_128k:25,,"[""Laughing Gas (novel)""]","[""Nothing relevant""]",3737,12.37,True,structured_complete
loft:quest_128k:26,,"[""Hannibal Rising"", ""Jewel (novel)""]","[]

Final Answer: []",3647,11.01,True,structured_complete
loft:quest_128k:27,,"[""Ryan (film)""]",,3027,2.53,True,abstained
loft:quest_128k:28,,"[""Cavalleria rusticana (1982 film)"", ""The Deadly Game (1982 film)"", ""The Life of Verdi (miniseries)""]",,3062,1.23,True,abstained
loft:quest_128k:29,,"[""Hulk: Where Monsters Dwell"", ""Resident Evil: Vendetta""]","[""Nothing relevant""]",3967,15.5,True,structured_complete
loft:quest_128k:30,,"[""A Lingering Face"", ""Looking Up (film)"", ""Ni Jing: Thou Shalt Not Steal""]","[""Nothing relevant""]",3627,9.24,True,structured_complete
loft:quest_128k:31,,"[""Child Bride"", ""I Accuse My Parents"", ""The Devil's Sleep""]",,3047,2.63,True,abstained
loft:quest_128k:32,,"[""Time and the Wind""]",,3042,2.11,True,abstained
loft:quest_128k:33,,"[""Midnight Sun (Meyer novel)"", ""New Moon (novel)"", ""Twilight (Meyer novel)""]",,3047,1.89,True,abstained
loft:quest_128k:34,,"[""Boy at War"", ""The Changeover"", ""The Firebird Rocket""]",,3072,1.75,True,abstained
loft:quest_128k:35,,"[""Killing Them Softly"", ""Mac & Devin Go to High School""]",,3082,1.83,True,abstained
loft:quest_128k:36,,"[""My Uncle Napoleon"", ""Savushun"", ""The Blind Owl""]","[""""]  
Final Answer: []",3698,11.18,True,structured_complete
loft:quest_128k:37,,"[""Doctor Zhivago (film)""]",,3057,1.39,True,abstained
loft:quest_128k:38,,"[""The Picturegoers"", ""The Violent Bear It Away""]",,3037,1.46,True,abstained
loft:quest_128k:39,,"[""Undercover with the KKK""]",,3057,1.56,True,abstained
loft:quest_128k:40,,"[""An Obvious Situation"", ""That Night's Wife"", ""The Copper (1930 film)""]",,3042,1.83,True,abstained
loft:quest_128k:41,,"[""Ace Attorney (film)"", ""True Story (film)""]",,3047,1.84,True,abstained
loft:quest_128k:42,,"[""Le Grand Meaulnes"", ""The Mysteries of Paris"", ""The Mystery of the Yellow Room""]",,3092,1.84,True,abstained
loft:quest_128k:43,,"[""Casta Diva (1935 film)"", ""The Fire Devil"", ""Under Capricorn""]",,3067,2.55,True,abstained
loft:quest_128k:44,,"[""First Invasion: The War of 1812"", ""Last of the Buccaneers"", ""Mohawk (2017 film)""]","[""none""]",3974,18.75,True,structured_complete
loft:quest_128k:45,,"[""Going Vertical"", ""Prefontaine (film)""]",,3052,2.15,True,abstained
loft:quest_128k:46,,"[""Ilium (novel)"", ""Summer of Night"", ""The Fall of Hyperion (novel)""]",,3012,2.29,True,abstained
loft:quest_128k:47,,"[""We the Living""]","[""""]  
Final Answer: []",3514,5.72,True,structured_complete
loft:quest_128k:48,,"[""Le Divorce"", ""Peppermint Soda"", ""Two English Girls""]",,3027,1.27,True,abstained
