question,token_budget,predicted_answer,task,retained_context_tokens,answer_prefix,retained_kv_memory_gb,kv_memory_per_token_kb,retained_kv_memory_mb,uncompressed_kv_memory_gb,max_new_tokens,compression_ratio,uncompressed_kv_memory_mb,memory_budget_unit,context_length,memory_budget,answer,context_tokens
Question: What are the 10 most common words in the above list? ,15258.0,"
1. **liver** (23 times)
2. **gherkin** (22 times)
3. **trillion** (21 times)
4. **ideology** (20 times)
5. **rally** (19 times)
6. **probe** (18 times)
7. **promise** (17 times)
8. **vigorous** (16 times)
9. **nice** (15 times)
10. **pinpoint** (14 times)",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.907242496,120,0.6560492324338947,2907.242496,GB,32768,1.0,"['pinpoint' 'vigorous' 'liver' 'ideology' 'trillion' 'nice' 'promise'
 'rally' 'gherkin' 'probe']",44361.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. **thunder** (23 times)
2. **signature** (22 times)
3. **bass** (21 times)
4. **divan** (20 times)
5. **classroom** (19 times)
6. **festival** (19 times)
7. **nerve** (18 times)
8. **buffer** (17 times)
9. **manhunt** (16 times)
10. **newsstand** (15 times)

*(",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.914254848,120,0.6568768552667086,2914.254848,GB,32768,1.0,"['buffer' 'manhunt' 'festival' 'nerve' 'thunder' 'newsstand' 'divan'
 'signature' 'bass' 'classroom']",44468.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. **driveway** (23 times)
2. **advent** (22 times)
3. **haste** (21 times)
4. **labored** (20 times)
5. **chafe** (19 times)
6. **foam** (18 times)
7. **lute** (18 times)
8. **vendor** (17 times)
9. **say** (16 times)
10. **cilantro** (15 times)",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.915827712,120,0.6570619437202194,2915.827712,GB,32768,1.0,"['advent' 'haste' 'cilantro' 'say' 'labored' 'foam' 'lute' 'chafe'
 'vendor' 'driveway']",44492.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. spat
2. variety
3. queue
4. slot
5. card
6. mallard
7. echidna
8. farrow
9. score
10. wildlife",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.914451456,120,0.6569000022486564,2914.451456,GB,32768,1.0,"['queue' 'variety' 'spat' 'wildlife' 'slot' 'score' 'farrow' 'card'
 'mallard' 'echidna']",44471.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. enforcement
2. enrollment
3. poet
4. mutton
5. cassock
6. tortilla
7. sweets
8. rubber
9. wheel
10. plasterboard",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.918842368,120,0.6574161390273474,2918.842368,GB,32768,1.0,"['plasterboard' 'wheel' 'tortilla' 'enrollment' 'mutton' 'enforcement'
 'rubber' 'poet' 'sweets' 'cassock']",44538.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. **sore** (23 times)
2. **metaphor** (22 times)
3. **constant** (21 times)
4. **arithmetic** (20 times)
5. **hoe** (19 times)
6. **spat** (19 times)
7. **pansy** (18 times)
8. **cube** (17 times)
9. **maximum** (17 times)
10. **step-father** (16 times)",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.921660416,120,0.6577465736524528,2921.660416,GB,32768,1.0,"['sore' 'pansy' 'step-father' 'maximum' 'metaphor' 'cube' 'hoe' 'constant'
 'arithmetic' 'spat']",44581.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. **breeze**
2. **crewmen**
3. **eggnog**
4. **finer**
5. **girdle**
6. **midden**
7. **royal**
8. **smoking**
9. **subdued**
10. **tacit**

*(Note: These words appear significantly more frequently than others in the provided list, with counts ranging roughly between 25 and 30 occurrences each, while most other words appear only once or twice.)*",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.920742912,120,0.657639060291247,2920.742912,GB,32768,1.0,"['finer' 'girdle' 'eggnog' 'royal' 'smoking' 'subdued' 'tacit' 'midden'
 'breeze' 'crewmen']",44567.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. shoes
2. inscription
3. candidate
4. money
5. virtue
6. ecosystem
7. sphynx
8. kingfish
9. aboard
10. mislead",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.921529344,120,0.657731218735279,2921.529344,GB,32768,1.0,"['mislead' 'virtue' 'money' 'ecosystem' 'inscription' 'aboard' 'sphynx'
 'kingfish' 'shoes' 'candidate']",44579.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. **correspondence** (23 times)
2. **racer** (22 times)
3. **lute** (21 times)
4. **spider** (20 times)
5. **asparagus** (19 times)
6. **grand** (18 times)
7. **shoot** (17 times)
8. **briefly** (16 times)
9. **scene** (15 times)
10. **nod** (14 times)",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.911240192,120,0.6565215433794066,2911.240192,GB,32768,1.0,"['asparagus' 'grand' 'briefly' 'correspondence' 'shoot' 'lute' 'nod'
 'spider' 'scene' 'racer']",44422.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. digging
2. borrower
3. conviction
4. government
5. backbone
6. subsidence
7. split
8. fugato
9. slider
10. bun",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.918776832,120,0.6574084469093113,2918.776832,GB,32768,1.0,"['digging' 'borrower' 'split' 'backbone' 'slider' 'subsidence' 'fugato'
 'bun' 'conviction' 'government']",44537.0
Question: What are the 10 most common words in the above list? ,15258.0,"
1. milepost
2. longboat
3. destroy
4. fling
5. praised
6. mailing
7. shrine
8. brooch
9. wildebeest
10. connect",cwe,15258.0,Answer: The top 10 words that appear most often in the list are:,0.999948288,65.536,999.948288,2.921529344,120,0.657731218735279,2921.529344,GB,32768,1.0,"['destroy' 'mailing' 'milepost' 'brooch' 'longboat' 'fling' 'shrine'
 'connect' 'praised' 'wildebeest']",44579.0
