uncompressed_kv_memory_gb,memory_budget_unit,uncompressed_kv_memory_mb,retained_kv_memory_gb,predicted_answer,compression_ratio,task,split,context_tokens,max_new_tokens,answer_prefix,retained_kv_memory_mb,question,memory_budget,kv_memory_per_token_kb,answers,token_budget,retained_context_tokens
17.723031552,MB,17723.031552,0.511967232,"1. **Title:** ""What competition is a Senior British Open Championship?""  
   **ID:** 1  
   **Answer:** The Senior British Open Championship is a competition in the sport of golf. It is one of the events in the British Tour, which is the main professional golf tour in the United Kingdom.",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What competition is a Senior British Open Championship?
",512.0,147.456,"['2010 Senior Open Championship' '2014 Senior Open Championship'
 '2017 Senior Open Championship' '2018 Senior Open Championship'
 '2019 Senior Open Championship']",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1984 movie ""Bhargavi"" was screenwritten by Adoor Gopalakrishnan.

**Document Used:**
- TITLE: ""Bhargavi"" (1984)
- ID: 2",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which movie was screenwritten by Adoor Gopalakrishan?
",512.0,147.456,"['Anantaram' 'Kodiyettam' 'Mathilukal' 'Mukhamukham'
 'Oru Pennum Randaanum']",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1. **Title**: ""The Settlement of Tamar""  
   **ID**: 1  
   **Answer**: The settlement that is next to the Tamar River is Tamar.",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What is the name of the settlement that is next to the Tamar River?
",512.0,147.456,"['Bradstone' 'Lezant' 'Plymouth' 'St Stephens by Launceston Rural'
 'Werrington']",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1. **Title:** Nova Scotia's Ship Register, **ID:** D1  
   - **Answer:** The ships registered in Nova Scotia are:  
     - *The Mariposa*  
     - *The Victoria*  
     - *The St. Mary*  
     - *The St. John*  
     - *The St. Paul*  
     - *The St. Louis*  
     - *The St. James*  
     - *The St. Andrew*",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Name the ships registered in Nova Scotia.
",512.0,147.456,['Agnes' 'Montague' 'Rover' 'Sherbrooke' 'Sir John Sherbrooke'],3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1. **Title**: ""The Art of the Chorale""  
   **ID**: 1  
   **Answer**: A chorale cantata is a type of musical composition that includes a chorale, which is a hymn-like melody. An example of a chorale cantata is ""Jesu, Joy of Man's Desiring"" by Johann Sebastian Bach, which is based on a traditional Lutheran hymn.

2. **Title**: ""The History of the Chorale",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What composition is an example of a chorale cantata?
",512.0,147.456,"['Allein zu dir, Herr Jesu Christ, BWV 33'
 'Ein feste Burg ist unser Gott, BWV 80'
 'O Ewigkeit, du Donnerwort, BWV 20'
 'Wachet auf, ruft uns die Stimme, BWV 140'
 'Wie schön leuchtet der Morgenstern, BWV 1']",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1. **Title**: ""The McGraw-Hill Book Company""  
   **ID**: 1  
   2. **Title**: ""Gregory Benford""  
   **ID**: 2  
   3. **Title**: ""Gregory Benford""  
   **ID**: 3  
   4. **Title**: ""Gregory Benford""  
   **ID**: 4  
   5. **Title**: ""Gregory Benford""  
  ",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Gregory Benford edited what piece of writing?
",512.0,147.456,"['Alternate Americas' 'Alternate Empires' 'Alternate Heroes'
 'Alternate Wars' 'Nebula Awards Showcase 2000']",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1. **Title:** ""The Ventura College Story""  
   **ID:** 12345  
   **Answer:** The name of a former student from Ventura College is not explicitly mentioned in the provided documents. However, based on the context, it is implied that there were students associated with Ventura College, such as those mentioned in the ""The Ventura College Story"" document.

2. **Title:** ""The 1986 Film 'The Hitman' and Ventura College""",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What's the name of a former student from Ventura College?
",512.0,147.456,"['Michele Serros' 'Paul Seaton' 'Sun Mingming' 'Terrance Dotsy'
 'Zack Thornton']",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1. **Title:** ""Individuals Who Served in the Myanmar Army""  
   **ID:** 2  
   **Answer:** The individual who served in the Myanmar Army is **Abdul Haris**.  

2. **Title:** ""Biography of a Former Myanmar Army Officer""  
   **ID:** 3  
   **Answer:** The individual who served in the Myanmar Army is **Abdul Haris**.  

3. **Title:** ""Military Career of",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What individual served in the Myanmar Army?
",512.0,147.456,['Aung Min' 'Maung Maung Ohn' 'Myint Swe' 'San Yu' 'Thein Sein'],3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1. **Title**: ""George A. Berlinghof""  
   **ID**: 1  
   **Answer**: George A. Berlinghof created the structure of the ""Bologna"" building, which is a part of the ""Bologna"" series.  

2. **Title**: ""The 1930s""  
   **ID**: 2  
   **Answer**: He designed the ""Bologna"" building, which is a structure in the ""Bologna""",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What structures di George A. Berlinghof create?
",512.0,147.456,"['Chadron Public Library' 'Crawford County Courthouse'
 'Dr. A.O. Thomas House' 'Franklin County Courthouse'
 'Howard County Courthouse']",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1970's ""The Hitman"" (also known as ""The Hitman"" or ""The Hitman"" in some sources) was the show that was executively produced by Russell T Davies.

**Title:** The Hitman  
**ID:** 1970-01-01-001",0.9711128860489883,qampari_128k,dev,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What show was executively produced by Russell T Davies?
",512.0,147.456,"['Last of the Time Lords' 'Music of the Spheres'
 'The Unicorn and the Wasp' 'Time Crash' 'Voyage of the Damned']",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"2017 Internationaux de Tennis de Paris

**Title:** ""Lloyd (2017 Internationaux de Tennis de Paris)""  
**ID:** 2",0.9711128860489883,qampari_128k,test,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: Which competition did the tennis man Lloyd Harris win?
",512.0,147.456,"[""2018 Kentucky Bank Tennis Championships – Men's Singles""
 ""2018 Kunming Open – Men's Doubles""
 ""2018 Stockton Challenger – Men's Singles""
 ""2019 Burnie International – Men's Doubles""
 ""2019 Launceston Tennis International – Men's Singles""]",3472.0,3472.0
17.723031552,MB,17723.031552,0.511967232,"1. **Title:** ""The Role of Computers""  
   **ID:** 12345  
   **Answer:** Walter Schreifels was a member of the group ""The McGraw-Hill Companies"" and was involved in the ""The McGraw-Hill Companies"" project.  

2. **Title:** ""The Role of Computers""  
   **ID:** 12345  
   **Answer:** Walter Schreifels was a member of the group",0.9711128860489883,qampari_128k,test,120192.0,256,Final Answer: ,511.967232,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: What groups was Walter Schreifels a member of?
",512.0,147.456,"['Dead Heavens' 'Gorilla Biscuits' 'Quicksand' 'Rival Schools'
 'Walking Concert']",3472.0,3472.0
