id,answers,prediction,tokens,latency_s,score
loft:nq_128k:0,"[""the following day""]","No document provides information about when Monday Night Raw comes on Hulu.

Final Answer: []",118706,1.71,0.0
loft:nq_128k:1,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135
Final Answer: ['Spain']",118708,1.6,1.0
loft:nq_128k:2,"[""September 13, 2012""]","TITLE: Glee (season 4) | ID: 252  
Final Answer: ['September 13, 2012']",118722,2.22,1.0
loft:nq_128k:3,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283  
Final Answer: ['Haliaeetus']",118709,1.8,1.0
loft:nq_128k:4,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica) | ID: 763
Final Answer: ['when she encounters numerous other Number Eight copies identical to herself but she refuses to accept she is a Cylon and personally sets the bomb']",118740,2.97,0.0
loft:nq_128k:5,"[""Nala""]","The provided documents do not contain any information about the female lion's name in The Lion King.

Final Answer: []",118712,1.84,0.0
loft:nq_128k:6,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall | ID: 270  
Final Answer: ['Christopher Lloyd']",118711,1.85,1.0
loft:nq_128k:7,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree | ID: 808  
Final Answer: ['Queen Victoria']",118710,1.76,0.0
loft:nq_128k:8,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film) | ID: 490  
Final Answer: ['Glenn Close']",118728,2.34,1.0
loft:nq_128k:9,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
Final Answer: ['the Ramones']",118712,1.99,1.0
loft:nq_128k:10,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: American football | ID: 46
Final Answer: ['7']",118708,1.65,0.0
loft:nq_128k:11,"[""September 1972""]","TITLE: The Waltons | ID: 79
Final Answer: ['December 19, 1971']",118717,2.08,0.0
loft:nq_128k:12,"[""Hook""]","TITLE: Once Upon a Time (TV series) | ID: 863  
Final Answer: ['Emma is dating a man named David in the series']",118723,2.33,0.0
loft:nq_128k:13,"[""2011""]","The provided documents do not contain information about the last time the New York Giants won the Super Bowl. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118727,2.51,0.0
loft:nq_128k:14,"[""the summit of Cadillac Mountain""]","The provided documents do not contain any information about where the sun hits the United States first. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118724,2.56,0.0
loft:nq_128k:15,"[""Indian government""]","TITLE: Ministry of Corporate Affairs | ID: 354  
Final Answer: ['Ministry of Corporate Affairs (MCA)']",118718,2.11,0.0
loft:nq_128k:16,"[""the primal rib""]","TITLE: Standing rib roast | ID: 408
Final Answer: ['from the primal rib section of a cow']",118715,1.98,1.0
loft:nq_128k:17,"[""Ledger""]","The provided documents do not contain information about who plays the Joker in *The Dark Knight*.

Final Answer: []",118713,1.9,0.0
loft:nq_128k:18,"[""Gravity"", ""Gravity, or gravitation""]",Final Answer: ['gravity'],118694,1.14,1.0
loft:nq_128k:19,"[""The Lykan Hypersport""]","No document provides information about a red car in Abu Dhabi related to Fast & Furious 7.

Final Answer: []",118714,1.93,0.0
loft:nq_128k:20,"[""Jack Lord"", ""John Joseph Patrick Ryan""]","TITLE: Jack Lord | ID: 125
Final Answer: ['Jack Lord']",118713,1.78,1.0
loft:nq_128k:21,"[""non-ferrous""]","TITLE: Non-ferrous metal | ID: 39
Final Answer: ['non-ferrous']",118713,1.93,1.0
loft:nq_128k:22,"[""Sauron""]","TITLE: Sauron | ID: 519  
Final Answer: ['Sauron']",118710,1.82,1.0
loft:nq_128k:23,"[""Akbar the Great"", ""Babur""]","TITLE: Mughal Empire | ID: 875  
Final Answer: ['Babur']",118715,2.24,1.0
loft:nq_128k:24,"[""24 November 1949""]","The provided documents do not contain information about when Hyderabad became a part of India. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118723,2.3,0.0
loft:nq_128k:25,"[""Nepal""]","TITLE: Vikram Samvat | ID: 760  
Final Answer: ['Nepal']",118714,1.96,1.0
loft:nq_128k:26,"[""Rocky""]","The provided documents do not contain information about who won the Oscar for Best Picture in 1976. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118734,2.76,0.0
loft:nq_128k:27,"[""cell nucleus"", ""in the cell nucleus""]","TITLE: Protein biosynthesis | ID: 391  
Final Answer: ['in the cell nucleus']",118711,1.82,1.0
loft:nq_128k:28,"[""Richard Parker""]","TITLE: Life of Pi | ID: 206  
Final Answer: ['Richard Parker']",118710,1.66,1.0
loft:nq_128k:29,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]","The provided documents do not contain any information about who played Lionel in ""As Time Goes By."" Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118726,2.44,0.0
loft:nq_128k:30,"[""9 to 25 February 2018""]","No document mentions Mexico participating in the Winter Olympics or any specific date for such participation.

Final Answer: []",118711,1.8,0.0
loft:nq_128k:31,"[""CeCe Drake""]","The query ""who is the head a in pretty little liars"" refers to the character ""A"" in the TV show *Pretty Little Liars*. Based on the provided documents, there is no direct information about the identity of ""A"" in *Pretty Little Liars*. The documents listed do not contain any content related to the show *Pretty Little Liars* or its characters.

Final Answer: []",118772,4.45,0.0
loft:nq_128k:32,"[""Grisha""]","The provided documents do not contain any information about what ""G"" stands for in NCIS: Los Angeles. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118731,2.59,0.0
loft:nq_128k:33,"[""Serous Membrane"", ""the visceral membrane""]","The provided documents do not contain any information about the name of the membrane on the surface of the stomach. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118730,2.53,0.0
loft:nq_128k:34,"[""June 22, 1942""]","TITLE: The Star-Spangled Banner | ID: 855  
Final Answer: ['1932']",118716,1.9,0.0
loft:nq_128k:35,"[""Phosphorus pentoxide""]","None of the provided documents mention a compound named ""P4010"" or any related information.

Final Answer: []",118717,2.08,0.0
loft:nq_128k:36,"[""rubidium-85""]","TITLE: Krypton-85 | ID: 755
Final Answer: ['rubidium-85']",118726,1.99,1.0
loft:nq_128k:37,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]","The provided documents do not contain any information about the episode in which Jason Gideon dies in *Criminal Minds*. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118730,2.7,0.0
loft:nq_128k:38,"[""Malayalam""]","TITLE: G. Sankara Kurup | ID: 273  
Final Answer: ['Malayalam']",118717,1.9,1.0
loft:nq_128k:39,"[""David Ben-Gurion""]","TITLE: Israeli Declaration of Independence | ID: 880  
Final Answer: ['David Ben-Gurion']",118718,1.85,1.0
loft:nq_128k:40,"[""Manchuria""]","TITLE: Qing dynasty | ID: 609  
Final Answer: ['Manchuria']",118710,1.68,1.0
loft:nq_128k:41,"[""February 27, 2015"", ""February 27, 2015""]","No document provides information about the release date of ""Where Are You Now.""

Final Answer: []",118707,1.64,0.0
loft:nq_128k:42,"[""produced by Quincy Jones""]","TITLE: We Are the World | ID: 130  
Final Answer: ['Michael Jackson and Lionel Richie']",118712,1.84,0.0
loft:nq_128k:43,"[""Ludacris""]","The provided documents do not contain information about who sings the rap in ""Baby"" by Justin Bieber. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118729,2.5,0.0
loft:nq_128k:44,"[""Jakkur, Bangalore, India""]","TITLE: Jawaharlal Nehru Centre for Advanced Scientific Research | ID: 809  
Final Answer: ['Jakkur, Bangalore, India']",118727,2.23,1.0
loft:nq_128k:45,"[""condense the steam""]","TITLE: Cooling tower | ID: 429
Final Answer: To condense steam and transfer heat to the surrounding environment, allowing the steam to be cooled and condensed back into liquid form.",118729,2.57,1.0
loft:nq_128k:46,"[""metaphase""]","TITLE: Chromosome | ID: 293  
Final Answer: ['during metaphase of cell division']",118717,1.84,1.0
loft:nq_128k:47,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]","The provided documents do not contain any information about Hawaii's primary export to the United States. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118727,2.39,0.0
loft:nq_128k:48,"[""imperial rule""]","TITLE: Mughal Empire | ID: 875
Final Answer: ['The Ming dynasty had a centralized imperial government with a strong emperor at the head, supported by a bureaucratic system and a civil service examination system to select officials. It was a feudal monarchy with a strong emphasis on Confucian values and centralized authority.']",118757,3.76,0.0
loft:nq_128k:49,"["".java""]","The provided documents do not contain any information about the filename extension used for all Java source files.

Final Answer: []",118714,1.92,0.0
loft:nq_128k:50,"[""2003""]","The provided documents do not contain any information about the last time the University of North Carolina (UNC) did not make the NCAA tournament. Therefore, based on the given documents, the query cannot be answered.

Final Answer: []",118738,2.74,0.0
loft:nq_128k:51,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]","Final Answer: ['Corey', 'Coire', 'Corie', 'Corrie', 'Curry', 'Correy', 'Kory', 'Khouri', 'Kori']",118728,2.54,1.0
loft:nq_128k:52,"[""2%""]","TITLE: Human hair color | ID: 608  
Final Answer: ['2%']",118708,1.86,1.0
loft:nq_128k:53,"[""Amanda Leighton""]","TITLE: Trolls: The Beat Goes On! | ID: 318  
Final Answer: ['Amanda Leighton']",118716,2.35,1.0
loft:nq_128k:54,"[""Castleford""]","TITLE: Castleford | ID: 841
Final Answer: ['Castleford']",118715,1.7,1.0
