id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2018 Kentucky Bank Tennis Championships – Men's Singles | ID: 124  

[""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]  
Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2018 Kentucky Bank Tennis Championships – Men's Singles""]",4193,28.08,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Rival Schools | ID: 25  
TITLE: Gorilla Biscuits | ID: 91  
TITLE: Dead Heavens | ID: 734  
TITLE: Quicksand (American band) | ID: 752  
TITLE: Quicksand | ID: 752  

[""Rival Schools"", ""Gorilla Biscuits"", ""Youth of Today"", ""Dead Heavens""]  

Final Answer: [""Rival Schools"", ""Gorilla Biscuits"", ""Youth of Today"", ""Dead Heavens""]",4787,47.15,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: Arabsat-1A | ID: 446  
TITLE: Arabsat-1B | ID: 710  
TITLE: INSAT-2DT | ID: 747  

Final Answer: [""Arabsat-1A"", ""Arabsat-1B"", ""INSAT-2DT""]",4635,37.52,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","TITLE: Wiktionary | ID: 56  
TITLE: Veropedia | ID: 398  
TITLE: Uncyclopedia | ID: 401  

[""Wiktionary"", ""Veropedia"", ""Uncyclopedia""]  
Final Answer: [""Wiktionary"", ""Veropedia"", ""Uncyclopedia""]",4515,44.67,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Chris McCormack (triathlete) | ID: 281  
TITLE: Pete Jacobs (triathlete) | ID: 592  

[""Chris McCormack"", ""Pete Jacobs""]  

Final Answer: [""Chris McCormack"", ""Pete Jacobs""]",4560,40.47,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
List of existing reagent compounds:  
- Collins reagent  
- Jones reagent  
- Pyridinium chlorochromate (PCC)  
- Pyridinium dichromate (PDC)

Final Answer: [""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]",4243,32.48,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","TITLE: Byeongsan Seowon | ID: 219

Final Answer: [""Byeongsan Seowon""]",4113,30.07,True,structured_complete
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2018 Knoxville Challenger – Singles | ID: 84  
TITLE: 2015 Wimbledon Championships – Boys' Singles | ID: 318  
TITLE: 2018 JSM Challenger of Champaign–Urbana – Singles | ID: 531  
TITLE: 2016 Charlottesville Men's Pro Challenger – Singles | ID: 559  

[""Reilly Opelka emerged victorious in the 2018 Knoxville Challenger – Singles competition."", ""Reilly Opelka emerged victorious in the 2015 Wimbledon Championships – Boys' Singles."", ""Reilly Opelka emerged victorious in the 2018 JSM Challenger of Champaign–Urbana – Singles competition."", ""Reilly Opelka emerged victorious in the 2016 Charlottesville Men's Pro Challenger – Singles competition.""]

Final Answer: [""Reilly Opelka emerged victorious in the 2018 Knoxville Challenger – Singles competition."", ""Reilly Opelka emerged victorious in the 2015 Wimbledon Championships – Boys' Singles."", ""Reilly Opelka emerged victorious in the 2018 JSM Challenger of Champaign–Urbana – Singles competition."", ""Reilly Opelka emerged victorious in the 2016 Charlottesville Men's Pro Challenger – Singles competition.""]",4918,75.51,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: Knowshon Moreno | ID: 316  
TITLE: Christian Peter | ID: 430  
TITLE: Early life and education | ID: 438  
TITLE: Jeff Kunkel | ID: 537  

[""Knowshon Moreno graduated from Middletown High School South."", ""Christian Peter graduated from Middletown High School South."", ""Melanie Lyn Slate graduated from Middletown High School South."", ""Jeff Kunkel graduated from Middletown High School South.""]

Final Answer: [""Knowshon Moreno graduated from Middletown High School South."", ""Christian Peter graduated from Middletown High School South."", ""Melanie Lyn Slate graduated from Middletown High School South."", ""Jeff Kunkel graduated from Middletown High School South.""]",4815,64.77,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2015 Città di Caltanissetta – Singles | ID: 52  
TITLE: 2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles | ID: 291  
TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  
TITLE: 2016 Open Città della Disfida – Singles | ID: 669  

[""2015 Città di Caltanissetta – Singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2017 Internationaux de Tennis de Vendée – Singles"", ""2016 Open Città della Disfida – Singles""]  
Final Answer: [""2015 Città di Caltanissetta – Singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – Singles"", ""2017 Internationaux de Tennis de Vendée – Singles"", ""2016 Open Città della Disfida – Singles""]",4664,62.56,True,structured_complete
