uncompressed_kv_memory_gb,answer_prefix,answer,memory_budget,compression_ratio,max_new_tokens,kv_memory_per_token_kb,retained_context_tokens,context_tokens,token_budget,context_length,retained_kv_memory_mb,memory_budget_unit,retained_kv_memory_gb,question,predicted_answer,task,uncompressed_kv_memory_mb
2.728722432,The special magic number for fanatical-genocide mentioned in the provided text is,['8906355'],0.4,0.8534236376299925,128,65.536,6103.0,41637.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for fanatical-genocide mentioned in the provided text? , **8906355**.,niah_multikey_2,2728.722432
2.731671552,The special magic number for alcoholic-alloy mentioned in the provided text is,['7926237'],0.4,0.8535818818674727,128,65.536,6103.0,41682.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for alcoholic-alloy mentioned in the provided text? , **7926237**.,niah_multikey_2,2731.671552
2.729377792,The special magic number for trashy-spine mentioned in the provided text is,['3865550'],0.4,0.8534588325689726,128,65.536,6103.0,41647.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for trashy-spine mentioned in the provided text? , **3865550**.,niah_multikey_2,2729.377792
2.731081728,The special magic number for agreeable-memory mentioned in the provided text is,['8956675'],0.4,0.8535502603604253,128,65.536,6103.0,41673.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for agreeable-memory mentioned in the provided text? , **8956675**.,niah_multikey_2,2731.081728
2.730033152,The special magic number for detailed-fork mentioned in the provided text is,['5194772'],0.4,0.8534940106104616,128,65.536,6103.0,41657.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for detailed-fork mentioned in the provided text? , **5194772**.,niah_multikey_2,2730.033152
2.727673856,The special magic number for futuristic-registry mentioned in the provided text is,['9875666'],0.4,0.8533672905504432,128,65.536,6103.0,41621.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for futuristic-registry mentioned in the provided text? , **9875666**.,niah_multikey_2,2727.673856
2.725707776,The special magic number for slippery-laparoscope mentioned in the provided text is,['3215142'],0.4,0.853261522925633,128,65.536,6103.0,41591.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for slippery-laparoscope mentioned in the provided text? , **3215142**.,niah_multikey_2,2725.707776
2.72891904,The special magic number for ethereal-spasm mentioned in the provided text is,['9664574'],0.4,0.8534341978866474,128,65.536,6103.0,41640.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for ethereal-spasm mentioned in the provided text? , **9664574**.,niah_multikey_2,2728.91904
2.729181184,The special magic number for flippant-editing mentioned in the provided text is,['5533485'],0.4,0.853448275862069,128,65.536,6103.0,41644.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for flippant-editing mentioned in the provided text? , **5533485**.,niah_multikey_2,2729.181184
2.730098688,The special magic number for small-runway mentioned in the provided text is,['3754389'],0.4,0.8534975274857171,128,65.536,6103.0,41658.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for small-runway mentioned in the provided text? , **3754389**.,niah_multikey_2,2730.098688
2.7295744,The special magic number for fretful-deposition mentioned in the provided text is,['3536076'],0.4,0.8534693877551021,128,65.536,6103.0,41650.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for fretful-deposition mentioned in the provided text? , **3536076**.,niah_multikey_2,2729.5744
2.726363136,The special magic number for lazy-terrorism mentioned in the provided text is,['8276492'],0.4,0.8532967957501022,128,65.536,6103.0,41601.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for lazy-terrorism mentioned in the provided text? , **8276492**.,niah_multikey_2,2726.363136
2.728460288,The special magic number for agonizing-budget mentioned in the provided text is,['4548730'],0.4,0.8534095549203756,128,65.536,6103.0,41633.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for agonizing-budget mentioned in the provided text? , **3176571**.,niah_multikey_2,2728.460288
2.725052416,The special magic number for adamant-notice mentioned in the provided text is,['6745701'],0.4,0.8532262331353262,128,65.536,6103.0,41581.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for adamant-notice mentioned in the provided text? , **6745701**.,niah_multikey_2,2725.052416
2.728525824,The special magic number for wide-eyed-citizen mentioned in the provided text is,['2794159'],0.4,0.8534130758514675,128,65.536,6103.0,41634.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for wide-eyed-citizen mentioned in the provided text? , **2794159**.,niah_multikey_2,2728.525824
2.722168832,The special magic number for unable-ginseng mentioned in the provided text is,['9225134'],0.4,0.8530707561932734,128,65.536,6103.0,41537.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for unable-ginseng mentioned in the provided text? , **9225134**.,niah_multikey_2,2722.168832
2.732785664,The special magic number for malicious-tributary mentioned in the provided text is,['4492802'],0.4,0.8536415741384685,128,65.536,6103.0,41699.0,6103.0,32768,399.966208,GB,0.399966208,What is the special magic number for malicious-tributary mentioned in the provided text? , **4492802**.,niah_multikey_2,2732.785664
