id,answers,prediction,tokens,latency_s,score
loft:nq_128k:0,"[""the following day""]", [],118665,,0.0
loft:nq_128k:1,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]", ['Puerto Rico'],118670,,0.0
loft:nq_128k:2,"[""September 13, 2012""]", ['Glee (season 4)'],118674,,0.0
loft:nq_128k:3,"[""Haliaeetus""]", ['Bald eagle'],118668,,0.0
loft:nq_128k:4,"[""Kobol's Last Gleaming""]", ['Number Eight (Battlestar Galactica)'],118676,,0.0
loft:nq_128k:5,"[""Nala""]", [],118665,,0.0
loft:nq_128k:6,"[""Christopher Lloyd""]", ['Over the Garden Wall'],118671,,0.0
loft:nq_128k:7,"[""Charlotte of Mecklenburg-Strelitz""]", ['Christmas tree'],118670,,0.0
loft:nq_128k:8,"[""Glenn Close""]", ['101 Dalmatians (1996 film)'],118686,,0.0
loft:nq_128k:9,"[""the Ramones""]", ['I Wanna Be Sedated'],118671,,0.0
loft:nq_128k:10,"[""at least seven"", ""at least seven players"", ""seven""]",7,118667,,0.0
loft:nq_128k:11,"[""September 1972""]", ['The Waltons'],118670,,0.0
loft:nq_128k:12,"[""Hook""]", ['Emma Swan'],118669,,0.0
loft:nq_128k:13,"[""2011""]", ['New York Giants'],118669,,0.0
loft:nq_128k:14,"[""the summit of Cadillac Mountain""]", [],118664,,0.0
loft:nq_128k:15,"[""Indian government""]", ['Ministry of Corporate Affairs (MCA)'],118676,,0.0
loft:nq_128k:16,"[""the primal rib""]", ['Standing rib roast'],118669,,0.0
loft:nq_128k:17,"[""Ledger""]", ['Heath Ledger'],118670,,1.0
loft:nq_128k:18,"[""Gravity"", ""Gravity, or gravitation""]", ['Gravity'],118666,,1.0
loft:nq_128k:19,"[""The Lykan Hypersport""]", [],118667,,0.0
loft:nq_128k:20,"[""Jack Lord"", ""John Joseph Patrick Ryan""]", ['Jack Lord'],118673,,1.0
loft:nq_128k:21,"[""non-ferrous""]", ['non-ferrous metals'],118672,,1.0
loft:nq_128k:22,"[""Sauron""]", ['Sauron'],118669,,1.0
loft:nq_128k:23,"[""Akbar the Great"", ""Babur""]", ['Mughal Empire'],118674,,0.0
loft:nq_128k:24,"[""24 November 1949""]", ['Hyderabad State (1948–56)'],118678,,0.0
loft:nq_128k:25,"[""Nepal""]", ['Vikram Samvat'],118674,,0.0
loft:nq_128k:26,"[""Rocky""]", [],118670,,0.0
loft:nq_128k:27,"[""cell nucleus"", ""in the cell nucleus""]", ['Protein biosynthesis'],118670,,0.0
loft:nq_128k:28,"[""Richard Parker""]", ['Life of Pi'],118670,,0.0
loft:nq_128k:29,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]", ['The Gambia'],118669,,0.0
loft:nq_128k:30,"[""9 to 25 February 2018""]", [],118666,,0.0
loft:nq_128k:31,"[""CeCe Drake""]", ['A (Pretty Little Liars)'],118674,,0.0
loft:nq_128k:32,"[""Grisha""]", [],118667,,0.0
loft:nq_128k:33,"[""Serous Membrane"", ""the visceral membrane""]", [],118667,,0.0
loft:nq_128k:34,"[""June 22, 1942""]", ['The Star-Spangled Banner'],118674,,0.0
loft:nq_128k:35,"[""Phosphorus pentoxide""]", [],118668,,0.0
loft:nq_128k:36,"[""rubidium-85""]", ['Rb-85'],118682,,0.0
loft:nq_128k:37,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]", [],118665,,0.0
loft:nq_128k:38,"[""Malayalam""]", ['G. Sankara Kurup'],118676,,0.0
loft:nq_128k:39,"[""David Ben-Gurion""]", ['Israeli Declaration of Independence'],118675,,0.0
loft:nq_128k:40,"[""Manchuria""]", ['Qing dynasty'],118670,,0.0
loft:nq_128k:41,"[""February 27, 2015"", ""February 27, 2015""]", [],118664,,0.0
loft:nq_128k:42,"[""produced by Quincy Jones""]", ['We Are the World (song)'],118672,,0.0
loft:nq_128k:43,"[""Ludacris""]", [],118667,,0.0
loft:nq_128k:44,"[""Jakkur, Bangalore, India""]", ['Jawaharlal Nehru Centre for Advanced Scientific Research'],118682,,0.0
loft:nq_128k:45,"[""condense the steam""]", ['Cooling towers originated in the 19th century through the development of condensers for use with the steam engine.'],118690,,0.0
loft:nq_128k:46,"[""metaphase""]", ['Chromosome'],118673,,0.0
loft:nq_128k:47,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]", [],118667,,0.0
loft:nq_128k:48,"[""imperial rule""]", ['The economy of the Ming dynasty'],118672,,0.0
loft:nq_128k:49,"["".java""]", ['Java (programming language)'],118673,,1.0
loft:nq_128k:50,"[""2003""]", [],118669,,0.0
loft:nq_128k:51,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]", ['Corey'],118668,,1.0
loft:nq_128k:52,"[""2%""]",2%,118665,,1.0
loft:nq_128k:53,"[""Amanda Leighton""]", ['Trolls: The Beat Goes On!'],118674,,0.0
loft:nq_128k:54,"[""Castleford""]", ['Castleford'],118675,,1.0
