id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]","TITLE: WWE Raw | ID: 583  
List:  
- Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.  

Final Answer: Monday Night Raw episodes are available on Hulu the following day in a condensed 90-minute version.",10766,6.47,True,structured_complete
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]","TITLE: Puerto Rico | ID: 135  
TITLE: Dominican Republic | ID: 343  

Final Answer: Spain",10464,9.62,True,structured_complete
loft:nq_128k:2,,"[""September 13, 2012""]",,10224,2.55,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]","TITLE: Bald eagle | ID: 283  
[""Haliaeetus""]

Final Answer: Haliaeetus",10638,3.29,True,structured_complete
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]","TITLE: Number Eight (Battlestar Galactica) | ID: 763  
Final Answer: The exact moment when Boomer finds out she is a Cylon is not specified in the notes. The text states she encounters other Number Eight copies and refuses to accept she is a Cylon, but does not indicate when she discovers the truth.",10344,6.54,True,structured_complete
loft:nq_128k:5,,"[""Nala""]",,9856,1.75,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]","TITLE: Over the Garden Wall  
ID: 270  
Final Answer: Christopher Lloyd",10559,2.65,True,structured_complete
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]","TITLE: Christmas tree  
ID: 808  

Final Answer: Charlotte of Mecklenburg-Strelitz",10994,5.71,True,structured_complete
loft:nq_128k:8,,"[""Glenn Close""]","TITLE: 101 Dalmatians (1996 film)  
ID: 490  
Final Answer: Glenn Close",10413,7.82,True,structured_complete
loft:nq_128k:9,,"[""the Ramones""]","TITLE: I Wanna Be Sedated | ID: 635  
Final Answer: the Ramones",10740,6.15,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]","TITLE: Eligible receiver  
ID: 64  

Final Answer: at least seven",10052,2.88,True,structured_complete
loft:nq_128k:11,,"[""September 1972""]","TITLE: The Waltons | ID: 79  
Final Answer: September 1972",10675,4.28,True,structured_complete
loft:nq_128k:12,,"[""Hook""]","TITLE: Emma Swan | ID: 731  
Answer: Emma is dating Hook in Once Upon a Time.  
Final Answer: Hook",10563,3.79,True,structured_complete
loft:nq_128k:13,,"[""2011""]","TITLE: New York Giants | ID: 511  
Final Answer: 2011",10676,3.66,True,structured_complete
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,10345,2.34,True,abstained
loft:nq_128k:15,,"[""Indian government""]",,10051,2.0,True,abstained
loft:nq_128k:16,,"[""the primal rib""]","TITLE: Standing rib roast  
ID: 408  

Final Answer: prime rib comes from the primal rib section of a cow, specifically ribs six through 12",10305,5.2,True,structured_complete
loft:nq_128k:17,,"[""Ledger""]","TITLE: Heath Ledger | ID: 48  
Final Answer: Heath Ledger",10727,4.81,True,structured_complete
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]","TITLE: Gravity | ID: 132  
The common name for gravitational force is gravity.

Final Answer: gravity",10653,6.53,True,structured_complete
loft:nq_128k:19,,"[""The Lykan Hypersport""]","TITLE: Lykan HyperSport | ID: 158

Final Answer: Lykan HyperSport | 158",10637,6.39,True,structured_complete
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]","TITLE: Jack Lord | ID: 125  
Final Answer: Jack Lord",10329,4.79,True,structured_complete
loft:nq_128k:21,,"[""non-ferrous""]","TITLE: Non-ferrous metal | ID: 39  
Answer: Aluminium is a non-ferrous metal.

Final Answer: non-ferrous",10266,4.66,True,structured_complete
loft:nq_128k:22,,"[""Sauron""]","TITLE: Sauron | ID: 519  
Final Answer: Sauron",10675,7.86,True,structured_complete
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,10150,2.41,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]","TITLE: Hyderabad State (1948–56) | ID: 26  
Final Answer: 24 November 1949",10666,4.56,True,structured_complete
loft:nq_128k:25,,"[""Nepal""]","TITLE: Vikram Samvat  
ID: 760  

Final Answer: Nepal",10626,6.31,True,structured_complete
loft:nq_128k:26,,"[""Rocky""]","TITLE: 49th Academy Awards | ID: 99  
Final Answer: Rocky",10123,4.7,True,structured_complete
