id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]",,4892,1.58,True,abstained
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]",,4862,1.22,True,abstained
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: INSAT-2DT | ID: 747  
The Arab Satellite Communications Organization (Arabsat) owned and operated the INSAT-2DT satellite.

Final Answer: [""INSAT-2DT""]",5300,4.08,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","TITLE: Veropedia | ID: 398  
TITLE: Uncyclopedia | ID: 401  

[""Veropedia"", ""Uncyclopedia""]  
Final Answer: [""Veropedia"", ""Uncyclopedia""]",5377,4.24,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Pete Jacobs (triathlete) | ID: 592  
List:  
- Pete Jacobs was a notable triathlete. He is an Australian professional triathlete who won the 2012 Ironman World Championship and competed primarily in long-distance, non-drafting triathlon events. He started competing in triathlon at the age of 18 and was raised in the Northern Beaches area of Sydney, Australia.

Final Answer: [""Pete Jacobs""]",5601,6.79,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]",,4816,0.79,True,abstained
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]",,4858,1.24,True,abstained
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2018 BNP Paribas Primrose Bordeaux – Singles | ID: 717  
[""2018 BNP Paribas Primrose Bordeaux – Singles""]  

Final Answer: [""2018 BNP Paribas Primrose Bordeaux – Singles""]",5585,3.42,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","TITLE: Jeff Kunkel | ID: 537  
[""Jeff Kunkel""]  

Final Answer: [""Jeff Kunkel""]",5290,3.0,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  
[""2017 Internationaux de Tennis de Vendée – Singles""]  

Final Answer: [""2017 Internationaux de Tennis de Vendée – Singles""]",4110,2.66,True,structured_complete
loft:qampari_128k:10,,"[""Antonio London"", ""Bryan Morris"", ""Dewon Brazelton"", ""Dustin Lynch"", ""Jordan Sheffield""]",,4850,1.05,True,abstained
loft:qampari_128k:11,,"[""Conditional release"", ""Ghost"", ""The Bright Day"", ""The Sale"", ""The Traces of Light""]","TITLE: Conditional Release (film) | ID: 615  
[""Conditional Release""]  

Final Answer: [""Conditional Release""]",4130,2.56,True,structured_complete
loft:qampari_128k:12,,"[""Ego Ferguson"", ""Jerry Janes"", ""Ron Rivera"", ""Roquan Smith"", ""Will Sutton""]","TITLE: Ron Rivera | ID: 413  
[""Ron Rivera""]  

Final Answer: [""Ron Rivera""]",5420,5.15,True,structured_complete
