id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:musique_128k:0,,"[""Al - Aqsa Mosque""]",,7027,5.52,True,abstained
loft:musique_128k:1,,"[""Oriole Records.""]","TITLE: ailer Records label | ID: 12

Final Answer: ailer Records label",7305,6.97,True,structured_complete
loft:musique_128k:2,,"[""Sales began worldwide in April 2012""]",,6937,2.85,True,abstained
loft:musique_128k:3,,"[""1952""]",,6965,2.45,True,abstained
loft:musique_128k:4,,"[""Oriole Records.""]",,6995,2.92,True,abstained
loft:musique_128k:5,,"[""1941""]",,6867,4.21,True,abstained
loft:musique_128k:6,,"[""island Koh Phi Phi""]",,6897,3.44,True,abstained
loft:musique_128k:7,,"[""Francisco Guterres""]",,6987,2.65,True,abstained
loft:musique_128k:8,,"[""the country of India""]",,7007,2.72,True,abstained
loft:musique_128k:9,,"[""1,400 years""]","TITLE: Zhejiang | ID: 14  
Final Answer: NOTHING RELEVANT",7446,8.18,True,structured_complete
loft:musique_128k:10,,"[""Rialto Bridge""]",,6887,2.52,True,abstained
loft:musique_128k:11,,"[""16th - century""]",,6897,3.12,True,abstained
loft:musique_128k:12,,"[""Francisco Guterres""]",,6987,2.84,True,abstained
loft:musique_128k:13,,"[""Rialto Bridge""]",,6957,2.65,True,abstained
loft:musique_128k:14,,"[""Toronto Coach Terminal""]",,6937,2.77,True,abstained
loft:musique_128k:15,,"[""Walter Sabo""]",,6977,2.74,True,abstained
loft:musique_128k:16,,"[""built on 16-bit architectures and offered improved graphics and sound""]",,6847,3.03,True,abstained
loft:musique_128k:17,,"[""built in the 15th century""]",,6947,2.67,True,abstained
loft:musique_128k:18,,"[""June 1941""]",,7017,2.72,True,abstained
loft:musique_128k:19,,"[""New York Yankees""]",,6887,2.84,True,abstained
loft:musique_128k:20,,"[""1952""]",,6897,2.78,True,abstained
loft:musique_128k:21,,"[""Rialto Bridge""]",,6877,3.57,True,abstained
loft:musique_128k:22,,"[""1941""]",,6867,3.02,True,abstained
loft:musique_128k:23,,"[""1941""]",,6877,4.27,True,abstained
loft:musique_128k:24,,"[""five""]",,6927,3.27,True,abstained
loft:musique_128k:25,,"[""the country of India""]",,7027,2.94,True,abstained
loft:musique_128k:26,,"[""1905""]",,6877,3.11,True,abstained
loft:musique_128k:27,,"[""five""]",,6957,3.43,True,abstained
loft:musique_128k:28,,"[""Oriole Records.""]",,6997,3.21,True,abstained
loft:musique_128k:29,,"[""Casa Loma""]",,6987,3.12,True,abstained
loft:musique_128k:30,,"[""the country of India""]",,7007,3.35,True,abstained
loft:musique_128k:31,,"[""Sales began worldwide in April 2012""]",,6897,4.72,True,abstained
loft:musique_128k:32,,"[""Pete Rose""]",Final Answer:,7360,8.11,True,structured_complete
loft:musique_128k:33,,"[""Warner Music Group""]",,6884,3.77,True,abstained
loft:musique_128k:34,,"[""the Mississippi River Delta""]",,6897,3.08,True,abstained
loft:musique_128k:35,,"[""Abu Musa Ashaari""]",,6897,3.24,True,abstained
loft:musique_128k:36,,"[""Chris Harrison""]",,6937,3.05,True,abstained
loft:musique_128k:37,,"[""Min Zhou""]",,6857,3.89,True,abstained
loft:musique_128k:38,,"[""Sea, Air, and Land""]",,6957,2.63,True,abstained
loft:musique_128k:39,,"[""Toronto Coach Terminal""]",,6867,3.37,True,abstained
loft:musique_128k:40,,"[""Sea, Air, and Land""]",,6937,2.71,True,abstained
loft:musique_128k:41,,"[""1905""]",,6927,3.05,True,abstained
loft:musique_128k:42,,"[""for the conclave in Rome""]",,6837,2.86,True,abstained
loft:musique_128k:43,,"[""22""]",,6847,3.4,True,abstained
loft:musique_128k:44,,"[""1984""]",,6887,3.07,True,abstained
loft:musique_128k:45,,"[""2,548 sq mi""]",Final Answer: ['nothing'],7126,4.18,True,structured_complete
loft:musique_128k:46,,"[""Jiangsu Nangang Basketball Club""]",Final Answer: ['Nothing'],7181,3.4,True,structured_complete
loft:musique_128k:47,,"[""Jessie Woodrow Wilson""]",,6987,3.04,True,abstained
loft:musique_128k:48,,"[""The dynasty regrouped and defeated the Portuguese""]",,6917,2.73,True,abstained
loft:musique_128k:49,,"[""Medieval Latin""]",,6887,2.65,True,abstained
loft:musique_128k:50,,"[""Medieval Latin""]",,6957,3.79,True,abstained
loft:musique_128k:51,,"[""Medieval Latin""]",,6907,3.04,True,abstained
loft:musique_128k:52,,"[""1981""]",,6927,3.35,True,abstained
loft:musique_128k:53,,"[""1981""]",,6947,2.93,True,abstained
loft:musique_128k:54,,"[""Medieval Latin""]",,6977,3.02,True,abstained
