id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:hotpotqa_128k:2,,"[""in 2000""]",,39517,10.19,False,max_steps
loft:hotpotqa_128k:4,,"[""Parliamentarians (\""Roundheads\"") and Royalists (\""Cavaliers\"")""]",,15569,5.7,True,abstained
loft:hotpotqa_128k:7,,"[""Obsession""]",,36579,7.95,False,max_steps
loft:hotpotqa_128k:8,,"[""Eli Roth""]",,44975,44.32,False,max_steps
loft:hotpotqa_128k:11,,"[""1940""]",,7889,4.88,True,abstained
loft:hotpotqa_128k:12,,"[""The Galtür avalanche""]",1999 Galtür avalanche,22420,7.66,True,final_called
loft:hotpotqa_128k:15,,"[""England""]",French national football team,17492,10.0,True,final_called
loft:hotpotqa_128k:16,,"[""Morgan Llywelyn""]",Robert Jordan,9862,3.58,True,final_called
loft:hotpotqa_128k:20,,"[""Cambridge University""]",,37537,8.56,False,max_steps
loft:hotpotqa_128k:21,,"[""25 million copies""]",25,7524,2.69,True,final_called
loft:hotpotqa_128k:22,,"[""Ellie Kemper""]",,37664,8.75,False,max_steps
loft:hotpotqa_128k:23,,"[""The R-8 Human Rhythm Composer""]",Roland R-8,7532,2.8,True,final_called
loft:hotpotqa_128k:24,,"[""The Vanishing""]",,41596,35.12,False,max_steps
loft:hotpotqa_128k:25,,"[""Michael Bruce Fiers""]",,5660,5.23,True,abstained
loft:hotpotqa_128k:27,,"[""Justin Spitzer""]",Superstore,7530,2.87,True,final_called
loft:hotpotqa_128k:28,,"[""no""]","Yes, both Götterdämmerung and Dafne are considered operas.",20333,8.38,True,final_called
loft:hotpotqa_128k:29,,"[""Rome""]",New York City,7665,2.4,True,final_called
loft:hotpotqa_128k:30,,"[""Koninklijke Ahold N.V.""]",,38173,9.98,False,max_steps
loft:hotpotqa_128k:33,,"[""world wushu tournament""]",Donnie Yen,7576,2.84,True,final_called
loft:hotpotqa_128k:34,,"[""Turkey""]",Istanbul,7609,2.19,True,final_called
loft:hotpotqa_128k:37,,"[""Afro-Russian""]",Beninese,7744,3.23,True,final_called
loft:hotpotqa_128k:39,,"[""8 November 1978""]",,5609,3.8,True,abstained
loft:hotpotqa_128k:41,,"[""genus""]",genera,7476,2.28,True,final_called
loft:hotpotqa_128k:44,,"[""Jamnagar""]",India,25829,6.83,True,final_called
loft:hotpotqa_128k:48,,"[""photographer""]",,38603,7.85,False,max_steps
loft:hotpotqa_128k:49,,"[""eight""]",8,36262,9.14,True,final_called
loft:hotpotqa_128k:51,,"[""no""]",Yes,25116,7.27,True,final_called
loft:hotpotqa_128k:52,,"[""yes""]",,29669,9.72,False,ungrounded_final
loft:hotpotqa_128k:53,,"[""North End Football Club""]",Football League,7805,2.49,True,final_called
