id,answers,prediction,tokens,latency_s,score
loft:qampari_128k:0,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]"," ['2018 Knoxville Challenger – Singles', '2019 Launceston Tennis International – Men's Singles', '2018 BNP Paribas Primrose Bordeaux – Singles', '2015 King Cup Final', '2018 Kunming Open – Men's Doubles']",120311,,0.4
loft:qampari_128k:1,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]"," ['Quicksand (American band)', 'Rival Schools (band)', 'Gorilla Biscuits']",120272,,0.2
loft:qampari_128k:2,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]"," ['Arabsat-1A', 'Arabsat-1B', 'Arabsat-4', 'Arabsat-5A']",120277,,0.6
loft:qampari_128k:3,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]", ['Wiktionary'],120249,,0.2
loft:qampari_128k:4,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]"," ['Helen Jenkins', 'Pete Jacobs', 'Silindile Ngubane', 'Michele Serros', 'Chalnessa Eames']",120277,,0.4
loft:qampari_128k:5,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]"," ['Estradiol benzoate/hydroxyprogesterone caproate', 'Estradiol dipropionate/hydroxyprogesterone caproate', 'Estradiol valerate/hydroxyprogesterone caproate', 'Estradiol benzoate/estradiol valerate/hydroxyprogesterone caproate', 'Estradiol cypionate/hydroxyprogesterone caproate']",120340,,0.0
loft:qampari_128k:6,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]"," ['Oksan Seowon', 'Seoak Seowon', 'Dosan Seowon', 'Byeongsan Seowon', 'Balaio Indigenous Territory', 'Quilombos de Barra do Turvo Sustainable Development Reserve', 'Morro dos Seis Lagos Biological Reserve']",120311,,0.8
loft:qampari_128k:7,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]"," ['2018 BNP Paribas Primrose Bordeaux – Singles', '2016 Open Città della Disfida – Singles', '2018 Kunming Open – Men's Doubles', '2018 Stockton Challenger – Men's Singles', '2017 Internationaux de Tennis de Vendée – Singles', '2015 Wimbledon Championships – Boys' Singles', '2018 Senior Open Championship', '2016 King Cup Final', '2015 King Cup Final', '2010 Senior Open Championship', '2017 Senior Open Championship', '2019 Senior Open Championship']",120391,,0.4
loft:qampari_128k:8,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]"," ['Dewon Brazelton', 'Jeffrey Kunkel', 'Drew Thomas', 'Matti Lives in Finland', 'Dewon Cortez Brazelton', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas', 'Drew Thomas",120504,,0.0
loft:qampari_128k:9,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]"," ['2010 MPS Group Championships – Doubles', '2015 Città di Caltanissetta – Singles', '2018 Knoxville Challenger – Men's Singles', '2018 BNP Paribas Primrose Bordeaux – Singles', '2016 Open Città della Disfida – Singles', '2014 Senior Open Championship', '2017 Internationaux de Tennis de Vendée – Singles', '2018 Stockton Challenger – Men's Singles', '2019 Senior Open Championship', '2018 Kunming Open – Men's Doubles']",120379,,0.6
loft:qampari_128k:10,"[""Antonio London"", ""Bryan Morris"", ""Dewon Brazelton"", ""Dustin Lynch"", ""Jordan Sheffield""]"," ['Dewon Brazelton', 'Jordan Sheffield', 'Devin Bush Jr.', 'Perry DeAngelis', 'Joey Cape', 'Matti Lives in Finland', 'Noy Lives in Thailand', 'Michele Serros', 'Kevin Thomson (cricketer)', 'Miguel Ángel Russo', 'Jameson Irish Whiskey', 'Baojun 510', 'Baojun 630', 'Baojun 730', 'Estradiol benzoate/hydroxyprogesterone caproate', 'Estradiol valerate/hydroxyprogesterone caproate', 'Estradiol cypionate/hydroxyprogesterone caproate', 'Estradiol benzoate/estradiol valerate/hydroxyprogesterone caproate', 'Estradiol dipropionate/hydroxyprogesterone caproate', 'Estradiol valerate/hydroxyprogesterone caproate', 'Estradiol benzoate/hydroxyprogesterone caproate', 'Estradiol valerate/hydroxyprogesterone caproate', 'Estradiol cyp",120502,,0.4
loft:qampari_128k:11,"[""Conditional release"", ""Ghost"", ""The Bright Day"", ""The Sale"", ""The Traces of Light""]"," ['The Sale', 'The Traces of Light', 'The Bright Day', 'Conditional Release', 'The Life Aquatic with Steve Zissou', 'A Girl Worth Fighting For', 'The Grandest Fleet', 'The Lone Gunmen', 'The Doctor (Doctor Who)', 'The Secret History of Vampires', 'The Producers', 'The Blackheath Bulletin', 'The Blue Mountains Advertiser', 'The Blue Mountains Times', 'The Mountaineer (Katoomba)', 'The Hound of Florence', 'The Five Chinese Brothers', 'The Story About Ping', 'Bambi, a Life in the Woods', 'The Life Aquatic with Steve Zissou', 'The Lone Gunmen', 'The Doctor (Doctor Who)', 'The Secret History of Vampires', 'The Producers', 'The Blackheath Bulletin', 'The Blue Mountains Advertiser', 'The Blue Mountains Times', 'The Mountaineer (Katoomba)', 'The Hound of Florence', 'The Five Chinese Brothers', 'The Story About Ping', 'Bambi, a Life in the Woods']",120477,,0.8
loft:qampari_128k:12,"[""Ego Ferguson"", ""Jerry Janes"", ""Ron Rivera"", ""Roquan Smith"", ""Will Sutton""]"," ['Ego Ferguson', 'Devin Bush Jr.', 'Drew Thomas']",120262,,0.2
