id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:qampari_128k:0,,"[""2018 Kentucky Bank Tennis Championships – Men's Singles"", ""2018 Kunming Open – Men's Doubles"", ""2018 Stockton Challenger – Men's Singles"", ""2019 Burnie International – Men's Doubles"", ""2019 Launceston Tennis International – Men's Singles""]","TITLE: 2019 Launceston Tennis International – Men's Singles | ID: 98  
TITLE: 2019 Burnie International – Men's Doubles | ID: 145  

[""2019 Launceston Tennis International – Men's Singles"", ""2019 Burnie International – Men's Doubles""]  
Final Answer: [""2019 Launceston Tennis International – Men's Singles"", ""2019 Burnie International – Men's Doubles""]",6776,7.46,True,structured_complete
loft:qampari_128k:1,,"[""Dead Heavens"", ""Gorilla Biscuits"", ""Quicksand"", ""Rival Schools"", ""Walking Concert""]","TITLE: Gorilla Biscuits | ID: 91  
TITLE: Dead Heavens | ID: 734  

List:  
- Walter Schreifels was a member of Gorilla Biscuits.  
- Walter Schreifels was a member of Dead Heavens.  
- Walter Schreifels is also known as a member of Gorilla Biscuits, Quicksand, and Rival Schools.  

Final Answer: [""Gorilla Biscuits"", ""Dead Heavens"", ""Quicksand"", ""Rival Schools""]",6782,7.19,True,structured_complete
loft:qampari_128k:2,,"[""Arabsat-1A"", ""Arabsat-1B"", ""Arabsat-5A"", ""Badr-4"", ""INSAT-2DT""]","TITLE: Arabsat-5A | ID: 355  
TITLE: Arabsat-1A | ID: 446  
TITLE: Arabsat-1B | ID: 710  

Final Answer: [""Arabsat-5A"", ""Arabsat-1A"", ""Arabsat-1B""]",6928,8.86,True,structured_complete
loft:qampari_128k:3,,"[""Diplopedia"", ""RationalWiki"", ""Uncyclopedia"", ""Veropedia"", ""Wiktionary""]","TITLE: Veropedia | ID: 398  
TITLE: Uncyclopedia | ID: 401  

[""Veropedia"", ""Uncyclopedia""]  

Final Answer:[""Veropedia"", ""Uncyclopedia""]",6693,5.63,True,structured_complete
loft:qampari_128k:4,,"[""Chris McCormack"", ""Chrissie Wellington"", ""Helen Jenkins"", ""Magali Messmer"", ""Pete Jacobs""]","TITLE: Pete Jacobs (triathlete) | ID: 592  
List:  
- Pete Jacobs was a notable triathlete. He won the 2012 Ironman World Championship and competed primarily in long-distance, non-drafting triathlon events. He started competing in triathlon at the age of 18.

Final Answer: [""Pete Jacobs""]",6767,6.39,True,structured_complete
loft:qampari_128k:5,,"[""Ammonia"", ""Collins reagent"", ""Dimethylformamide"", ""Ethanol"", ""Sodium azide""]","TITLE: Collins reagent | ID: 216  
List of existing reagent compounds:  
- Collins reagent  
- Jones reagent  
- Pyridinium chlorochromate (PCC)  
- Pyridinium dichromate (PDC)

Final Answer: [""Collins reagent"", ""Jones reagent"", ""Pyridinium chlorochromate (PCC)"", ""Pyridinium dichromate (PDC)""]",6413,6.21,True,structured_complete
loft:qampari_128k:6,,"[""Byeongsan Seowon"", ""Dosan Seowon"", ""Oksan Seowon"", ""Seoak Seowon"", ""Sosu Seowon""]","TITLE: Byeongsan Seowon | ID: 219

Final Answer: [""Byeongsan Seowon""]",7143,6.57,True,structured_complete
loft:qampari_128k:7,,"[""2015 Wimbledon Championships – Boys' Singles"", ""2016 Charlottesville Men's Pro Challenger – singles"", ""2018 BNP Paribas Primrose Bordeaux – singles"", ""2018 JSM Challenger of Champaign–Urbana – singles"", ""2018 Knoxville Challenger – singles""]","TITLE: 2018 Knoxville Challenger – Singles | ID: 84  
TITLE: 2018 JSM Challenger of Champaign–Urbana – Singles | ID: 531  
TITLE: Reilly Opelka won the title after defeating Ruben Bemelmans 6–2, 4–6, 7–6(7–5) in the final. | ID: 559  
TITLE: 2018 BNP Paribas Primrose Bordeaux – Singles | ID: 717  

[""2018 Knoxville Challenger – Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2018 BNP Paribas Primrose Bordeaux – Singles""]  

Final Answer: [""2018 Knoxville Challenger – Singles"", ""2018 JSM Challenger of Champaign–Urbana – Singles"", ""2018 BNP Paribas Primrose Bordeaux – Singles""]",7367,13.66,True,structured_complete
loft:qampari_128k:8,,"[""Christian Peter"", ""Howard Barbieri"", ""Jeff Kunkel"", ""Knowshon Moreno"", ""Melanie McGuire""]","[""Christian Peter"", ""Melanie Lyn Slate"", ""Jeff Kunkel""]  
Final Answer: [""Christian Peter"", ""Melanie Lyn Slate"", ""Jeff Kunkel""]",6945,7.2,True,structured_complete
loft:qampari_128k:9,,"[""2015 Città di Caltanissetta – singles"", ""2016 Open Città della Disfida – singles"", ""2016 Stockholm Open – doubles"", ""2017 Internationaux de Tennis de Vendée – singles"", ""2017 Internazionali di Tennis del Friuli Venezia Giulia – singles""]","TITLE: 2016 Stockholm Open – Doubles | ID: 448  
TITLE: 2017 Internationaux de Tennis de Vendée – Singles | ID: 614  

[""2016 Stockholm Open – Doubles"", ""2017 Internationaux de Tennis de Vendée – Singles""]  
Final Answer: [""2016 Stockholm Open – Doubles"", ""2017 Internationaux de Tennis de Vendée – Singles""]",6757,7.1,True,structured_complete
loft:qampari_128k:10,,"[""Antonio London"", ""Bryan Morris"", ""Dewon Brazelton"", ""Dustin Lynch"", ""Jordan Sheffield""]","TITLE: Antonio London | ID: 643  
List:  
- Antonio London is a Tullahoma High School alumnus.

Final Answer: [""Antonio London is a Tullahoma High School alumnus.""]",6518,4.72,True,structured_complete
loft:qampari_128k:11,,"[""Conditional release"", ""Ghost"", ""The Bright Day"", ""The Sale"", ""The Traces of Light""]","TITLE: The Sale (film) | ID: 117  
TITLE: Conditional Release (film) | ID: 615  

[""The Sale"", ""Conditional Release""]  

Final Answer: [""The Sale"", ""Conditional Release""]",7370,8.89,True,structured_complete
loft:qampari_128k:12,,"[""Ego Ferguson"", ""Jerry Janes"", ""Ron Rivera"", ""Roquan Smith"", ""Will Sutton""]","TITLE: Jerry Janes | ID: 13  
TITLE: Ron Rivera | ID: 413  

Final Answer: [""Jerry Janes"", ""Ron Rivera""]",8001,21.95,True,structured_complete
