retained_context_tokens,question,answer_prefix,uncompressed_kv_memory_gb,retained_kv_memory_mb,retained_kv_memory_gb,context_length,max_new_tokens,predicted_answer,context_tokens,answer,kv_memory_per_token_kb,task,uncompressed_kv_memory_mb,compression_ratio
33573.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Were Scott Derrickson and Ed Wood of the same nationality? ",Answer:,2.200240128,2200.240128,2.200240128,32768,32, Yes,33573.0,['yes'],65.536,qa_2,2200.240128,0.0
33193.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell? ",Answer:,2.175336448,2175.336448,2.175336448,32768,32, United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States.,33193.0,['Chief of Protocol'],65.536,qa_2,2175.336448,0.0
33335.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species? ",Answer:,2.18464256,2184.64256,2.18464256,32768,32, Animorphs,33335.0,['Animorphs'],65.536,qa_2,2184.64256,0.0
32921.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood? ",Answer:,2.157510656,2157.510656,2.157510656,32768,32, No,32921.0,['no'],65.536,qa_2,2157.510656,0.0
32948.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The director of the romantic comedy ""Big Stone Gap"" is based in what New York city? ",Answer:,2.159280128,2159.280128,2.159280128,32768,32, Greenwich Village,32948.0,"['Greenwich Village, New York City']",65.536,qa_2,2159.280128,0.0
33144.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: 2014 S/S is the debut album of a South Korean boy group that was formed by who? ",Answer:,2.172125184,2172.125184,2.172125184,32768,32, YG Entertainment,33144.0,['YG Entertainment'],65.536,qa_2,2172.125184,0.0
32262.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who was known by his stage name Aladin and helped organizations improve their performance as a consultant? ",Answer:,2.114322432,2114.322432,2.114322432,32768,32, Eenasul Fateh,32262.0,['Eenasul Fateh'],65.536,qa_2,2114.322432,0.0
34569.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: The arena where the Lewiston Maineiacs played their home games can seat how many people? ",Answer:,2.265513984,2265.513984,2.265513984,32768,32," 4,000 capacity (3,677 seated)",34569.0,"['3,677 seated']",65.536,qa_2,2265.513984,0.0
34736.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Who is older, Annie Morton or Terry Richardson? ",Answer:,2.276458496,2276.458496,2.276458496,32768,32, Terry Richardson,34736.0,['Terry Richardson'],65.536,qa_2,2276.458496,0.0
34854.0,"Answer the question based on the given documents. Only give me the answer and do not output any other words.

Question: Are Local H and For Against both from the United States? ",Answer:,2.284191744,2284.191744,2.284191744,32768,32, Yes,34854.0,['yes'],65.536,qa_2,2284.191744,0.0
