id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:quest_128k:0,,"[""A Case of Need""]","[""Mythago Wood"", ""Zodiac (novel)"", ""It Happened in Boston?"", ""A Case of Need""]  
Final Answer: [""Nothing relevant""]",5511,96.93,True,structured_complete
loft:quest_128k:1,,"[""Five Point Someone"", ""One Night @ the Call Center"", ""The 3 Mistakes of My Life""]","[""Five Point Someone"", ""The 3 Mistakes of My Life"", ""One Night @ the Call Center""]

Final Answer: [""Five Point Someone"", ""The 3 Mistakes of My Life"", ""One Night @ the Call Center""]",6315,118.68,True,structured_complete
loft:quest_128k:2,,"[""Duel with Death"", ""Fly Away Home (2016 film)"", ""Sunshine (1999 film)""]","[""Sunshine (1999 film) – includes a storyline set during and after the 1956 Hungarian Revolution"", ""Duel with Death – is a 1949 Austrian war drama film directed by Paul May and starring Rolf von Nauckhoff, Annelies Reinhold, and Fritz Hinz-Fabricius. The film portrays the Austrian resistance to Nazi Germany during the Second World War. The film's sets were designed by the art director Otto Pischinger. It premiered at the Locarno Film Festival in July 1949 before going on general release in Austria that December.""]",4908,67.57,True,structured_complete
loft:quest_128k:3,,"[""Moomins and the Comet Chase"", ""Quest for a Heart"", ""Santa Claus and the Magic Drum""]","TITLE: Santa Claus and the Magic Drum  
ID: 142  

TITLE: Quest for a Heart  
ID: 169  

TITLE: Moomins and the Comet Chase  
ID: 202  

Final Answer: [""Santa Claus and the Magic Drum"", ""Quest for a Heart"", ""Moomins and the Comet Chase""]",6580,139.47,True,structured_complete
loft:quest_128k:4,,"[""At Night We Walk in Circles"", ""La reina de América"", ""Lost City Radio""]","[""'Eina de América' (The Queen of America) | ID: 89""]",4441,46.68,True,structured_complete
loft:quest_128k:5,,"[""One Way Trip 3D""]",Final Answer: [],4369,38.41,True,structured_complete
loft:quest_128k:6,,"[""Lego Scooby-Doo! Blowout Beach Bash"", ""Scooby-Doo! and the Curse of the 13th Ghost"", ""The Magic Snowflake""]",,3055,3.93,True,abstained
loft:quest_128k:7,,"[""Firecrest (novel)"", ""Lament for Leto""]","[""Firecrest (novel) | ID: 204"", ""Lament for Leto | ID: 219""]",4936,54.47,True,structured_complete
loft:quest_128k:8,,"[""Crisis of Conscience""]","TITLE: Crisis of Conscience | ID: 289

Final Answer: [""'Crisis of Conscience'""]",4548,50.53,True,structured_complete
loft:quest_128k:9,,"[""Demi-Gods and Semi-Devils"", ""The Adventures of Peregrine Pickle"", ""The History of Sir Charles Grandison""]",,3485,2.37,True,abstained
loft:quest_128k:10,,"[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]","TITLE: The Final Nexus | ID: 1  
TITLE: Chain of Attack | ID: 32  
TITLE: The Peacekeepers | ID: 33  

[""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]  
Final Answer: [""Chain of Attack"", ""The Final Nexus"", ""The Peacekeepers""]",4586,49.9,True,structured_complete
loft:quest_128k:11,,"[""Best Defense"", ""Red Dawn""]",Final Answer: [],4645,48.14,True,structured_complete
loft:quest_128k:12,,"[""Seveneves""]","[""Nothing relevant""]",3812,27.18,True,structured_complete
loft:quest_128k:13,,"[""Alega Gang: Public Enemy No.1 of Cebu"", ""Lapu-Lapu (2002 film)"", ""Patay na si Hesus""]","TITLE: Alega Gang: Public Enemy No.1 of Cebu | ID: 30  
TITLE: Patay na si Hesus | ID: 291  

Final Answer: [""Alega Gang: Public Enemy No.1 of Cebu"", ""Patay na si Hesus""]",4320,39.95,True,structured_complete
loft:quest_128k:14,,"[""All She Was Worth"", ""Crossfire (novel)"", ""Out (novel)""]","[""Nothing relevant""]",4265,36.0,True,structured_complete
loft:quest_128k:15,,"[""Elizabeth (film)""]",,3211,3.28,True,abstained
loft:quest_128k:16,,"[""Personal Recollections of Joan of Arc""]","[""Personal Recollections of Joan of Arc""]  

Final Answer: [""Personal Recollections of Joan of Arc""]",4440,43.66,True,structured_complete
loft:quest_128k:17,,"[""Hitman's Wife's Bodyguard"", ""Red Notice (film)"", ""The King's Man""]","[""Hitman's Wife's Bodyguard"", ""Red Notice (film)""]",4901,79.1,True,structured_complete
loft:quest_128k:18,,"[""The Way of the Scarlet Pimpernel""]","TITLE: The Way of the Scarlet Pimpernel | ID: 186

Answer: 
- The Way of the Scarlet Pimpernel (ID: 186) is a history/adventure book about France, first published in 1933.

Final Answer: [""The Way of the Scarlet Pimpernel (ID: 186) is a history/adventure book about France, first published in 1933.""]",4589,49.25,True,structured_complete
loft:quest_128k:19,,"[""Batman & Bill"", ""Batman & Robin (film)"", ""Batman (serial)""]","TITLE: Batman & Robin (film) | ID: 0
TITLE: Batman & Bill | ID: 65

Final Answer: [""Batman & Robin (film)"", ""Batman & Bill""]",4130,38.31,True,structured_complete
loft:quest_128k:20,,"[""Batman: The Killing Joke (film)"", ""Pérák: The Shadow over Prague"", ""The League of Extraordinary Gentlemen (film)""]","[""Batman: The Killing Joke (film) | 56"", ""The League of Extraordinary Gentlemen (film) | 102"", ""Pérák: The Shadow over Prague | 324""]",5769,92.68,True,structured_complete
loft:quest_128k:21,,"[""Poison in Jest"", ""The Waxworks Murder""]","[""Poison in Jest | ID: 121""]",4069,40.48,True,structured_complete
loft:quest_128k:22,,"[""Battle Cry (Uris novel)"", ""Go Tell It on the Mountain (novel)"", ""Junkie (novel)""]","TITLE: Go Tell It on the Mountain (novel) | ID: 85  
TITLE: Junkie (novel) | ID: 221  
TITLE: Battle Cry (Uris novel) | ID: 275  

Final Answer: [""Go Tell It on the Mountain"", ""Junkie"", ""Battle Cry""]",5254,92.47,True,structured_complete
loft:quest_128k:23,,"[""P4W: Prison for Women"", ""The Phantom (2021 film)"", ""Waseskun""]","[""Nothing relevant""]",3768,15.42,True,structured_complete
loft:quest_128k:24,,"[""Mythago Wood"", ""Nights at the Circus""]","TITLE: Mythago Wood | ID: 41

List:  
- Title: Mythago Wood  
- ID: 41  
- It is a fantasy novel about the United Kingdom, published in 1984.  
- Set in Herefordshire, England, within Ryhope Wood.  
- Part of a fantasy series known as the Mythago Wood or Ryhope Wood cycle.

Final Answer: [""Mythago Wood""]",4320,46.88,True,structured_complete
loft:quest_128k:25,,"[""Laughing Gas (novel)""]",,3272,3.88,True,abstained
loft:quest_128k:26,,"[""Hannibal Rising"", ""Jewel (novel)""]",Final Answer: [],4513,57.05,True,structured_complete
loft:quest_128k:27,,"[""Ryan (film)""]","[""Ryan (film)""]",5061,85.68,True,structured_complete
loft:quest_128k:28,,"[""Cavalleria rusticana (1982 film)"", ""The Deadly Game (1982 film)"", ""The Life of Verdi (miniseries)""]","[""Cavalleria rusticana (1982 film)"", ""The Life of Verdi (miniseries)""]

Final Answer: [""Cavalleria rusticana (1982 film)"", ""The Life of Verdi (miniseries)""]",4381,42.34,True,structured_complete
loft:quest_128k:29,,"[""Hulk: Where Monsters Dwell"", ""Resident Evil: Vendetta""]","[""Nothing relevant""]",4171,36.54,True,structured_complete
loft:quest_128k:30,,"[""A Lingering Face"", ""Looking Up (film)"", ""Ni Jing: Thou Shalt Not Steal""]",Final Answer: [],5045,72.2,True,structured_complete
loft:quest_128k:31,,"[""Child Bride"", ""I Accuse My Parents"", ""The Devil's Sleep""]","[""I Accuse My Parents"", ""The Devil's Sleep""]


Final Answer: [""I Accuse My Parents"", ""The Devil's Sleep""]",5725,100.42,True,structured_complete
loft:quest_128k:32,,"[""Time and the Wind""]","[""Time and the Wind""]  
Final Answer: [""Time and the Wind""]",4197,36.09,True,structured_complete
loft:quest_128k:33,,"[""Midnight Sun (Meyer novel)"", ""New Moon (novel)"", ""Twilight (Meyer novel)""]",Final Answer: [],4959,77.86,True,structured_complete
loft:quest_128k:34,,"[""Boy at War"", ""The Changeover"", ""The Firebird Rocket""]",Final Answer: [],4810,64.83,True,structured_complete
loft:quest_128k:35,,"[""Killing Them Softly"", ""Mac & Devin Go to High School""]",,3315,4.09,True,abstained
loft:quest_128k:36,,"[""My Uncle Napoleon"", ""Savushun"", ""The Blind Owl""]","[""The Blind Owl""]",4974,85.08,True,structured_complete
loft:quest_128k:37,,"[""Doctor Zhivago (film)""]","[""Victory at Entebbe""]",5847,110.43,True,structured_complete
loft:quest_128k:38,,"[""The Picturegoers"", ""The Violent Bear It Away""]","[""The Violent Bear It Away""]",4432,52.99,True,structured_complete
loft:quest_128k:39,,"[""Undercover with the KKK""]","TITLE: Aerials (film) | ID: 230  
- Aerials is a 2016 Emirati science fiction film set in Dubai, United Arab Emirates, featuring an alien invasion from outer space. It is the first science fiction film made in UAE and portrays Earth being invaded by aliens. The film involves a multiracial couple in Dubai who, after losing communication with the outside world, explore cultural and scientific differences to understand the alien invasion, only to face extraterrestrial encounters at home. It was released in UAE cinemas on June 16, 2016, and internationally on Netflix in May 2020.

Final Answer: [""Aerials (film) is a 2016 Emirati science fiction film set in Dubai, United Arab Emirates, featuring an alien invasion from outer space. It is the first science fiction film made in UAE and portrays Earth being invaded by aliens. The film involves a multiracial couple in Dubai who, after losing communication with the outside world, explore cultural and scientific differences to understand the alien invasion, only to face extraterrestrial encounters at home. It was released in UAE cinemas on June 16, 2016, and internationally on Netflix in May 2020.""]",4579,50.6,True,structured_complete
loft:quest_128k:40,,"[""An Obvious Situation"", ""That Night's Wife"", ""The Copper (1930 film)""]","TITLE: The Copper (1930 film) | ID: 92  
TITLE: That Night's Wife | ID: 231  

Final Answer: [""'The Copper' (1930 film)"", ""'That Night's Wife'""]",5144,63.69,True,structured_complete
loft:quest_128k:41,,"[""Ace Attorney (film)"", ""True Story (film)""]","[""Ace Attorney (film)""]  
Final Answer: [""Ace Attorney (film)""]",5318,91.17,True,structured_complete
loft:quest_128k:42,,"[""Le Grand Meaulnes"", ""The Mysteries of Paris"", ""The Mystery of the Yellow Room""]","TITLE: Le Grand Meaulnes | ID: 288  
TITLE: The Mysteries of Paris | ID: 321

Final Answer: [""\""Le Grand Meaulnes\"" | 288"", ""\""The Mysteries of Paris\"" | 321""]",5258,69.12,True,structured_complete
loft:quest_128k:43,,"[""Casta Diva (1935 film)"", ""The Fire Devil"", ""Under Capricorn""]","TITLE: Casta Diva (1935 film) | ID: 17  
TITLE: Under Capricorn | ID: 73  

Final Answer: [""Casta Diva (1935 film)"", ""Under Capricorn""]",4355,28.14,True,structured_complete
loft:quest_128k:44,,"[""First Invasion: The War of 1812"", ""Last of the Buccaneers"", ""Mohawk (2017 film)""]","[""Last of the Buccaneers | 115"", ""First Invasion: The War of 1812 | 168""]",5307,60.0,True,structured_complete
loft:quest_128k:45,,"[""Going Vertical"", ""Prefontaine (film)""]","TITLE: Going Vertical | ID: 122  
List:
- Going Vertical (ID: 122) is a 2017 Russian sports drama film about the Soviet national basketball team's victory over the 1972 U.S. Olympic team at the Munich Summer Olympics. The film is set in 1972, focusing on the events of the Munich Summer Olympics, specifically the night of 9 to 10 September 1972. The story centers on the Soviet team's controversial win, which ended the U.S. team's 63-game winning streak.

Final Answer: [""Going Vertical (ID: 122) is a 2017 Russian sports drama film about the Soviet national basketball team's victory over the 1972 U.S. Olympic team at the Munich Summer Olympics. The film is set in 1972, focusing on the events of the Munich Summer Olympics, specifically the night of 9 to 10 September 1972. The story centers on the Soviet team's controversial win, which ended the U.S. team's 63-game winning streak.""]",4656,56.22,True,structured_complete
loft:quest_128k:46,,"[""Ilium (novel)"", ""Summer of Night"", ""The Fall of Hyperion (novel)""]","TITLE: Summer of Night | ID: 77  
TITLE: The Fall of Hyperion (novel) | ID: 117  
TITLE: Ilium (novel) | ID: 258  

Final Answer: [""Summer of Night"", ""The Fall of Hyperion (novel)"", ""Ilium (novel)""]",5760,79.73,True,structured_complete
loft:quest_128k:47,,"[""We the Living""]","[]

Final Answer: []",3713,6.13,True,structured_complete
loft:quest_128k:48,,"[""Le Divorce"", ""Peppermint Soda"", ""Two English Girls""]","[""Peppermint Soda"", ""m"", ""Le Divorce""]",5335,67.3,True,structured_complete
