context_tokens,compression_ratio,uncompressed_kv_memory_mb,task,predicted_answer,retained_kv_memory_mb,retained_context_tokens,split,kv_memory_per_token_kb,memory_budget,token_budget,answer_prefix,memory_budget_unit,max_new_tokens,answers,uncompressed_kv_memory_gb,retained_kv_memory_gb,question
118609.0,0.9428289590166008,17489.608704,nq_128k," ['The Seven Kingdoms', '7']",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Tyrion Lannister'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what's the dwarf's name in game of thrones
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['The Buck Owens Collection: The Buck Owens Show', '1999']",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Judith Cynthia Aline Keppel'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: first who wants to be a millionaire winner uk
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication', 'DNA replication',",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Crick' 'Watson'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who proposed the first accurate model of dna
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['The Pokémon Theme Song - Season 1', '1996-01-01']  
The Pokémon theme song for Season 1 is sung by the artist **The Pokémon Theme Song - Season 1**, and the ID of the document is **1996-01-01**.",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Jason Paige'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who sings the pokemon theme song season 1
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['I Love Lucy', '123']  
Answer: Mrs. Trumbull on *I Love Lucy* was played by ** Vivian Blaine **.",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Mary Elizabeth Patterson'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who played mrs. trumbull on i love lucy
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['The First Epistle of John', '12:10']  
The First Epistle of John was written around the end of the 1st century AD, during the time of the Roman Emperor Trajan. It is one of the earliest New Testament writings and is traditionally attributed to the Apostle John. The document's ID is 12:10, referencing its place in the New Testament.",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['AD 95–110' 'probably written in Ephesus'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when was the first epistle of john written
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['Dewey Decimal Classification', '199']  
The Colby cheese is named after a town in the state of **New York**.",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Wisconsin'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: colby chees is named after a town in what state
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['Goku: The Super Saiyan 4 Saga', '1234']  
Answer: Goku first went Super Saiyan 4 during the ""Goku: The Super Saiyan 4 Saga"" which is documented under the ID '1234'.",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Dragon Ball GT'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when did goku first go super saiyan 4
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['Gnu: The GNU Project', 'GNU/Linux naming controversy']",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Richard Stallman'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: who is given credit for the gnu initiative
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['Montana', '12345']  
The western boundary of Montana is formed by the state of Idaho.",999.899136,6781.0,dev,147.456,1.0,6781.0,Final Answer: ,GB,256,['Idaho'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: what us state forms the western boundary of montana
"
118609.0,0.9428289590166008,17489.608704,nq_128k," ['Monday Night Raw', '18']  

The TITLE of the document is ""Monday Night Raw"" and the ID is ""18"". The document mentions that the show was released in 2007 and was a ""two dimensional fighting game"" that was later re-released as part of the ""Capcom Digital Collection"" on the PlayStation Network. However, it does not explicitly state when ""Monday Night Raw"" comes on Hulu. The information provided in the document is limited to the",999.899136,6781.0,test,147.456,1.0,6781.0,Final Answer: ,GB,256,['the following day'],17.489608704,0.999899136,"====== Now let's start! ======
Based on the documents above, can you answer the following query? Print out the TITLE and ID of the documents you use to answer. Then format the answers into a list.
query: when does monday night raw come on hulu
"
