id,question,answers,prediction,tokens,latency_s,finished,end_reason
loft:nq_128k:0,,"[""the following day""]",,3360,2.55,True,abstained
loft:nq_128k:1,,"[""Spain"", ""Taíno"", ""indigenous Taíno people""]",,3243,1.6,True,abstained
loft:nq_128k:2,,"[""September 13, 2012""]",,3451,1.79,True,abstained
loft:nq_128k:3,,"[""Haliaeetus""]",,3383,1.4,True,abstained
loft:nq_128k:4,,"[""Kobol's Last Gleaming""]",,3397,1.4,True,abstained
loft:nq_128k:5,,"[""Nala""]",,3427,1.29,True,abstained
loft:nq_128k:6,,"[""Christopher Lloyd""]",,3154,1.19,True,abstained
loft:nq_128k:7,,"[""Charlotte of Mecklenburg-Strelitz""]",,3384,1.42,True,abstained
loft:nq_128k:8,,"[""Glenn Close""]",,3250,1.65,True,abstained
loft:nq_128k:9,,"[""the Ramones""]","TITLE: Fresno, California | ID: 330  
Final Answer: NOTHING RELEVANT",3801,6.76,True,structured_complete
loft:nq_128k:10,,"[""at least seven"", ""at least seven players"", ""seven""]",,3265,1.63,True,abstained
loft:nq_128k:11,,"[""September 1972""]",,3279,1.36,True,abstained
loft:nq_128k:12,,"[""Hook""]",,3314,1.33,True,abstained
loft:nq_128k:13,,"[""2011""]",,3313,1.39,True,abstained
loft:nq_128k:14,,"[""the summit of Cadillac Mountain""]",,3275,1.57,True,abstained
loft:nq_128k:15,,"[""Indian government""]",,3400,1.47,True,abstained
loft:nq_128k:16,,"[""the primal rib""]",,3307,1.23,True,abstained
loft:nq_128k:17,,"[""Ledger""]",,3191,1.54,True,abstained
loft:nq_128k:18,,"[""Gravity"", ""Gravity, or gravitation""]",,3391,2.06,True,abstained
loft:nq_128k:19,,"[""The Lykan Hypersport""]",,3261,2.09,True,abstained
loft:nq_128k:20,,"[""Jack Lord"", ""John Joseph Patrick Ryan""]",,3347,1.4,True,abstained
loft:nq_128k:21,,"[""non-ferrous""]",,3319,1.38,True,abstained
loft:nq_128k:22,,"[""Sauron""]",,3366,1.37,True,abstained
loft:nq_128k:23,,"[""Akbar the Great"", ""Babur""]",,3399,1.43,True,abstained
loft:nq_128k:24,,"[""24 November 1949""]",,3318,1.74,True,abstained
loft:nq_128k:25,,"[""Nepal""]",,3444,1.6,True,abstained
loft:nq_128k:26,,"[""Rocky""]","TITLE: Doctor Who missing episodes | ID: 814  
Final Answer: nothing relevant",3873,7.78,True,structured_complete
loft:nq_128k:27,,"[""cell nucleus"", ""in the cell nucleus""]",,3395,1.3,True,abstained
loft:nq_128k:28,,"[""Richard Parker""]",,3304,1.58,True,abstained
loft:nq_128k:29,,"[""Geoffrey Dyson Palmer"", ""Geoffrey Dyson Palmer, OBE""]",,3334,1.87,True,abstained
loft:nq_128k:30,,"[""9 to 25 February 2018""]",,3348,1.27,True,abstained
loft:nq_128k:31,,"[""CeCe Drake""]",,3356,1.34,True,abstained
loft:nq_128k:32,,"[""Grisha""]",,3429,2.04,True,abstained
loft:nq_128k:33,,"[""Serous Membrane"", ""the visceral membrane""]",,3303,2.09,True,abstained
loft:nq_128k:34,,"[""June 22, 1942""]",,3424,1.67,True,abstained
loft:nq_128k:35,,"[""Phosphorus pentoxide""]",,3464,1.42,True,abstained
loft:nq_128k:36,,"[""rubidium-85""]",,3468,1.29,True,abstained
loft:nq_128k:37,,"[""\""Nelson's Sparrow\"""", ""Nelson's Sparrow""]",,3405,1.39,True,abstained
loft:nq_128k:38,,"[""Malayalam""]",,3331,1.29,True,abstained
loft:nq_128k:39,,"[""David Ben-Gurion""]",,3333,1.43,True,abstained
loft:nq_128k:40,,"[""Manchuria""]",,3292,1.2,True,abstained
loft:nq_128k:41,,"[""February 27, 2015"", ""February 27, 2015""]",,3459,1.35,True,abstained
loft:nq_128k:42,,"[""produced by Quincy Jones""]",,3395,1.5,True,abstained
loft:nq_128k:43,,"[""Ludacris""]",,3364,1.4,True,abstained
loft:nq_128k:44,,"[""Jakkur, Bangalore, India""]",,3367,1.86,True,abstained
loft:nq_128k:45,,"[""condense the steam""]",,3342,1.97,True,abstained
loft:nq_128k:46,,"[""metaphase""]",,3369,2.34,True,abstained
loft:nq_128k:47,,"[""coffee"", ""honey"", ""livestock"", ""macadamia nuts"", ""pineapple"", ""sugarcane""]",,3377,1.88,True,abstained
loft:nq_128k:48,,"[""imperial rule""]",,3383,1.6,True,abstained
loft:nq_128k:49,,"["".java""]",,3457,1.5,True,abstained
loft:nq_128k:50,,"[""2003""]",,3345,1.22,True,abstained
loft:nq_128k:51,,"[""Coire"", ""Corey"", ""Corie"", ""Correy"", ""Corrie"", ""Cory"", ""Khouri"", ""Kori"", ""Kory""]",,3299,1.49,True,abstained
loft:nq_128k:52,,"[""2%""]",,3186,1.36,True,abstained
loft:nq_128k:53,,"[""Amanda Leighton""]",,3257,1.4,True,abstained
loft:nq_128k:54,,"[""Castleford""]",,3256,1.29,True,abstained
